House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Grey (85745)											
		Candidate		"O'NEILL, Con"		               	"WAKELIN, Barry"		             	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Andamooka										
			1st Prefs	82	49.40		84	50.60		166	
		"ROBERTSON, Gil John (DEM)"	9	5	55.56		4	44.44		9	
		"HOLLAND, Sylvia (HAN)"	41	24	58.54		17	41.46		41	
		"MARTIN, Felicity (GRN)"	5	3	60.00		2	40.00		5	
		Total	55	114	51.58		107	48.42		221	

	Arno Bay										
			1st Prefs	30	15.08		169	84.92		199	
		"ROBERTSON, Gil John (DEM)"	6	4	66.67		2	33.33		6	
		"HOLLAND, Sylvia (HAN)"	27	20	74.07		7	25.93		27	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	36	55	23.40		180	76.60		235	

	Auburn										
			1st Prefs	86	26.54		238	73.46		324	
		"ROBERTSON, Gil John (DEM)"	30	20	66.67		10	33.33		30	
		"HOLLAND, Sylvia (HAN)"	21	9	42.86		12	57.14		21	
		"MARTIN, Felicity (GRN)"	15	11	73.33		4	26.67		15	
		Total	66	126	32.31		264	67.69		390	

	Blyth										
			1st Prefs	53	17.04		258	82.96		311	
		"ROBERTSON, Gil John (DEM)"	12	8	66.67		4	33.33		12	
		"HOLLAND, Sylvia (HAN)"	19	9	47.37		10	52.63		19	
		"MARTIN, Felicity (GRN)"	5	3	60.00		2	40.00		5	
		Total	36	73	21.04		274	78.96		347	

	Booborowie										
			1st Prefs	28	18.67		122	81.33		150	
		"ROBERTSON, Gil John (DEM)"	1	1	100.00		0	0.00		1	
		"HOLLAND, Sylvia (HAN)"	13	6	46.15		7	53.85		13	
		"MARTIN, Felicity (GRN)"	2	1	50.00		1	50.00		2	
		Total	16	36	21.69		130	78.31		166	

	Booleroo Centre										
			1st Prefs	24	7.21		309	92.79		333	
		"ROBERTSON, Gil John (DEM)"	9	6	66.67		3	33.33		9	
		"HOLLAND, Sylvia (HAN)"	25	14	56.00		11	44.00		25	
		"MARTIN, Felicity (GRN)"	1	1	100.00		0	0.00		1	
		Total	35	45	12.23		323	87.77		368	

	Brinkworth										
			1st Prefs	21	11.11		168	88.89		189	
		"ROBERTSON, Gil John (DEM)"	11	6	54.55		5	45.45		11	
		"HOLLAND, Sylvia (HAN)"	22	5	22.73		17	77.27		22	
		"MARTIN, Felicity (GRN)"	1	0	0.00		1	100.00		1	
		Total	34	32	14.35		191	85.65		223	

	Burra										
			1st Prefs	197	31.02		438	68.98		635	
		"ROBERTSON, Gil John (DEM)"	26	19	73.08		7	26.92		26	
		"HOLLAND, Sylvia (HAN)"	59	32	54.24		27	45.76		59	
		"MARTIN, Felicity (GRN)"	19	17	89.47		2	10.53		19	
		Total	104	265	35.86		474	64.14		739	

	Ceduna										
			1st Prefs	372	29.15		904	70.85		1276	
		"ROBERTSON, Gil John (DEM)"	58	37	63.79		21	36.21		58	
		"HOLLAND, Sylvia (HAN)"	85	37	43.53		48	56.47		85	
		"MARTIN, Felicity (GRN)"	36	16	44.44		20	55.56		36	
		Total	179	462	31.75		993	68.25		1455	

	Clare										
			1st Prefs	499	24.24		1560	75.76		2059	
		"ROBERTSON, Gil John (DEM)"	154	93	60.39		61	39.61		154	
