House of Representatives - 2001 Election: South Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Kingston																							
				HERSEY			ARANDELOVIC			MCCORMACK			GUILDNER			PRATT			COX				
				Dean			Gordon			Charlie			Deborah			Graham			David				
				LP			NGST			HAN			GRN			DEM			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adelaide (Kingston)                                            																							
	FIRST			38	38.78		2	2.04		2	2.04		6	6.12		20	20.41		30	30.61		98	
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		39	39.80					2	2.04		6	6.12		20	20.41		31	31.63		98	
	THIRD			0	0.00					0	0.00			Excluded		5	83.33		1	16.67		6	
		TOTAL		39	39.80					2	2.04					25	25.51		32	32.65		98	
	FOURTH			0	0.00						Excluded					1	50.00		1	50.00		2	
		TOTAL		39	39.80											26	26.53		33	33.67		98	
	FIFTH			10	38.46												Excluded		16	61.54		26	
		TOTAL		49	50.00														49	50.00		98	
																			Elected				
																							
Aldinga Beach                                                  																							
	FIRST			1178	37.72		27	0.86		166	5.32		223	7.14		403	12.90		1126	36.06		3123	
	SECOND			6	22.22			Excluded		5	18.52		6	22.22		5	18.52		5	18.52		27	
		TOTAL		1184	37.91					171	5.48		229	7.33		408	13.06		1131	36.22		3123	
	THIRD			16	6.99					15	6.55			Excluded		147	64.19		51	22.27		229	
		TOTAL		1200	38.42					186	5.96					555	17.77		1182	37.85		3123	
	FOURTH			89	47.85						Excluded					56	30.11		41	22.04		186	
		TOTAL		1289	41.27											611	19.56		1223	39.16		3123	
	FIFTH			188	30.77												Excluded		423	69.23		611	
		TOTAL		1477	47.29														1646	52.71		3123	
																			Elected				
																							
Christie Downs                                                 																							
	FIRST			605	29.14		31	1.49		112	5.39		55	2.65		247	11.90		1026	49.42		2076	
	SECOND			3	9.68			Excluded		3	9.68		11	35.48		4	12.90		10	32.26		31	
		TOTAL		608	29.29					115	5.54		66	3.18		251	12.09		1036	49.90		2076	
	THIRD			4	6.06					6	9.09			Excluded		39	59.09		17	25.76		66	
		TOTAL		612	29.48					121	5.83					290	13.97		1053	50.72		2076	
	FOURTH			56	46.28						Excluded					30	24.79		35	28.93		121	
		TOTAL		668	32.18											320	15.41		1088	52.41		2076	
	FIFTH			90	28.13												Excluded		230	71.88		320	
		TOTAL		758	36.51														1318	63.49		2076	
																			Elected				
																							
Christies Beach                                                																							
	FIRST			774	35.17		33	1.50		128	5.82		91	4.13		207	9.40		968	43.98		2201	
	SECOND			7	21.21			Excluded		1	3.03		6	18.18		7	21.21		12	36.36		33	
		TOTAL		781	35.48					129	5.86		97	4.41		214	9.72		980	44.53		2201	
	THIRD			10	10.31					13	13.40			Excluded		51	52.58		23	23.71		97	
		TOTAL		791	35.94					142	6.45					265	12.04		1003	45.57		2201	
	FOURTH			83	58.45						Excluded					29	20.42		30	21.13		142	
		TOTAL		874	39.71											294	13.36		1033	46.93		2201	
	FIFTH			91	30.95												Excluded		203	69.05		294	
		TOTAL		965	43.84														1236	56.16		2201	
																			Elected				
																							
Christies North                                                																							
	FIRST			135	33.09		9	2.21		24	5.88		21	5.15		41	10.05		178	43.63		408	
	SECOND			1	11.11			Excluded		3	33.33		2	22.22		1	11.11		2	22.22		9	
		TOTAL		136	33.33					27	6.62		23	5.64		42	10.29		180	44.12		408	
	THIRD			1	4.35					2	8.70			Excluded		15	65.22		5	21.74		23	
		TOTAL		137	33.58					29	7.11					57	13.97		185	45.34		408	
	FOURTH			15	51.72						Excluded					6	20.69		8	27.59		29	
		TOTAL		152	37.25											63	15.44		193	47.30		408	
	FIFTH			17	26.98												Excluded		46	73.02		63	
		TOTAL		169	41.42														239	58.58		408	
																			Elected				
																							
Hackham                                                        																							
	FIRST			566	27.69		46	2.25		128	6.26		48	2.35		227	11.11		1029	50.34		2044	
	SECOND			8	17.39			Excluded		12	26.09		10	21.74		5	10.87		11	23.91		46	
		TOTAL		574	28.08					140	6.85		58	2.84		232	11.35		1040	50.88		2044	
	THIRD			8	13.79					10	17.24			Excluded		28	48.28		12	20.69		58	
		TOTAL		582	28.47					150	7.34					260	12.72		1052	51.47		2044	
	FOURTH			89	59.33						Excluded					42	28.00		19	12.67		150	
		TOTAL		671	32.83											302	14.77		1071	52.40		2044	
	FIFTH			107	35.43												Excluded		195	64.57		302	
		TOTAL		778	38.06														1266	61.94		2044	
																			Elected				
																							
Hackham East                                                   																							
	FIRST			1288	39.30		87	2.65		163	4.97		99	3.02		384	11.72		1256	38.33		3277	
	SECOND			9	10.34			Excluded		14	16.09		37	42.53		7	8.05		20	22.99		87	
		TOTAL		1297	39.58					177	5.40		136	4.15		391	11.93		1276	38.94		3277	
	THIRD			12	8.82					11	8.09			Excluded		87	63.97		26	19.12		136	
		TOTAL		1309	39.95					188	5.74					478	14.59		1302	39.73		3277	
	FOURTH			99	52.66						Excluded					53	28.19		36	19.15		188	
		TOTAL		1408	42.97											531	16.20		1338	40.83		3277	
	FIFTH			179	33.71												Excluded		352	66.29		531	
		TOTAL		1587	48.43														1690	51.57		3277	
																			Elected				
																							
Hackham South                                                  																							
	FIRST			453	30.10		26	1.73		75	4.98		46	3.06		173	11.50		732	48.64		1505	
	SECOND			8	30.77			Excluded		5	19.23		4	15.38		1	3.85		8	30.77		26	
		TOTAL		461	30.63					80	5.32		50	3.32		174	11.56		740	49.17		1505	
	THIRD			6	12.00					7	14.00			Excluded		30	60.00		7	14.00		50	
		TOTAL		467	31.03					87	5.78					204	13.55		747	49.63		1505	
	FOURTH			48	55.17						Excluded					25	28.74		14	16.09		87	
		TOTAL		515	34.22											229	15.22		761	50.56		1505	
	FIFTH			74	32.31												Excluded		155	67.69		229	
		TOTAL		589	39.14														916	60.86		1505	
																			Elected				
																							
Hallett Cove                                                   																							
	FIRST			1275	45.44		26	0.93		94	3.35		71	2.53		314	11.19		1026	36.56		2806	
	SECOND			7	26.92			Excluded		4	15.38		9	34.62		1	3.85		5	19.23		26	
		TOTAL		1282	45.69					98	3.49		80	2.85		315	11.23		1031	36.74		2806	
	THIRD			9	11.25					6	7.50			Excluded		45	56.25		20	25.00		80	
		TOTAL		1291	46.01					104	3.71					360	12.83		1051	37.46		2806	
	FOURTH			64	61.54						Excluded					21	20.19		19	18.27		104	
		TOTAL		1355	48.29											381	13.58		1070	38.13		2806	
	FIFTH			138	36.22												Excluded		243	63.78		381	
		TOTAL		1493	53.21														1313	46.79		2806	
																			Elected				
																							
Happy Valley (Kingston)                                        																							
	FIRST			674	50.45		11	0.82		30	2.25		54	4.04		192	14.37		375	28.07		1336	
	SECOND			5	45.45			Excluded		2	18.18		2	18.18		2	18.18		0	0.00		11	
		TOTAL		679	50.82					32	2.40		56	4.19		194	14.52		375	28.07		1336	
	THIRD			2	3.57					6	10.71			Excluded		40	71.43		8	14.29		56	
		TOTAL		681	50.97					38	2.84					234	17.51		383	28.67		1336	
	FOURTH			19	50.00						Excluded					12	31.58		7	18.42		38	
		TOTAL		700	52.40											246	18.41		390	29.19		1336	
	FIFTH			100	40.65												Excluded		146	59.35		246	
		TOTAL		800	59.88														536	40.12		1336	
																			Elected				
																							
Karrara                                                        																							
	FIRST			1597	46.06		26	0.75		114	3.29		88	2.54		351	10.12		1291	37.24		3467	
	SECOND			6	23.08			Excluded		4	15.38		2	7.69		6	23.08		8	30.77		26	
		TOTAL		1603	46.24					118	3.40		90	2.60		357	10.30		1299	37.47		3467	
	THIRD			21	23.33					5	5.56			Excluded		45	50.00		19	21.11		90	
		TOTAL		1624	46.84					123	3.55					402	11.60		1318	38.02		3467	
	FOURTH			76	61.79						Excluded					24	19.51		23	18.70		123	
		TOTAL		1700	49.03											426	12.29		1341	38.68		3467	
	FIFTH			165	38.73												Excluded		261	61.27		426	
		TOTAL		1865	53.79														1602	46.21		3467	
																			Elected				
																							
Lonsdale                                                       																							
	FIRST			245	28.10		15	1.72		76	8.72		22	2.52		84	9.63		430	49.31		872	
	SECOND			2	13.33			Excluded		3	20.00		4	26.67		2	13.33		4	26.67		15	
		TOTAL		247	28.33					79	9.06		26	2.98		86	9.86		434	49.77		872	
	THIRD			3	11.54					4	15.38			Excluded		15	57.69		4	15.38		26	
		TOTAL		250	28.67					83	9.52					101	11.58		438	50.23		872	
	FOURTH			50	60.24						Excluded					18	21.69		15	18.07		83	
		TOTAL		300	34.40											119	13.65		453	51.95		872	
	FIFTH			40	33.61												Excluded		79	66.39		119	
		TOTAL		340	38.99														532	61.01		872	
																			Elected				
																							
Maslin Beach                                                   																							
	FIRST			166	30.91		9	1.68		35	6.52		42	7.82		69	12.85		216	40.22		537	
	SECOND			0	0.00			Excluded		2	22.22		4	44.44		1	11.11		2	22.22		9	
		TOTAL		166	30.91					37	6.89		46	8.57		70	13.04		218	40.60		537	
	THIRD			1	2.17					4	8.70			Excluded		36	78.26		5	10.87		46	
		TOTAL		167	31.10					41	7.64					106	19.74		223	41.53		537	
	FOURTH			19	46.34						Excluded					10	24.39		12	29.27		41	
		TOTAL		186	34.64											116	21.60		235	43.76		537	
	FIFTH			30	25.86												Excluded		86	74.14		116	
		TOTAL		216	40.22														321	59.78		537	
																			Elected				
																							
Moana                                                          																							
	FIRST			838	37.23		22	0.98		120	5.33		79	3.51		268	11.91		924	41.05		2251	
	SECOND			2	9.09			Excluded		4	18.18		8	36.36		3	13.64		5	22.73		22	
		TOTAL		840	37.32					124	5.51		87	3.86		271	12.04		929	41.27		2251	
	THIRD			8	9.20					11	12.64			Excluded		52	59.77		16	18.39		87	
		TOTAL		848	37.67					135	6.00					323	14.35		945	41.98		2251	
	FOURTH			81	60.00						Excluded					26	19.26		28	20.74		135	
		TOTAL		929	41.27											349	15.50		973	43.23		2251	
	FIFTH			123	35.24												Excluded		226	64.76		349	
		TOTAL		1052	46.73														1199	53.27		2251	
																			Elected				
																							
Morphett Vale                                                  																							
	FIRST			1153	33.53		93	2.70		180	5.23		81	2.36		419	12.18		1513	44.00		3439	
	SECOND			19	20.43			Excluded		11	11.83		34	36.56		9	9.68		20	21.51		93	
		TOTAL		1172	34.08					191	5.55		115	3.34		428	12.45		1533	44.58		3439	
	THIRD			8	6.96					21	18.26			Excluded		61	53.04		25	21.74		115	
		TOTAL		1180	34.31					212	6.16					489	14.22		1558	45.30		3439	
	FOURTH			108	50.94						Excluded					60	28.30		44	20.75		212	
		TOTAL		1288	37.45											549	15.96		1602	46.58		3439	
	FIFTH			201	36.61												Excluded		348	63.39		549	
		TOTAL		1489	43.30														1950	56.70		3439	
																			Elected				
																							
Morphett Vale East                                             																							
	FIRST			1000	39.87		27	1.08		105	4.19		64	2.55		318	12.68		994	39.63		2508	
	SECOND			4	14.81			Excluded		5	18.52		4	14.81		4	14.81		10	37.04		27	
		TOTAL		1004	40.03					110	4.39		68	2.71		322	12.84		1004	40.03		2508	
	THIRD			5	7.35					14	20.59			Excluded		32	47.06		17	25.00		68	
		TOTAL		1009	40.23					124	4.94					354	14.11		1021	40.71		2508	
	FOURTH			68	54.84						Excluded					29	23.39		27	21.77		124	
		TOTAL		1077	42.94											383	15.27		1048	41.79		2508	
	FIFTH			155	40.47												Excluded		228	59.53		383	
		TOTAL		1232	49.12														1276	50.88		2508	
																			Elected				
																							
Morphett Vale North                                            																							
	FIRST			581	38.81		15	1.00		79	5.28		42	2.81		156	10.42		624	41.68		1497	
	SECOND			3	20.00			Excluded		1	6.67		7	46.67		1	6.67		3	20.00		15	
		TOTAL		584	39.01					80	5.34		49	3.27		157	10.49		627	41.88		1497	
	THIRD			8	16.33					12	24.49			Excluded		19	38.78		10	20.41		49	
		TOTAL		592	39.55					92	6.15					176	11.76		637	42.55		1497	
	FOURTH			59	64.13						Excluded					18	19.57		15	16.30		92	
		TOTAL		651	43.49											194	12.96		652	43.55		1497	
	FIFTH			75	38.66												Excluded		119	61.34		194	
		TOTAL		726	48.50														771	51.50		1497	
																			Elected				
																							
Morphett Vale South                                            																							
	FIRST			171	31.03		8	1.45		39	7.08		22	3.99		39	7.08		272	49.36		551	
	SECOND			3	37.50			Excluded		1	12.50		3	37.50		0	0.00		1	12.50		8	
		TOTAL		174	31.58					40	7.26		25	4.54		39	7.08		273	49.55		551	
	THIRD			1	4.00					3	12.00			Excluded		15	60.00		6	24.00		25	
		TOTAL		175	31.76					43	7.80					54	9.80		279	50.64		551	
	FOURTH			30	69.77						Excluded					11	25.58		2	4.65		43	
		TOTAL		205	37.21											65	11.80		281	51.00		551	
	FIFTH			15	23.08												Excluded		50	76.92		65	
		TOTAL		220	39.93														331	60.07		551	
																			Elected				
																							
Noarlunga Downs                                                																							
	FIRST			335	28.80		27	2.32		65	5.59		40	3.44		100	8.60		596	51.25		1163	
	SECOND			8	29.63			Excluded		5	18.52		3	11.11		4	14.81		7	25.93		27	
		TOTAL		343	29.49					70	6.02		43	3.70		104	8.94		603	51.85		1163	
	THIRD			6	13.95					5	11.63			Excluded		23	53.49		9	20.93		43	
		TOTAL		349	30.01					75	6.45					127	10.92		612	52.62		1163	
	FOURTH			37	49.33						Excluded					14	18.67		24	32.00		75	
		TOTAL		386	33.19											141	12.12		636	54.69		1163	
	FIFTH			38	26.95												Excluded		103	73.05		141	
		TOTAL		424	36.46														739	63.54		1163	
																			Elected				
																							
O'Halloran Hill                                                																							
	FIRST			1320	45.31		21	0.72		120	4.12		76	2.61		325	11.16		1051	36.08		2913	
	SECOND			4	19.05			Excluded		6	28.57		7	33.33		3	14.29		1	4.76		21	
		TOTAL		1324	45.45					126	4.33		83	2.85		328	11.26		1052	36.11		2913	
	THIRD			4	4.82					13	15.66			Excluded		50	60.24		16	19.28		83	
		TOTAL		1328	45.59					139	4.77					378	12.98		1068	36.66		2913	
	FOURTH			90	64.75						Excluded					26	18.71		23	16.55		139	
		TOTAL		1418	48.68											404	13.87		1091	37.45		2913	
	FIFTH			144	35.64												Excluded		260	64.36		404	
		TOTAL		1562	53.62														1351	46.38		2913	
																			Elected				
																							
O'Sullivan Beach                                               																							
	FIRST			367	27.43		16	1.20		124	9.27		40	2.99		149	11.14		642	47.98		1338	
