Senate - 2001 Election : South Australia				
Registered Group Voting Tickets				

Group A - Australian Labor Party				

Ticket	Party/Group Name	Candidate Name 	Preferences	
Group A	Australian Labor Party	"WONG, P."	1	
		"KIRK, L."	2	
		"SCHACHT, C."	3	
Group B	Australian Greens	"FAEHRMANN, C."	8	
		"DOUGLAS, J."	9	
Group C	Pauline Hanson's One Nation	"RUSSELL-TAYLOR, N."	25	
		"GIBSON, C."	26	
Group D	Unendorsed - Newman/Lines	"NEWNAM, K."	12	
		"LINES, L."	13	
Group E	Liberal Party	"HILL, R."	20	
		"FERRIS, J."	21
		"CHAPMAN, G."	22
		"LENSINK, M."	23
Group F	Unendorsed - Aldridge/Aldridge	"ALDRIDGE, M."	10
		"ALDRIDGE, H."	11
Group G	Unendorsed - Harte/Phillips	"HARTE, K."	14
		"PHILLIPS, C."	15
Group H	Republican Party of Australia	"CROZIER, P."	18
		"EASSON, R."	19
Group I	Australian Democrats	"STOTT DESPOJA, N."	4
		"HEATH, J."	5
		"PILLING, M."	6
		"HASSAN, H."	7
Ungrouped	Independent	"FISHLOCK, K."	16
	Citizens Electoral Council of Australia	"BEHN, E.C."	24
	Independent	"McSHANE, N."	17
			
			
Group B - Australian Greens			

Ticket	Party/Group Name	Candidate Name 	Preferences
Group A	Australian Labor Party	"WONG, P."	11
		"KIRK, L."	12
		"SCHACHT, C."	13
Group B	Australian Greens	"FAEHRMANN, C."	1
		"DOUGLAS, J."	2
Group C	Pauline Hanson's One Nation	"RUSSELL-TAYLOR, N."	25
		"GIBSON, C."	26
Group D	Unendorsed - Newman/Lines	"NEWNAM, K."	3
		"LINES, L."	4
Group E	Liberal Party	"HILL, R."	17
		"FERRIS, J."	18
		"CHAPMAN, G."	19
		"LENSINK, M."	20
Group F	Unendorsed - Aldridge/Aldridge	"ALDRIDGE, M."	15
		"ALDRIDGE, H."	16
Group G	Unendorsed - Harte/Phillips	"HARTE, K."	23
		"PHILLIPS, C."	24
Group H	Republican Party of Australia	"CROZIER, P."	5
		"EASSON, R."	6
Group I	Australian Democrats	"STOTT DESPOJA, N."	7
		"HEATH, J."	8
		"PILLING, M."	9
		"HASSAN, H."	10
Ungrouped	Independent	"FISHLOCK, K."	22
	Citizens Electoral Council of Australia	"BEHN, E.C."	21
	Independent	"McSHANE, N."	14
			
			
Group C - Pauline Hanson's One Nation			

Ticket	Party/Group Name	Candidate Name 	Preferences
Group A	Australian Labor Party	"WONG, P."	12
		"KIRK, L."	11
		"SCHACHT, C."	10
Group B	Australian Greens	"FAEHRMANN, C."	21
		"DOUGLAS, J."	22
Group C	Pauline Hanson's One Nation	"RUSSELL-TAYLOR, N."	1
		"GIBSON, C."	2
Group D	Unendorsed - Newman/Lines	"NEWNAM, K."	15
		"LINES, L."	16
Group E	Liberal Party	"HILL, R."	9
		"FERRIS, J."	8
		"CHAPMAN, G."	7
		"LENSINK, M."	6
Group F	Unendorsed - Aldridge/Aldridge	"ALDRIDGE, M."	3
		"ALDRIDGE, H."	4
Group G	Unendorsed - Harte/Phillips	"HARTE, K."	13
		"PHILLIPS, C."	14
Group H	Republican Party of Australia	"CROZIER, P."	17
		"EASSON, R."	18
Group I	Australian Democrats	"STOTT DESPOJA, N."	26
