Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Bonython (85484)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Bonython)		44	41.51		3	2.83		0	0.00		0	0.00		47	44.34		4	3.77		1	0.94		0	0.00		5	4.72		4	3.77		2	1.89		0	0.00		6	5.66		1	0.94		0	0.00		0	0.00		1	0.94		37	34.91		1	0.94		0	0.00		0	0.00		0	0.00		38	35.85		0	0.00		1	0.94		0	0.00		1	0.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	4.72		1	0.94		0	0.00		0	0.00		1	0.94		7	6.60		0	0.00		0	0.00		1	0.94		1	0.94		106	97.25		3	2.75		109	0.13																																																																																																											
Andrews Farm		499	41.27		10	0.83		2	0.17		5	0.41		516	42.68		18	1.49		2	0.17		0	0.00		20	1.65		54	4.47		12	0.99		0	0.00		66	5.46		0	0.00		0	0.00		0	0.00		0	0.00		405	33.50		20	1.65		2	0.17		1	0.08		0	0.00		428	35.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		153	12.66		25	2.07		0	0.00		0	0.00		0	0.00		178	14.72		0	0.00		0	0.00		0	0.00		0	0.00		1209	97.11		36	2.89		1245	1.52																																																																																																											
Angle Vale		440	30.43		10	0.69		1	0.07		5	0.35		456	31.54		29	2.01		4	0.28		0	0.00		33	2.28		83	5.74		13	0.90		1	0.07		97	6.71		2	0.14		0	0.00		1	0.07		3	0.21		692	47.86		17	1.18		0	0.00		1	0.07		0	0.00		710	49.10		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		2	0.14		0	0.00		0	0.00		2	0.14		130	8.99		13	0.90		0	0.00		0	0.00		0	0.00		143	9.89		0	0.00		0	0.00		0	0.00		0	0.00		1446	96.46		53	3.54		1499	1.83																																																																																																											
Brahma Lodge		837	44.90		18	0.97		1	0.05		11	0.59		867	46.51		32	1.72		7	0.38		0	0.00		39	2.09		88	4.72		9	0.48		0	0.00		97	5.20		1	0.05		1	0.05		0	0.00		2	0.11		604	32.40		27	1.45		0	0.00		2	0.11		2	0.11		635	34.07		1	0.05		1	0.05		0	0.00		2	0.11		1	0.05		0	0.00		0	0.00		1	0.05		3	0.16		2	0.11		1	0.05		6	0.32		191	10.25		22	1.18		0	0.00		0	0.00		0	0.00		213	11.43		1	0.05		0	0.00		1	0.05		2	0.11		1864	96.28		72	3.72		1936	2.36																																																																																																											
Craigmore		1190	38.72		21	0.68		7	0.23		12	0.39		1230	40.03		41	1.33		4	0.13		0	0.00		45	1.46		157	5.11		15	0.49		0	0.00		172	5.60		3	0.10		0	0.00		0	0.00		3	0.10		1152	37.49		34	1.11		1	0.03		2	0.07		1	0.03		1190	38.72		1	0.03		0	0.00		0	0.00		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		7	0.23		0	0.00		1	0.03		8	0.26		387	12.59		37	1.20		0	0.00		0	0.00		0	0.00		424	13.80		0	0.00		0	0.00		0	0.00		0	0.00		3073	96.91		98	3.09		3171	3.87																																																																																																											
Craigmore South		1181	38.93		23	0.76		8	0.26		18	0.59		1230	40.54		54	1.78		14	0.46		0	0.00		68	2.24		130	4.28		16	0.53		3	0.10		149	4.91		5	0.16		2	0.07		0	0.00		7	0.23		1144	37.71		44	1.45		5	0.16		2	0.07		0	0.00		1195	39.39		3	0.10		0	0.00		0	0.00		3	0.10		0	0.00		1	0.03		1	0.03		2	0.07		4	0.13		0	0.00		0	0.00		4	0.13		322	10.61		49	1.62		1	0.03		0	0.00		0	0.00		372	12.26		3	0.10		1	0.03		0	0.00		4	0.13		3034	97.18		88	2.82		3122	3.81																																																																																																											
Davoren Park North		836	50.51		23	1.39		4	0.24		7	0.42		870	52.57		32	1.93		5	0.30		0	0.00		37	2.24		119	7.19		13	0.79		1	0.06		133	8.04		1	0.06		0	0.00		0	0.00		1	0.06		417	25.20		22	1.33		0	0.00		0	0.00		0	0.00		439	26.53		3	0.18		0	0.00		0	0.00		3	0.18		1	0.06		0	0.00		0	0.00		1	0.06		2	0.12		0	0.00		0	0.00		2	0.12		148	8.94		20	1.21		0	0.00		0	0.00		0	0.00		168	10.15		1	0.06		0	0.00		0	0.00		1	0.06		1655	96.61		58	3.39		1713	2.09																																																																																																											
Davoren Park South		700	51.17		27	1.97		2	0.15		5	0.37		734	53.65		29	2.12		8	0.58		1	0.07		38	2.78		104	7.60		13	0.95		1	0.07		118	8.63		1	0.07		0	0.00		0	0.00		1	0.07		344	25.15		3	0.22		0	0.00		2	0.15		0	0.00		349	25.51		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		1	0.07		2	0.15		3	0.22		0	0.00		0	0.00		3	0.22		114	8.33		6	0.44		0	0.00		0	0.00		0	0.00		120	8.77		0	0.00		1	0.07		1	0.07		2	0.15		1368	95.93		58	4.07		1426	1.74																																																																																																									
Direk		380	51.70		8	1.09		3	0.41		1	0.14		392	53.33		14	1.90		1	0.14		0	0.00		15	2.04		38	5.17		5	0.68		1	0.14		44	5.99		1	0.14		0	0.00		0	0.00		1	0.14		200	27.21		4	0.54		1	0.14		1	0.14		0	0.00		206	28.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.54		0	0.00		0	0.00		4	0.54		58	7.89		13	1.77		0	0.00		0	0.00		0	0.00		71	9.66		1	0.14		0	0.00		1	0.14		2	0.27		735	98.13		14	1.87		749	0.91																																																																																																									
Elizabeth		272	36.96		10	1.36		0	0.00		0	0.00		282	38.32		17	2.31		4	0.54		0	0.00		21	2.85		28	3.80		5	0.68		1	0.14		34	4.62		0	0.00		0	0.00		0	0.00		0	0.00		291	39.54		10	1.36		0	0.00		1	0.14		0	0.00		302	41.03		1	0.14		0	0.00		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		5	0.68		0	0.00		0	0.00		5	0.68		77	10.46		12	1.63		0	0.00		0	0.00		0	0.00		89	12.09		1	0.14		0	0.00		1	0.14		2	0.27		736	97.61		18	2.39		754	0.92																																																																																																									
Elizabeth Downs		1246	49.88		36	1.44		4	0.16		4	0.16		1290	51.64		48	1.92		12	0.48		1	0.04		61	2.44		153	6.12		19	0.76		0	0.00		172	6.89		2	0.08		1	0.04		0	0.00		3	0.12		682	27.30		18	0.72		1	0.04		2	0.08		0	0.00		703	28.14		4	0.16		1	0.04		0	0.00		5	0.20		0	0.00		0	0.00		0	0.00		0	0.00		8	0.32		0	0.00		0	0.00		8	0.32		220	8.81		32	1.28		2	0.08		0	0.00		0	0.00		254	10.17		2	0.08		0	0.00		0	0.00		2	0.08		2498	96.63		87	3.37		2585	3.15																																																																																																									
Elizabeth East		972	44.98		30	1.39		4	0.19		10	0.46		1016	47.02		36	1.67		7	0.32		1	0.05		44	2.04		150	6.94		17	0.79		1	0.05		168	7.77		7	0.32		1	0.05		0	0.00		8	0.37		631	29.20		19	0.88		0	0.00		1	0.05		0	0.00		651	30.12		3	0.14		0	0.00		0	0.00		3	0.14		0	0.00		0	0.00		0	0.00		0	0.00		4	0.19		1	0.05		0	0.00		5	0.23		236	10.92		28	1.30		1	0.05		0	0.00		1	0.05		266	12.31		0	0.00		0	0.00		0	0.00		0	0.00		2161	97.17		63	2.83		2224	2.71																																																																																																									
Elizabeth Grove		580	51.97		13	1.16		4	0.36		9	0.81		606	54.30		30	2.69		6	0.54		0	0.00		36	3.23		42	3.76		6	0.54		0	0.00		48	4.30		2	0.18		1	0.09		0	0.00		3	0.27		287	25.72		18	1.61		3	0.27		1	0.09		1	0.09		310	27.78		2	0.18		0	0.00		0	0.00		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		6	0.54		1	0.09		0	0.00		7	0.63		89	7.97		12	1.08		0	0.00		0	0.00		1	0.09		102	9.14		2	0.18		0	0.00		0	0.00		2	0.18		1116	96.12		45	3.88		1161	1.42																																																																																																									
