House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Hindmarsh																				
				FITZPATRICK			GEORGANAS			GALLUS			CASHEL			DOWD				
				Peter			Steve			Chris			Deb			Caroline				
				HAN			ALP			LP			GRN			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adelaide (Hindmarsh)                                           																				
	FIRST			4	2.94		47	34.56		47	34.56		10	7.35		28	20.59		136	
	SECOND				Excluded		1	25.00		1	25.00		1	25.00		1	25.00		4	
		TOTAL					48	35.29		48	35.29		11	8.09		29	21.32		136	
	THIRD						1	9.09		0	0.00			Excluded		10	90.91		11	
		TOTAL					49	36.03		48	35.29					39	28.68		136	
	FOURTH						27	69.23		12	30.77						Excluded		39	
		TOTAL					76	55.88		60	44.12								136	
										Elected										
																				
Ascot Park South                                               																				
	FIRST			43	4.67		407	44.19		361	39.20		25	2.71		85	9.23		921	
	SECOND				Excluded		23	53.49		13	30.23		6	13.95		1	2.33		43	
		TOTAL					430	46.69		374	40.61		31	3.37		86	9.34		921	
	THIRD						8	25.81		1	3.23			Excluded		22	70.97		31	
		TOTAL					438	47.56		375	40.72					108	11.73		921	
	FOURTH						70	64.81		38	35.19						Excluded		108	
		TOTAL					508	55.16		413	44.84								921	
										Elected										
																				
Brooklyn Park                                                  																				
	FIRST			63	3.19		939	47.47		734	37.11		71	3.59		171	8.65		1978	
	SECOND				Excluded		35	55.56		22	34.92		5	7.94		1	1.59		63	
		TOTAL					974	49.24		756	38.22		76	3.84		172	8.70		1978	
	THIRD						13	17.11		7	9.21			Excluded		56	73.68		76	
		TOTAL					987	49.90		763	38.57					228	11.53		1978	
	FOURTH						152	66.67		76	33.33						Excluded		228	
		TOTAL					1139	57.58		839	42.42								1978	
										Elected										
																				
Brooklyn Park South                                            																				
	FIRST			38	3.30		477	41.44		512	44.48		27	2.35		97	8.43		1151	
	SECOND				Excluded		13	34.21		19	50.00		3	7.89		3	7.89		38	
		TOTAL					490	42.57		531	46.13		30	2.61		100	8.69		1151	
	THIRD						7	23.33		4	13.33			Excluded		19	63.33		30	
		TOTAL					497	43.18		535	46.48					119	10.34		1151	
	FOURTH						68	57.14		51	42.86						Excluded		119	
		TOTAL					565	49.09		586	50.91								1151	
										Elected										
																				
Camden Park                                                    																				
	FIRST			55	5.10		438	40.59		490	45.41		21	1.95		75	6.95		1079	
	SECOND				Excluded		28	50.91		18	32.73		8	14.55		1	1.82		55	
		TOTAL					466	43.19		508	47.08		29	2.69		76	7.04		1079	
	THIRD						5	17.24		4	13.79			Excluded		20	68.97		29	
		TOTAL					471	43.65		512	47.45					96	8.90		1079	
	FOURTH						52	54.17		44	45.83						Excluded		96	
