House of Representatives - 2001 Election: Australian Capital Territory																																								
Distribution of Preferences																																								
By Division																																								
																																								
																																								
																																								
																																								
Canberra																																								
				COX			BARNIER			ELLIS			MILLER			KOOREY			MATTHEWS																					
				Barry			Belinda			Annette			John			Stephanie			Aaron																					
				(HAN)			(LP)			(ALP)			(CTA)			(GRN)			(DEM)																					
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																			
FIRST			3179	3.17		34148	34.04		46632	46.48		2003	2.00		6268	6.25		8098	8.07		100328																			
SECOND			135	6.74		961	47.98		450	22.47			Excluded		214	10.68		243	12.13		2003																			
	TOTAL		3314	3.30		35109	34.99		47082	46.93					6482	6.46		8341	8.31		100328																			
THIRD				Excluded		1720	51.90		907	27.37					343	10.35		344	10.38		3314																			
	TOTAL					36829	36.71		47989	47.83					6825	6.80		8685	8.66		100328																			
FOURTH						635	9.30		2229	32.66						Excluded		3961	58.04		6825																			
	TOTAL					37464	37.34		50218	50.05								12646	12.60		100328																			
FIFTH						3232	25.56		9414	74.44									Excluded		12646																			
	TOTAL					40696	40.56		59632	59.44											100328																			
										Elected																														
																																								
Fraser																																								
				DUNN			O'CALLAGHAN			KEMP			MCMULLAN			WIMBORNE			VASSILOPOULOS			O'SULLIVAN																		
				Martin			Ben			Paul			Bob			Fleur			James			Caroline																		
				(LP)			(GRN)			(HAN)			(ALP)			(DEM)						(CTA)																		
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																
FIRST			31503	30.78		8067	7.88		2397	2.34		48583	47.47		8168	7.98		1369	1.34		2251	2.20		102338																
SECOND			113	8.25		614	44.85		57	4.16		271	19.80		190	13.88			Excluded		124	9.06		1369																
	TOTAL		31616	30.89		8681	8.48		2454	2.40		48854	47.74		8358	8.17					2375	2.32		102338																
THIRD			1089	45.85		189	7.96		208	8.76		398	16.76		491	20.67						Excluded		2375																
	TOTAL		32705	31.96		8870	8.67		2662	2.60		49252	48.13		8849	8.65								102338																
FOURTH			1109	41.66		491	18.44			Excluded		730	27.42		332	12.47								2662																
	TOTAL		33814	33.04		9361	9.15					49982	48.84		9181	8.97								102338																
FIFTH			1474	16.05		4417	48.11					3290	35.83			Excluded								9181																
	TOTAL		35288	34.48		13778	13.46					53272	52.05											102338																
SIXTH			2896	21.02			Excluded					10882	78.98											13778																
	TOTAL		38184	37.31								64154	62.69											102338																
													Elected																											
