House of Representatives- 2001 Australian Capital Territory								
Swing to ALP								
By Division by Polling Place								
								
Canberra								
								
Polling Place	Formal	ELLIS		BARNIER		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Bonython	1889	1105	58.50	784	41.50	-5.81		
Calwell	2896	1685	58.18	1211	41.82	-2.93		
Canberra Hospital	938	561	59.81	377	40.19	-1.30		
Chapman	2464	1441	58.48	1023	41.52	5.07		
Chifley	1463	960	65.62	503	34.38	1.21		
Chisholm	1898	1145	60.33	753	39.67	-1.48		
Conder	2794	1717	61.45	1077	38.55	-3.36		
Curtin	3030	1894	62.51	1136	37.49	1.60		
Deakin	1464	685	46.79	779	53.21	3.31		
Duffy	2020	1333	65.99	687	34.01	3.05		
Fadden	2261	1207	53.38	1054	46.62	1.70		
Farrer	2781	1491	53.61	1290	46.39	0.95		
Gilmore	2261	1312	58.03	949	41.97	-1.35		
Gordon	3802	2154	56.65	1648	43.35	-3.79		
Gowrie	1917	1115	58.16	802	41.84	-1.98		
Holder	1604	1027	64.03	577	35.97	2.95		
Hughes	2973	1755	59.03	1218	40.97	0.97		
Isabella Plains	2553	1502	58.83	1051	41.17	-3.23		
Kambah East	1978	1229	62.13	749	37.87	0.48		
Kambah North	1651	1051	63.66	600	36.34	1.63		
Kambah South	1638	1053	64.29	585	35.71	-1.73		
Kambah West	3487	2144	61.49	1343	38.51	-3.74		
Lyons	1421	966	67.98	455	32.02	-0.84		
Mawson	2897	1673	57.75	1224	42.25	-0.27		
Monash	3018	1829	60.60	1189	39.40	-0.52		
Oaks Estate	170	103	60.59	67	39.41	-7.65		
Pearce	2417	1407	58.21	1010	41.79	0.80		
Red Hill	1854	973	52.48	881	47.52	1.48		
Richardson	1779	1056	59.36	723	40.64	-5.54		
Rivett	1875	1162	61.97	713	38.03	-1.11		
Special Hospital Team 1	297	101	34.01	196	65.99	2.37		
Special Hospital Team 2	370	161	43.51	209	56.49	6.46		
Tharwa	135	73	54.07	62	45.93	-10.79		
Theodore	1541	941	61.06	600	38.94	-3.32		
Wanniassa	2792	1753	62.79	1039	37.21	-1.83		
Wanniassa Hills	2717	1609	59.22	1108	40.78	1.25		
Waramanga	3232	2043	63.21	1189	36.79	-0.51		
Weston	1860	1137	61.13	723	38.87	-1.39		
Yarralumla	1749	1088	62.21	661	37.79	3.01		
ABSENT	2674	1648	61.63	1026	38.37	-		
POSTAL	2661	1426	53.59	1235	46.41	-		
PRE POLL	14547	8562	58.86	5985	41.14	-		
PROVISIONAL	560	355	63.39	205	36.61	-		
Division Total	100328	59632	59.44	40696	40.56	-0.62		
								
								
Fraser								
								
Polling Place	Formal	McMULLAN		DUNN		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Ainslie	1645	1188	72.22	457	27.78	0.42		
Ainslie North	2136	1550	72.57	586	27.43	-1.03		
Aranda	2798	1957	69.94	841	30.06	0.32		
Baker Gardens	727	546	75.10	181	24.90	0.91		
Barton	1406	838	59.60	568	40.40	2.66		
Belconnen	2429	1555	64.02	874	35.98	-1.60		
Bruce	652	375	57.52	277	42.48	2.50		
Campbell	2291	1188	51.86	1103	48.14	3.13		
Charnwood	3251	2018	62.07	1233	37.93	-6.01		
City	1191	805	67.59	386	32.41	-3.52		
Dickson	1480	1043	70.47	437	29.53	-0.31		
Downer	1467	1031	70.28	436	29.72	-1.49		
Evatt	3179	1956	61.53	1223	38.47	-3.03		
Evatt South	1446	868	60.03	578	39.97	-3.23		
Florey	2144	1373	64.04	771	35.96	0.26		
Flynn	1695	1083	63.89	612	36.11	-0.11		
Fraser	1507	884	58.66	623	41.34	-8.35		
Giralang	2060	1258	61.07	802	38.93	-3.14		
Griffith	1859	1194	64.23	665	35.77	1.84		
Gungahlin	1590	818	51.45	772	48.55	-8.85		
Hall	341	161	47.21	180	52.79	-11.21		
Higgins	2165	1305	60.28	860	39.72	-5.99		
Holt	2304	1427	61.94	877	38.06	-4.62		
Jervis Bay	108	52	48.15	56	51.85	-7.08		
Kaleen	2869	1809	63.05	1060	36.95	-1.97		
Kaleen South	1649	1013	61.43	636	38.57	-0.33		
Latham	1928	1123	58.25	805	41.75	-4.33		
Lyneham	3619	2670	73.78	949	26.22	-0.37		
Macgregor	1739	1091	62.74	648	37.26	-4.46		
Macquarie	1698	1133	66.73	565	33.27	-0.07		
Melba	2264	1373	60.64	891	39.36	-2.30		
Narrabundah	1805	1257	69.64	548	30.36	-2.79		
Ngunnawal	2767	1576	56.96	1191	43.04	-3.43		
Ngunnawal South	1053	580	55.08	473	44.92	-4.33		
Nicholls	2673	1430	53.50	1243	46.50	-3.88		
Page	1597	1002	62.74	595	37.26	-2.56		
Palmerston	3089	1750	56.65	1339	43.35	-5.03		
Prison Mobile Team 1	14	10	71.43	4	28.57	-		
Reid	674	439	65.13	235	34.87	-2.47		
Scullin	2040	1276	62.55	764	37.45	-3.18		
Special Hospital Team 1	309	127	41.10	182	58.90	-10.44		
Special Hospital Team 2	195	107	54.87	88	45.13	-3.69		
Turner	1816	1425	78.47	391	21.53	-0.18		
Watson	2822	1912	67.75	910	32.25	-1.36		
Weetangera	2495	1449	58.08	1046	41.92	3.50		
Wreck Bay	75	72	96.00	3	4.00	-2.44		
ABSENT	2355	1444	61.32	911	38.68	-		
POSTAL	3283	1886	57.45	1397	42.55	-		
PRE POLL	14963	9270	61.95	5693	38.05	-		
PROVISIONAL	676	457	67.60	219	32.40	-		
Division Total	102338	64154	62.69	38184	37.31	-2.17		
								
