Senate - 2001 Election: Australian Capital Territory																														
First Preference Votes by Group - Polling Place																														
Australian Capital Territory																														

Fraser (112225)																														
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		DEM			CTA			GRN			ALP			LP			HAN			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ainslie		207	12.29		13	0.77		230	13.66		774	45.96		383	22.74		32	1.90		45	2.67		1684	96.67		58	3.33		1742	1.64
Ainslie North		215	9.93		33	1.52		344	15.88		965	44.55		493	22.76		52	2.40		64	2.95		2166	97.26		61	2.74		2227	2.09
Aranda		348	12.35		47	1.67		405	14.38		1175	41.71		698	24.78		38	1.35		106	3.76		2817	97.58		70	2.42		2887	2.71
Baker Gardens		54	7.46		3	0.41		121	16.71		346	47.79		164	22.65		13	1.80		23	3.18		724	96.02		30	3.98		754	0.71
Barton		166	11.68		9	0.63		150	10.56		525	36.95		509	35.82		20	1.41		42	2.96		1421	98.07		28	1.93		1449	1.36
Belconnen		366	14.88		49	1.99		205	8.34		1061	43.15		700	28.47		36	1.46		42	1.71		2459	98.20		45	1.80		2504	2.35
Bruce		59	8.93		19	2.87		45	6.81		266	40.24		249	37.67		9	1.36		14	2.12		661	98.66		9	1.34		670	0.63
Campbell		239	10.41		36	1.57		226	9.84		707	30.79		1012	44.08		24	1.05		52	2.26		2296	98.33		39	1.67		2335	2.19
Charnwood		317	9.55		71	2.14		151	4.55		1592	47.94		1052	31.68		96	2.89		42	1.26		3321	97.53		84	2.47		3405	3.20
City		221	18.39		23	1.91		198	16.47		428	35.61		294	24.46		14	1.16		24	2.00		1202	96.94		38	3.06		1240	1.17
Dickson		209	14.04		25	1.68		215	14.44		620	41.64		357	23.98		23	1.54		40	2.69		1489	97.45		39	2.55		1528	1.44
Downer		139	9.40		19	1.29		163	11.03		719	48.65		395	26.73		23	1.56		20	1.35		1478	96.35		56	3.65		1534	1.44
