Senate - 2001 Election: Australian Capital Territory																														
First Preference Votes by Group 																														
By  Polling Place																														

Canberra (108959)																														
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		DEM			CTA			GRN			ALP			LP			HAN			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bonython		219	11.45		29	1.52		64	3.35		825	43.13		700	36.59		52	2.72		24	1.25		1913	98.20		35	1.80		1948	1.87
Calwell		286	9.73		38	1.29		86	2.93		1248	42.48		1160	39.48		66	2.25		54	1.84		2938	97.32		81	2.68		3019	2.90
Canberra Hospital		111	11.66		15	1.58		80	8.40		380	39.92		342	35.92		10	1.05		14	1.47		952	96.45		35	3.55		987	0.95
Chapman		269	10.91		47	1.91		210	8.52		916	37.15		910	36.90		43	1.74		71	2.88		2466	97.62		60	2.38		2526	2.43
Chifley		148	10.03		19	1.29		135	9.15		679	46.03		432	29.29		24	1.63		38	2.58		1475	97.42		39	2.58		1514	1.46
Chisholm		192	9.84		33	1.69		63	3.23		869	44.54		717	36.75		49	2.51		28	1.44		1951	97.21		56	2.79		2007	1.93
Conder		263	9.22		39	1.37		90	3.15		1300	45.57		1025	35.93		97	3.40		39	1.37		2853	97.87		62	2.13		2915	2.80
Curtin		347	11.37		48	1.57		311	10.19		1208	39.58		1002	32.83		68	2.23		68	2.23		3052	97.79		69	2.21		3121	3.00
Deakin		100	6.87		12	0.82		124	8.52		426	29.28		713	49.00		10	0.69		70	4.81		1455	96.55		52	3.45		1507	1.45
Duffy		256	12.41		37	1.79		201	9.74		872	42.27		604	29.28		38	1.84		55	2.67		2063	98.47		32	1.53		2095	2.01
Fadden		249	10.88		25	1.09		88	3.84		828	36.17		1021	44.60		26	1.14		52	2.27		2289	98.62		32	1.38		2321	2.23
Farrer		270	9.66		45	1.61		139	4.97		1032	36.91		1206	43.13		36	1.29		68	2.43		2796	97.32		77	2.68		2873	2.76
