Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Canberra (108959)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Bonython			167	8.73		37	1.93		15	0.78		219	11.45		15	0.78		10	0.52		4	0.21		29	1.52		41	2.14		22	1.15		1	0.05		64	3.35		689	36.02		130	6.80		6	0.31		825	43.13		622	32.51		67	3.50		11	0.58		700	36.59		38	1.99		12	0.63		2	0.10		52	2.72		0	0.00		24	1.25		24	1.25		1913	98.20		35	1.80		1948	1.87																																																																																																																																																																	
Calwell			209	7.11		59	2.01		18	0.61		286	9.73		24	0.82		10	0.34		4	0.14		38	1.29		49	1.67		27	0.92		10	0.34		86	2.93		1051	35.77		186	6.33		11	0.37		1248	42.48		1053	35.84		97	3.30		10	0.34		1160	39.48		52	1.77		13	0.44		1	0.03		66	2.25		0	0.00		54	1.84		54	1.84		2938	97.32		81	2.68		3019	2.90																																																																																																																																																																	
Canberra Hospital			70	7.35		31	3.26		10	1.05		111	11.66		7	0.74		7	0.74		1	0.11		15	1.58		40	4.20		29	3.05		11	1.16		80	8.40		305	32.04		68	7.14		7	0.74		380	39.92		305	32.04		32	3.36		5	0.53		342	35.92		7	0.74		3	0.32		0	0.00		10	1.05		0	0.00		14	1.47		14	1.47		952	96.45		35	3.55		987	0.95																																																																																																																																																																	
Chapman			173	7.02		64	2.60		32	1.30		269	10.91		25	1.01		18	0.73		4	0.16		47	1.91		111	4.50		76	3.08		23	0.93		210	8.52		737	29.89		167	6.77		12	0.49		916	37.15		796	32.28		104	4.22		10	0.41		910	36.90		26	1.05		16	0.65		1	0.04		43	1.74		2	0.08		69	2.80		71	2.88		2466	97.62		60	2.38		2526	2.43																																																																																																																																																																	
Chifley			86	5.83		47	3.19		15	1.02		148	10.03		10	0.68		6	0.41		3	0.20		19	1.29		68	4.61		47	3.19		20	1.36		135	9.15		543	36.81		126	8.54		10	0.68		679	46.03		373	25.29		55	3.73		4	0.27		432	29.29		17	1.15		7	0.47		0	0.00		24	1.63		1	0.07		37	2.51		38	2.58		1475	97.42		39	2.58		1514	1.46																																																																																																																																																																	
Chisholm			146	7.48		37	1.90		9	0.46		192	9.84		26	1.33		6	0.31		1	0.05		33	1.69		43	2.20		15	0.77		5	0.26		63	3.23		746	38.24		110	5.64		13	0.67		869	44.54		640	32.80		73	3.74		4	0.21		717	36.75		38	1.95		11	0.56		0	0.00		49	2.51		0	0.00		28	1.44		28	1.44		1951	97.21		56	2.79		2007	1.93																																																																																																																																																															
Conder			195	6.83		51	1.79		17	0.60		263	9.22		20	0.70		15	0.53		4	0.14		39	1.37		57	2.00		27	0.95		6	0.21		90	3.15		1136	39.82		160	5.61		4	0.14		1300	45.57		930	32.60		87	3.05		8	0.28		1025	35.93		85	2.98		12	0.42		0	0.00		97	3.40		0	0.00		39	1.37		39	1.37		2853	97.87		62	2.13		2915	2.80																																																																																																																																																															
Curtin			202	6.62		111	3.64		34	1.11		347	11.37		24	0.79		21	0.69		3	0.10		48	1.57		147	4.82		118	3.87		46	1.51		311	10.19		900	29.49		299	9.80		9	0.29		1208	39.58		848	27.79		143	4.69		11	0.36		1002	32.83		42	1.38		23	0.75		3	0.10		68	2.23		2	0.07		66	2.16		68	2.23		3052	97.79		69	2.21		3121	3.00																																																																																																																																																															
Deakin			63	4.33		25	1.72		12	0.82		100	6.87		8	0.55		4	0.27		0	0.00		12	0.82		49	3.37		58	3.99		17	1.17		124	8.52		324	22.27		98	6.74		4	0.27		426	29.28		638	43.85		70	4.81		5	0.34		713	49.00		5	0.34		4	0.27		1	0.07		10	0.69		0	0.00		70	4.81		70	4.81		1455	96.55		52	3.45		1507	1.45																																																																																																																																																															
Duffy			160	7.76		65	3.15		31	1.50		256	12.41		23	1.11		12	0.58		2	0.10		37	1.79		100	4.85		83	4.02		18	0.87		201	9.74		720	34.90		145	7.03		7	0.34		872	42.27		515	24.96		80	3.88		9	0.44		604	29.28		25	1.21		13	0.63		0	0.00		38	1.84		1	0.05		54	2.62		55	2.67		2063	98.47		32	1.53		2095	2.01																																																																																																																																																															
