Senate - 2001 Election																
First Preference Votes by Candidate																
By Vote Type by Division																
																
Australian Capital Territory																

Canberra (108959)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	DEM	5519	6.83	186	6.73	50	7.89	1025	6.93	160	6.11	0	6940	6.83
		"SIEVERS, Wayne"	DEM	2080	2.57	87	3.15	15	2.37	333	2.25	55	2.10	0	2570	2.53
		"DUNDAS, Roslyn Jane"	DEM	714	0.88	33	1.19	5	0.79	151	1.02	33	1.26	0	936	0.92
		Group Total	DEM	8313	10.29	306	11.07	70	11.04	1509	10.20	248	9.47	0	10446	10.28
B		TICKET VOTES	CTA	811	1.00	38	1.37	9	1.42	128	0.87	55	2.10	0	1041	1.02
		"McCLURE, Ian"	CTA	532	0.66	11	0.40	2	0.32	89	0.60	7	0.27	0	641	0.63
		"JANES, Tim"	CTA	114	0.14	3	0.11	2	0.32	7	0.05	2	0.08	0	128	0.13
		Group Total	CTA	1457	1.80	52	1.88	13	2.05	224	1.51	64	2.44	0	1810	1.78
C		TICKET VOTES	GRN	2576	3.19	222	8.03	25	3.94	517	3.50	31	1.18	0	3371	3.32
		"CORR, Gary"	GRN	1645	2.04	82	2.97	4	0.63	256	1.73	33	1.26	0	2020	1.99
		"FAHEY, Felicity"	GRN	531	0.66	30	1.08	7	1.10	92	0.62	25	0.95	0	685	0.67
		Group Total	GRN	4752	5.88	334	12.08	36	5.68	865	5.85	89	3.40	0	6076	5.98
D		TICKET VOTES	ALP	27762	34.35	860	31.10	260	41.01	5168	34.95	760	29.01	0	34810	34.26
	#	"LUNDY, Kate"	ALP	5536	6.85	193	6.98	35	5.52	979	6.62	183	6.98	0	6926	6.82
		"POKE, Robin"	ALP	321	0.40	17	0.61	0	0.00	53	0.36	16	0.61	0	407	0.40
		Group Total	ALP	33619	41.60	1070	38.70	295	46.53	6200	41.93	959	36.60	0	42143	41.47
E		TICKET VOTES	LP	25901	32.05	785	28.39	178	28.08	4852	32.81	989	37.75	0	32705	32.18
	#	"REID, Margaret"	LP	3155	3.90	93	3.36	14	2.21	586	3.96	149	5.69	0	3997	3.93
		"HANLON, Bill"	LP	314	0.39	15	0.54	2	0.32	58	0.39	8	0.31	0	397	0.39
		Group Total	LP	29370	36.34	893	32.30	194	30.60	5496	37.17	1146	43.74	0	37099	36.51
F		TICKET VOTES	HAN	1319	1.63	46	1.66	16	2.52	273	1.85	55	2.10	0	1709	1.68
		"TARLINTON, Don"	HAN	392	0.49	17	0.61	6	0.95	71	0.48	28	1.07	0	514	0.51
		"TARLINTON, Ted"	HAN	29	0.04	0	0.00	0	0.00	4	0.03	2	0.08	0	35	0.03
		Group Total	HAN	1740	2.15	63	2.28	22	3.47	348	2.35	85	3.24	0	2258	2.22
UNGROUPED																
		"ARNOLD, James T A"	CEC	37	0.05	0	0.00	1	0.16	4	0.03	1	0.04	0	43	0.04
		"HELM, Ken"	IND	1522	1.88	47	1.70	3	0.47	142	0.96	28	1.07	0	1742	1.71
		Ungrouped Total		1559	1.93	47	1.70	4	0.63	146	0.99	29	1.11	0	1785	1.76
			FORMAL	80810	97.48	2765	98.08	634	97.84	14788	98.77	2620	98.57	0	101617	97.71
			INFORMAL	2090	2.52	54	1.92	14	2.16	184	1.23	38	1.43	0	2380	2.29
			TOTAL	82900	79.71	2819	2.71	648	0.62	14972	14.40	2658	2.56	0	103997	95.45



Fraser (112225)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	DEM	5737	6.98	189	7.69	56	7.33	1160	7.65	187	5.73	0	7329	7.06
		"SIEVERS, Wayne"	DEM	2384	2.90	76	3.09	19	2.49	427	2.82	81	2.48	0	2987	2.88
		"DUNDAS, Roslyn Jane"	DEM	1017	1.24	37	1.51	10	1.31	209	1.38	37	1.13	0	1310	1.26
		Group Total	DEM	9138	11.12	302	12.29	85	11.13	1796	11.85	305	9.34	0	11626	11.19
B		TICKET VOTES	CTA	840	1.02	22	0.90	9	1.18	115	0.76	32	0.98	0	1018	0.98
		"McCLURE, Ian"	CTA	572	0.70	13	0.53	1	0.13	77	0.51	16	0.49	0	679	0.65
