House of Representatives - 2001 Election: Australian Capital Territory																									
Distribution of Preferences 																									
By Polling Place																									
																									
																									
Fraser																									
					DUNN			O'CALLAGHAN			KEMP			MCMULLAN			WIMBORNE			VASSILOPOULOS			O'SULLIVAN		
					Martin			Ben			Paul			Bob			Fleur			James			Caroline		
					LP			GRN			HAN			ALP			DEM						CTA		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Ainslie                                                        																									
	FIRST			372	22.61		201	12.22		35	2.13		865	52.58		124	7.54		31	1.88		17	1.03		1645
	SECOND			0	0.00		21	67.74		0	0.00		8	25.81		2	6.45			Excluded		0	0.00		31
		TOTAL		372	22.61		222	13.50		35	2.13		873	53.07		126	7.66					17	1.03		1645
	THIRD			11	64.71		0	0.00		0	0.00		2	11.76		4	23.53						Excluded		17
		TOTAL		383	23.28		222	13.50		35	2.13		875	53.19		130	7.90								1645
	FOURTH			10	28.57		8	22.86			Excluded		12	34.29		5	14.29								35
		TOTAL		393	23.89		230	13.98					887	53.92		135	8.21								1645
	FIFTH			20	14.81		64	47.41					51	37.78			Excluded								135
		TOTAL		413	25.11		294	17.87					938	57.02											1645
	SIXTH			44	14.97			Excluded					250	85.03											294
		TOTAL		457	27.78								1188	72.22											1645
													Elected												
																									
Ainslie North                                                  																									
	FIRST			459	21.49		308	14.42		54	2.53		1074	50.28		148	6.93		45	2.11		48	2.25		2136
	SECOND			2	4.44		25	55.56		4	8.89		6	13.33		4	8.89			Excluded		4	8.89		45
		TOTAL		461	21.58		333	15.59		58	2.72		1080	50.56		152	7.12					52	2.43		2136
	THIRD			26	50.00		3	5.77		5	9.62		8	15.38		10	19.23						Excluded		52
		TOTAL		487	22.80		336	15.73		63	2.95		1088	50.94		162	7.58								2136
	FOURTH			24	38.10		12	19.05			Excluded		18	28.57		9	14.29								63
		TOTAL		511	23.92		348	16.29					1106	51.78		171	8.01								2136
	FIFTH			21	12.28		94	54.97					56	32.75			Excluded								171
		TOTAL		532	24.91		442	20.69					1162	54.40											2136
	SIXTH			54	12.22			Excluded					388	87.78											442
		TOTAL		586	27.43								1550	72.57											2136
													Elected												
																									
Aranda                                                         																									
	FIRST			681	24.34		347	12.40		52	1.86		1388	49.61		232	8.29		45	1.61		53	1.89		2798
