Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexandra Hills		                            	29	1.06	 	127	4.62	 	793	28.86	 	28	1.02	 	1	0.04	 	60	2.18	 	1490	54.22	 	3	0.11	 	6	0.22	 	2	0.07	 	207	7.53	 	2	0.07	 	2748	97.76	 	63	2.24	 	2811	3.86
Alexandra Park		                             	19	0.92	 	120	5.83	 	726	35.28	 	14	0.68	 	2	0.1	 	63	3.06	 	934	45.38	 	0	0	 	5	0.24	 	3	0.15	 	168	8.16	 	4	0.19	 	2058	98.8	 	25	1.2	 	2083	2.86
Amity Point		                                	3	1.41	 	10	4.69	 	53	24.88	 	0	0	 	0	0	 	4	1.88	 	123	57.75	 	0	0	 	1	0.47	 	0	0	 	19	8.92	 	0	0	 	213	98.16	 	4	1.84	 	217	0.3
Birkdale		                                   	29	0.85	 	170	5.01	 	1236	36.42	 	27	0.8	 	4	0.12	 	122	3.59	 	1482	43.67	 	0	0	 	15	0.44	 	7	0.21	 	301	8.87	 	1	0.03	 	3394	97.73	 	79	2.27	 	3473	4.77
Birkdale South		                             	32	1.3	 	134	5.44	 	742	30.11	 	15	0.61	 	2	0.08	 	106	4.3	 	1229	49.88	 	0	0	 	4	0.16	 	2	0.08	 	196	7.95	 	2	0.08	 	2464	98.17	 	46	1.83	 	2510	3.45
Brisbane City (Bowman)		                     	5	3.45	 	11	7.59	 	21	14.48	 	1	0.69	 	2	1.38	 	7	4.83	 	78	53.79	 	0	0	 	0	0	 	2	1.38	 	17	11.72	 	1	0.69	 	145	98.64	 	2	1.36	 	147	0.2
Capalaba		                                   	37	1.43	 	113	4.36	 	869	33.51	 	9	0.35	 	1	0.04	 	80	3.09	 	1253	48.32	 	0	0	 	7	0.27	 	5	0.19	 	212	8.18	 	7	0.27	 	2593	98.18	 	48	1.82	 	2641	3.63
Capalaba School (Bowman)		                   	33	1.19	 	126	4.55	 	844	30.49	 	18	0.65	 	0	0	 	142	5.13	 	1386	50.07	 	3	0.11	 	7	0.25	 	4	0.14	 	201	7.26	 	4	0.14	 	2768	98.02	 	56	1.98	 	2824	3.88
Cleveland		                                  	19	1.04	 	130	7.14	 	763	41.92	 	25	1.37	 	1	0.05	 	80	4.4	 	649	35.66	 	1	0.05	 	5	0.27	 	1	0.05	 	145	7.97	 	1	0.05	 	1820	98.33	 	31	1.67	 	1851	2.54
