Senate - 1993 Election: Australian Capital Territory																															
First Preference Votes by Group																															
By Polling Place																															


Canberra (95277)																															

	   		Group Total DEM			Group Total ALP			Group Total ASG			Group Total GRN			Group Total LP			Group Total NLP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonython		                                   	108	7.28	 	789	53.2	 	7	0.47	 	53	3.57	 	484	32.64	 	7	0.47	 	35	2.36	 	1483	98.87	 	17	1.13	 	1500	1.62
Calwell		                                    	249	8.26	 	1578	52.34	 	31	1.03	 	118	3.91	 	964	31.97	 	9	0.3	 	66	2.19	 	3015	98.69	 	40	1.31	 	3055	3.3
Chapman		                                    	130	5.8	 	887	39.56	 	21	0.94	 	119	5.31	 	1029	45.9	 	3	0.13	 	53	2.36	 	2242	98.33	 	38	1.67	 	2280	2.46
Chifley		                                    	120	7.67	 	767	49.04	 	19	1.21	 	101	6.46	 	494	31.59	 	9	0.58	 	54	3.45	 	1564	98.3	 	27	1.7	 	1591	1.72
Chisholm		                                   	125	6.16	 	1049	51.67	 	21	1.03	 	81	3.99	 	705	34.73	 	10	0.49	 	39	1.92	 	2030	98.98	 	21	1.02	 	2051	2.21
Curtin		                                     	200	6.5	 	1416	46.03	 	29	0.94	 	243	7.9	 	1069	34.75	 	20	0.65	 	99	3.22	 	3076	98.21	 	56	1.79	 	3132	3.38
Deakin		                                     	100	5.47	 	513	28.06	 	11	0.6	 	124	6.78	 	1025	56.07	 	8	0.44	 	47	2.57	 	1828	98.97	 	19	1.03	 	1847	1.99
Duffy		                                      	152	7.05	 	1011	46.91	 	16	0.74	 	145	6.73	 	771	35.78	 	6	0.28	 	54	2.51	 	2155	98.18	 	40	1.82	 	2195	2.37
Fadden		                                     	105	4.91	 	911	42.61	 	21	0.98	 	86	4.02	 	963	45.04	 	1	0.05	 	51	2.39	 	2138	98.8	 	26	1.2	 	2164	2.33
Farrer		                                     	212	6.46	 	1292	39.35	 	18	0.55	 	185	5.64	 	1498	45.63	 	10	0.3	 	68	2.07	 	3283	98.86	 	38	1.14	 	3321	3.58
Gilmore		                                    	149	6.62	 	1163	51.69	 	22	0.98	 	88	3.91	 	762	33.87	 	12	0.53	 	54	2.4	 	2250	99.08	 	21	0.92	 	2271	2.45
Gordon		                                     	115	6	 	1085	56.6	 	25	1.3	 	68	3.55	 	581	30.31	 	5	0.26	 	38	1.98	 	1917	99.22	 	15	0.78	 	1932	2.08
Gowrie		                                     	102	5.59	 	928	50.85	 	12	0.66	 	78	4.27	 	648	35.51	 	7	0.38	 	50	2.74	 	1825	98.86	 	21	1.14	 	1846	1.99
Holder		                                     	80	6.14	 	618	47.43	 	11	0.84	 	71	5.45	 	492	37.76	 	4	0.31	 	27	2.07	 	1303	98.79	 	16	1.21	 	1319	1.42
Hughes		                                     	168	6.02	 	1131	40.49	 	15	0.54	 	197	7.05	 	1201	43	 	10	0.36	 	71	2.54	 	2793	98.9	 	31	1.1	 	2824	3.05
Isabella Plains		                            	167	6.38	 	1454	55.56	 	16	0.61	 	97	3.71	 	814	31.1	 	2	0.08	 	67	2.56	 	2617	98.64	 	36	1.36	 	2653	2.86
Kambah East		                                	155	8.14	 	1016	53.33	 	7	0.37	 	84	4.41	 	593	31.13	 	10	0.52	 	40	2.1	 	1905	99.12	 	17	0.88	 	1922	2.07
Kambah North		                               	115	6.75	 	840	49.3	 	18	1.06	 	80	4.69	 	590	34.62	 	2	0.12	 	59	3.46	 	1704	98.27	 	30	1.73	 	1734	1.87
Kambah South		                               	133	7.68	 	940	54.27	 	16	0.92	 	70	4.04	 	528	30.48	 	2	0.12	 	43	2.48	 	1732	98.91	 	19	1.09	 	1751	1.89
Kambah West		                                	232	7.38	 	1615	51.37	 	38	1.21	 	179	5.69	 	1014	32.25	 	9	0.29	 	57	1.81	 	3144	98.5	 	48	1.5	 	3192	3.44
Lyons		                                      	134	7.68	 	895	51.29	 	23	1.32	 	125	7.16	 	516	29.57	 	15	0.86	 	37	2.12	 	1745	98.25	 	31	1.75	 	1776	1.92
Mawson		                                     	140	5.18	 	1192	44.07	 	22	0.81	 	129	4.77	 	1127	41.66	 	13	0.48	 	82	3.03	 	2705	98.08	 	53	1.92	 	2758	2.98
Monash		                                     	132	5.4	 	1273	52.09	 	26	1.06	 	87	3.56	 	857	35.07	 	10	0.41	 	59	2.41	 	2444	98.79	 	30	1.21	 	2474	2.67
Oaks Estate		                                	20	9.71	 	100	48.54	 	2	0.97	 	12	5.83	 	69	33.5	 	1	0.49	 	2	0.97	 	206	98.56	 	3	1.44	 	209	0.23
Pearce		                                     	171	7.29	 	1005	42.86	 	15	0.64	 	118	5.03	 	965	41.15	 	12	0.51	 	59	2.52	 	2345	98.2	 	43	1.8	 	2388	2.58
Richardson		                                 	136	7.54	 	1054	58.46	 	19	1.05	 	51	2.83	 	509	28.23	 	7	0.39	 	27	1.5	 	1803	98.31	 	31	1.69	 	1834	1.98
Rivett		                                     	175	7.62	 	1136	49.43	 	33	1.44	 	104	4.53	 	784	34.12	 	10	0.44	 	56	2.44	 	2298	98	 	47	2	 	2345	2.53
Tharwa		                                     	7	6.93	 	41	40.59	 	0	0	 	9	8.91	 	41	40.59	 	0	0	 	3	2.97	 	101	95.28	 	5	4.72	 	106	0.11
