Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverly Hills North		                        	28	1	 	1	0.04	 	1	0.04	 	8	0.29	 	23	0.82	 	1	0.04	 	25	0.89	 	0	0	 	949	33.89	 	2	0.07	 	128	4.57	 	1519	54.25	 	1	0.04	 	27	0.96	 	51	1.82	 	15	0.54	 	0	0	 	15	0.54	 	1	0.04	 	0	0	 	3	0.11	 	2	0.07	 	2800	96.75	 	94	3.25	 	2894	3.77
East Hills		                                 	28	2.45	 	1	0.09	 	2	0.18	 	5	0.44	 	5	0.44	 	0	0	 	26	2.28	 	0	0	 	342	29.95	 	1	0.09	 	42	3.68	 	622	54.47	 	0	0	 	16	1.4	 	32	2.8	 	14	1.23	 	0	0	 	6	0.53	 	0	0	 	0	0	 	0	0	 	0	0	 	1142	97.03	 	35	2.97	 	1177	1.53
Hannans Road		                               	39	1.66	 	5	0.21	 	0	0	 	7	0.3	 	8	0.34	 	2	0.09	 	30	1.28	 	0	0	 	580	24.75	 	1	0.04	 	80	3.41	 	1526	65.13	 	1	0.04	 	20	0.85	 	16	0.68	 	14	0.6	 	0	0	 	6	0.26	 	0	0	 	0	0	 	1	0.04	 	7	0.3	 	2343	95.21	 	118	4.79	 	2461	3.21
Lugarno		                                    	28	0.83	 	4	0.12	 	1	0.03	 	2	0.06	 	21	0.62	 	4	0.12	 	29	0.86	 	0	0	 	1934	57.44	 	2	0.06	 	168	4.99	 	974	28.93	 	0	0	 	106	3.15	 	55	1.63	 	28	0.83	 	0	0	 	10	0.3	 	0	0	 	1	0.03	 	0	0	 	0	0	 	3367	97.96	 	70	2.04	 	3437	4.48
Milperra		                                   	23	0.85	 	7	0.26	 	2	0.07	 	6	0.22	 	9	0.33	 	1	0.04	 	21	0.78	 	0	0	 	1004	37.13	 	1	0.04	 	106	3.92	 	1428	52.81	 	0	0	 	23	0.85	 	45	1.66	 	20	0.74	 	0	0	 	5	0.18	 	0	0	 	1	0.04	 	0	0	 	2	0.07	 	2704	97.65	 	65	2.35	 	2769	3.61
Mortdale Central		                           	22	1.05	 	6	0.29	 	3	0.14	 	1	0.05	 	23	1.09	 	0	0	 	17	0.81	 	0	0	 	628	29.86	 	1	0.05	 	119	5.66	 	1185	56.35	 	0	0	 	32	1.52	 	44	2.09	 	12	0.57	 	1	0.05	 	8	0.38	 	0	0	 	0	0	 	1	0.05	 	0	0	 	2103	97.14	 	62	2.86	 	2165	2.82
Mortdale Heights		                           	20	2.25	 	1	0.11	 	0	0	 	0	0	 	6	0.68	 	0	0	 	14	1.58	 	1	0.11	 	314	35.4	 	3	0.34	 	37	4.17	 	437	49.27	 	1	0.11	 	11	1.24	 	31	3.49	 	7	0.79	 	0	0	 	4	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	887	97.58	 	22	2.42	 	909	1.18
Mortdale West		                              	18	0.84	 	1	0.05	 	0	0	 	0	0	 	10	0.46	 	0	0	 	21	0.98	 	2	0.09	 	775	36.03	 	3	0.14	 	127	5.9	 	1088	50.58	 	0	0	 	36	1.67	 	39	1.81	 	22	1.02	 	1	0.05	 	6	0.28	 	0	0	 	0	0	 	1	0.05	 	1	0.05	 	2151	96.2	 	85	3.8	 	2236	2.91
Narwee		                                     	35	1.2	 	2	0.07	 	2	0.07	 	2	0.07	 	7	0.24	 	3	0.1	 	22	0.75	 	2	0.07	 	936	32.1	 	2	0.07	 	167	5.73	 	1592	54.6	 	0	0	 	32	1.1	 	68	2.33	 	29	0.99	 	1	0.03	 	11	0.38	 	0	0	 	0	0	 	0	0	 	3	0.1	 	2916	97.26	 	82	2.74	 	2998	3.91
