Senate - 1993 Election				
First Preference Votes by Group				
By State				
				
				
National				
Enrolment 11384638				

Group	Votes	%	Swing	
ALP	4643871	43.50	5.10	
LP	1664204	15.59	1.03	
LNP	2605157	24.40	-0.06	
CLP	35405	0.33	0.04	
NP	290382	2.72	0.12	
DEM	566944	5.31	-7.32	
CTA	108945	1.02	-0.35	
NLP	38054	0.36	0.36	
OTH	721843	6.76	1.09	
FORMAL	10674805	97.45	0.85	
INFORMAL	279453	2.55	-0.85	
TOTAL	10954258	96.22	0.41	

				
New South Wales				
Enrolment 3814932				
State Quota 512012				

Group	Votes	%	Swing	Quota
ALP	1681528	46.92	6.28	3.28
LNP	1394111	38.90	0.54	2.72
DEM	176324	4.92	-6.87	0.34
CTA	53445	1.49	-0.60	0.10
GRN	74620	2.08	2.08	0.15
GA	46971	1.31	-0.62	0.09
NLP	10404	0.29	0.29	0.02
ASP	63691	1.78	1.78	0.12
AFI	23941	0.67	0.67	0.05
OTH	59044	1.65	-3.55	0.12
FORMAL	3584079	97.35	1.53	
INFORMAL	97534	2.65	-1.53	
TOTAL	3681613	96.51	0.56	


Victoria				
Enrolment 2932640				
State Quota 392370				

Group	Votes	%	Swing	Quota
ALP	1235344	44.98	8.60	3.15
LNP	1211046	44.09	-0.46	3.09
DEM	109223	3.98	-10.19	0.28
JPI	33710	1.23	1.23	0.09
CTA	20105	0.73	-0.42	0.05
VGA	32472	1.18	0.27	0.08
NLP	12347	0.45	0.45	0.03
DLP	38317	1.40	0.82	0.10
AFI	18926	0.69	-0.06	0.05
CIR	22209	0.81	0.81	0.06
OTH	12885	0.47	-1.06	0.03
FORMAL	2746584	96.94	0.54	
INFORMAL	86634	3.06	-0.54	
TOTAL	2833218	96.61	0.43	


Queensland				
Enrolment 1971729				
State Quota 264381				

Group	Votes	%	Swing	Quota
ALP	729265	39.41	0.40	2.76
LP	582766	31.49	2.19	2.20
NP	268809	14.53	0.92	1.02
DEM	130405	7.05	-5.44	0.49
CTA	11546	0.62	-0.48	0.04
QG	59303	3.20	3.20	0.22
NLP	3575	0.19	0.19	0.01
CAP	52942	2.86	2.86	0.20
OTH	12050	0.65	-3.85	0.05
FORMAL	1850661	97.96	0.42	
INFORMAL	38491	2.04	-0.42	
TOTAL	1889152	95.81	0.72	


Western Australia				
Enrolment 1038968				
State Quota 139397				

Group	Votes	%	Swing	Quota
ALP	373247	38.25	4.71	2.68
LP	472131	48.39	5.13	3.39
NP	17075	1.75	-1.20	0.12
DEM	39849	4.08	-5.31	0.29
CTA	11568	1.19	1.19	0.08
NLP	3569	0.37	0.37	0.03
GWA	53757	5.51	5.51	0.39
CEG	876	0.09	0.09	0.01
OTH	3700	0.38	-10.47	0.03
FORMAL	975772	97.89	0.75	
INFORMAL	20983	2.11	-0.75	
TOTAL	996755	95.94	0.83	


South Australia				
Enrolment 1014400				
State Quota 135140				

Group	Votes	%	Swing	Quota
ALP	359491	38.00	0.88	2.66
LP	431642	45.63	4.22	3.19
NP	4498	0.48	0.07	0.03
DEM	93325	9.87	-6.56	0.69
CTA	10762	1.14	-0.92	0.08
GSA	15467	1.64	1.64	0.11
NLP	6936	0.73	0.73	0.05
EFF	6031	0.64	0.64	0.04
AFI	3597	0.38	0.38	0.03
GRY	6922	0.73	0.57	0.05
OTH	7304	0.77	-1.64	0.05
FORMAL	945975	97.69	0.20	
INFORMAL	22390	2.31	-0.20	
TOTAL	968365	95.46	-0.93	


Tasmania				
Enrolment 327919				
State Quota 44110				

Group	Votes	%	Swing	Quota
ALP	131876	42.71	1.45	2.99
LP	113347	36.71	-7.36	2.57
DEM	5162	1.67	-6.19	0.12
HAR	32202	10.43	10.43	0.73
CTA	1519	0.49	0.49	0.03
NLP	490	0.16	0.16	0.01
TG	21087	6.83	6.83	0.48
TST	2815	0.91	0.91	0.06
OTH	265	0.09	-6.72	0.01
FORMAL	308763	97.44	0.53	
INFORMAL	8121	2.56	-0.53	
TOTAL	316884	96.63	-0.31	


Australian Capital Territory				
Enrolment 192487				
Territory Quota 61276				

Group	Votes	%	Swing	Quota
ALP	89380	48.62	7.49	1.46
LP	64318	34.99	-0.94	1.05
DEM	12656	6.88	-10.75	0.21
ASG	1708	0.93	0.93	0.03
NLP	733	0.40	0.40	0.01
GRN	11168	6.08	2.80	0.18
OTH	3863	2.10	0.06	0.06
FORMAL	183826	98.40	0.76	
INFORMAL	2988	1.60	-0.76	
TOTAL	186814	97.05	0.90	


Northern Territory				
Enrolment 91563				
Territory Quota 26382				

Group	Votes	%	Swing	Quota
ALP	43740	55.27	0.93	1.66
CLP	35405	44.73	2.47	1.34
OTH	0	0.00	-3.40	0.00
FORMAL	79145	97.16	-0.04	
INFORMAL	2312	2.84	0.04	
TOTAL	81457	88.96	-0.54	
