Senate - 1993 Election: New South Wales			
Registered Group Voting Tickets			


Green Alliance			

Ticket	Party/Group Name	Candidate Name	Preferences
A	Green Alliance	"BECKMANN, Jane"	1
		"BRIAN, Bernie"	2
B	Natural Law Party	"KERR, Doreen"	23
		"SMITH, Mike"	24
		"JUDD, Ines"	25
C	Citizens Electoral Councils of Australia Group	"HAY, Leone"	51
		"BUTLER, Robert"	52
		"WOOD, Gloria"	53
D	Republican Party of Australia	"CONSANDINE, Peter"	21
		"KLEIN, Gennie"	22
E	"Unendorsed - Teale, Leonard"	"TEALE, Leonard"	19
		"WARD, Colin"	20
F	The Confederate Action Party of Australia	"UEBERGANG, K John"	49
		"HAWKINS, Doug"	50
G	Australian Shooters Party	"ASCHER, Michael"	54
		"ORR, Ted"	55
		"WILKIE, Jeff"	56
		"O'CONNELL, Suzanne"	57
		"BOURKE, Robyn Lee"	58
H	"Unendorsed - Poulos, Patricia"	"POULOS, Patricia"	42
		"ARCHER, Peter B"	43
		"HOLLEY, John"	44
I	Liberal/National Party	"BAUME, Michael"	59
		"TIERNEY, John"	60
		"MACDONALD, Sandy"	61
		"PAYNE, Marise Ann"	62
J	"Unendorsed - Santa Claus, O"	"SANTA CLAUS, O"	17
		"ROLO, Lord"	18
K	Australian Democrats	"SOWADA, Karin"	7
		"GRIFFITHS, Ray Ian"	8
		"CHESTERFIELD-EVANS, Arthur"	9
L	Australian Labor Party	"RICHARDSON, Graham Frederick"	11
		"FAULKNER, John"	12
		"SIBRAA, Kerry"	13
		"ARMSTRONG, Mary-Anne"	14
M	"Unendorsed - Stevens, David Richard"	"STEVENS, David Richard"	33
		"HARRISON, Yvonne"	34
N	The Greens	"BRIGHAM, Steve"	3
		"WALLACE, Joy"	4
		"COHEN, Ian"	5
		"STEAD, Cecily"	6
O	Call to Australia (Fred Nile) Group	"COLEMAN, Bruce"	66
		"McLENNAN, Graham Clarke"	65
		"GRIGG, Shirley J"	64
		"RYAN, Glen"	63
P	Australians Against Further Immigration	"KITSON, David A L"	45
		"WEATHERLAKE, Ian A"	46
Q	"Unendorsed - Lavery, Rosemarie"	"LAVERY, Rosemarie"	35
		"JOHN, Robert"	36
		"LAVERY, Priscilla"	37
R	Grey Power	"ROYLANCE, Frances"	47
		"GROUNDS, Gay"	48
S	"Unendorsed - Bass, Walter"	"BASS, Walter"	15
		"HALES, Paul"	16
T	"Unendorsed - Vescio, Michael"	"VESCIO, Michael"	38
T		"WHEATLEY, Pamela Eileen"	39
U	"Unendorsed - Schollbach, Robert"	"SCHOLLBACH, Robert"	40
U		"STIRLING, Karen"	41	
UG	Independent	"GAJIN, Milorad"	26	
UG	Independent	"ANDERSON, Michael J"	27	
UG	Independent	"DE BRY, Katherine V"	28	
UG		"POULSEN, Ron"	10	
UG	Independent	"ELLIS, Bryan T"	29	
UG	Independent	"MILTON, Malcolm Joshua"	30	
UG	Independent	"DECKER, Dianne"	31	
UG	Independent	"BELETICH, Argy"	32	


Natural Law Party				
			Preferences	
Ticket	Party/Group Name	Candidate Name	Ticket # 1	Ticket #2
A	Green Alliance	"BECKMANN, Jane"	56	56
		"BRIAN, Bernie"	57	57
B	Natural Law Party	"KERR, Doreen"	1	1
		"SMITH, Mike"	2	2
		"JUDD, Ines"	3	3
C	Citizens Electoral Councils of Australia Group	"HAY, Leone"	39	39
		"BUTLER, Robert"	40	40
		"WOOD, Gloria"	41	41
D	Republican Party of Australia	"CONSANDINE, Peter"	28	28
		"KLEIN, Gennie"	29	29
E	"Unendorsed - Teale, Leonard"	"TEALE, Leonard"	17	17
		"WARD, Colin"	18	18
F	The Confederate Action Party of Australia	"UEBERGANG, K John"	58	58
		"HAWKINS, Doug"	59	59
G	Australian Shooters Party	"ASCHER, Michael"	60	60
		"ORR, Ted"	61	61
		"WILKIE, Jeff"	62	62
		"O'CONNELL, Suzanne"	63	63
		"BOURKE, Robyn Lee"	64	64
H	"Unendorsed - Poulos, Patricia"	"POULOS, Patricia"	30	30
		"ARCHER, Peter B"	31	31
		"HOLLEY, John"	32	32
I	Liberal/National Party	"BAUME, Michael"	13	44
		"TIERNEY, John"	14	45
		"MACDONALD, Sandy"	15	46
		"PAYNE, Marise Ann"	16	47
J	"Unendorsed - Santa Claus, O"	"SANTA CLAUS, O"	42	42
		"ROLO, Lord"	43	43
K	Australian Democrats	"SOWADA, Karin"	10	10
		"GRIFFITHS, Ray Ian"	11	11
		"CHESTERFIELD-EVANS, Arthur"	12	12
L	Australian Labor Party	"RICHARDSON, Graham Frederick"	44	13
		"FAULKNER, John"	45	14
		"SIBRAA, Kerry"	46	15
		"ARMSTRONG, Mary-Anne"	47	16
M	"Unendorsed - Stevens, David Richard"	"STEVENS, David Richard"	21	21
		"HARRISON, Yvonne"	22	22
N	The Greens	"BRIGHAM, Steve"	4	4
		"WALLACE, Joy"	5	5
		"COHEN, Ian"	6	6
		"STEAD, Cecily"	7	7
O	Call to Australia (Fred Nile) Group	"COLEMAN, Bruce"	35	35
		"McLENNAN, Graham Clarke"	36	36
		"GRIGG, Shirley J"	37	37
		"RYAN, Glen"	38	38
