Senate - 1993 Election: Norrthern Territory																			
First Preference Votes by Group																			
By Polling Place																			


Northern Territory (91563)																			

	   		Group Total CLP			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alice Springs		                              	583	48.46	 	620	51.54	 	0	0	 	1203	97.73	 	28	2.27	 	1231	1.51
Alyangula		                                  	126	34.52	 	239	65.48	 	0	0	 	365	97.59	 	9	2.41	 	374	0.46
Anula		                                      	1100	42.31	 	1500	57.69	 	0	0	 	2600	98.11	 	50	1.89	 	2650	3.25
Batchelor		                                  	147	47.88	 	160	52.12	 	0	0	 	307	97.77	 	7	2.23	 	314	0.39
Berrimah		                                   	351	49.51	 	358	50.49	 	0	0	 	709	98.61	 	10	1.39	 	719	0.88
Berry Springs		                              	242	49.79	 	244	50.21	 	0	0	 	486	96.62	 	17	3.38	 	503	0.62
Braitling		                                  	1008	54.93	 	827	45.07	 	0	0	 	1835	97.24	 	52	2.76	 	1887	2.32
Casuarina		                                  	1614	42.22	 	2209	57.78	 	0	0	 	3823	97.35	 	104	2.65	 	3927	4.82
Christmas Island		                           	76	22.42	 	263	77.58	 	0	0	 	339	96.86	 	11	3.14	 	350	0.43
Darwin		                                     	377	42.22	 	516	57.78	 	0	0	 	893	96.96	 	28	3.04	 	921	1.13
Driver		                                     	1297	43.28	 	1700	56.72	 	0	0	 	2997	97.31	 	83	2.69	 	3080	3.78
Gillen		                                     	1545	51.79	 	1438	48.21	 	0	0	 	2983	96.98	 	93	3.02	 	3076	3.78
Gray		                                       	416	41.94	 	576	58.06	 	0	0	 	992	97.45	 	26	2.55	 	1018	1.25
Home Island		                                	49	20.16	 	194	79.84	 	0	0	 	243	96.43	 	9	3.57	 	252	0.31
Howard Springs		                             	1046	52.7	 	939	47.3	 	0	0	 	1985	98.12	 	38	1.88	 	2023	2.48
Humpty Doo		                                 	1034	52.59	 	932	47.41	 	0	0	 	1966	97.13	 	58	2.87	 	2024	2.48
Jabiru		                                     	229	42.57	 	309	57.43	 	0	0	 	538	98.72	 	7	1.28	 	545	0.67
Karama		                                     	1556	41.92	 	2156	58.08	 	0	0	 	3712	97.15	 	109	2.85	 	3821	4.69
Katherine		                                  	1262	58	 	914	42	 	0	0	 	2176	97.97	 	45	2.03	 	2221	2.73
Katherine East		                             	492	50.2	 	488	49.8	 	0	0	 	980	96.93	 	31	3.07	 	1011	1.24
Larapinta		                                  	495	51.62	 	464	48.38	 	0	0	 	959	97.86	 	21	2.14	 	980	1.2
Larrakeyah		                                 	649	57.38	 	482	42.62	 	0	0	 	1131	97.16	 	33	2.84	 	1164	1.43
Leanyer		                                    	1139	47.48	 	1260	52.52	 	0	0	 	2399	97.4	 	64	2.6	 	2463	3.02
Ludmilla		                                   	940	49.21	 	970	50.79	 	0	0	 	1910	97.35	 	52	2.65	 	1962	2.41
Nakara		                                     	959	47.15	 	1075	52.85	 	0	0	 	2034	97.69	 	48	2.31	 	2082	2.56
Nhulunbuy		                                  	653	38.03	 	1064	61.97	 	0	0	 	1717	97.78	 	39	2.22	 	1756	2.16
Nightcliff		                                 	1456	47.61	 	1602	52.39	 	0	0	 	3058	97.61	 	75	2.39	 	3133	3.85
Parap		                                      	1278	45.45	 	1534	54.55	 	0	0	 	2812	97.33	 	77	2.67	 	2889	3.55
Pine Creek		                                 	102	42.15	 	140	57.85	 	0	0	 	242	99.18	 	2	0.82	 	244	0.3
Rapid Creek		                                	769	36.83	 	1319	63.17	 	0	0	 	2088	97.07	 	63	2.93	 	2151	2.64
