Senate - 1993 Election: South Australia					
Registered Group Voting Tickets					
 					
 					
Republican Party of Australia					
 			Preferences		
Ticket	Party/Group Name	Candidate Name	Ticket # 1	Ticket # 2	Ticket # 3
A	Republican Party of Australia	"NASRULLAH, Bilal"	1	1	1
		"HILL, Peter"	2	2	2
B	The Green Party South Australia	"FRICKER, Ally"	3	3	3
		"WEISSMANN, Gerhard"	4	4	4
C	National Party	"McCALLUM, Nola"	27	35	31
		"BRADSHAW, Michael"	28	36	32
D	Call to Australia (Fred Nile) Group	"RODWAY, David"	25	25	25
		"SQUIRRELL, David"	26	26	26
E	Australian Labor Party	"BOLKUS, Nick"	29	27	33
		"FOREMAN, Dominic"	30	28	34
		"MAGUIRE, Graham"	31	29	35
		"McDONALD, Rosalie Ann"	32	30	36
F	"Unendorsed - Liew, Dr Alex"	"LIEW, Dr Alex"	17	17	17
		"SCHIRRIPA, Douglas"	18	18	18
G	Australian Democrats	"LEES, Meg"	5	5	5
		"SWIFT, Stephen"	6	6	6
		"STOTT DESPOJA, Natasha"	7	7	7
		"TICKLE, Patricia"	8	8	8
H	Natural Law Party	"WELLS, Dr Geoff"	11	11	11
		"MARTIN, Anne"	12	12	12
		"MORRIS, Dulcie"	13	13	13
I	Independent EFF	"DWYER, David"	14	14	14
		"GIDDINGS, Douglas"	15	15	15
		"GIDDINGS, Vanessa"	16	16	16
J	Grey Power	"HOLDER, Jack"	19	19	19
		"PRESTON, Betty"	20	20	20
		"BOTTAM, Glen"	21	21	21
K	Australians Against Further Immigration	"MOORE, Evonne"	9	9	9
		"SMITH, Joe"	10	10	10
L	Liberal	"VANSTONE, Amanda"	33	31	27
		"MINCHIN, Nick"	34	32	28
		"FERGUSON, Alan"	35	33	29
		"GUPTA, Satish"	36	34	30
UG	Independent	"RICE, Mark"	22	22	22
UG	Independent	"BROOM, Bernard William"	23	23	23
UG	Independent	"SMITH, E.C. (Ean)"	24	24	24


The Green Party South Australia					

Ticket	Party/Group Name	Candidate Name	Preferences		
A	Republican Party of Australia	"NASRULLAH, Bilal"	3
		"HILL, Peter"	4
B	The Green Party South Australia	"FRICKER, Ally"	1
		"WEISSMANN, Gerhard"	2
C	National Party	"McCALLUM, Nola"	35
		"BRADSHAW, Michael"	36
D	Call to Australia (Fred Nile) Group	"RODWAY, David"	33
		"SQUIRRELL, David"	34
E	Australian Labor Party	"BOLKUS, Nick"	19
		"FOREMAN, Dominic"	20
		"MAGUIRE, Graham"	21
		"McDONALD, Rosalie Ann"	22
F	"Unendorsed - Liew, Dr Alex"	"LIEW, Dr Alex"	14
		"SCHIRRIPA, Douglas"	15
G	Australian Democrats	"LEES, Meg"	5
		"SWIFT, Stephen"	6
		"STOTT DESPOJA, Natasha"	7
		"TICKLE, Patricia"	8
H	Natural Law Party	"WELLS, Dr Geoff"	11
		"MARTIN, Anne"	12
		"MORRIS, Dulcie"	13
I	Independent EFF	"DWYER, David"	30
		"GIDDINGS, Douglas"	31
		"GIDDINGS, Vanessa"	32
J	Grey Power	"HOLDER, Jack"	27
		"PRESTON, Betty"	28
		"BOTTAM, Glen"	29
K	Australians Against Further Immigration	"MOORE, Evonne"	9
		"SMITH, Joe"	10
L	Liberal	"VANSTONE, Amanda"	23
		"MINCHIN, Nick"	24
		"FERGUSON, Alan"	25
		"GUPTA, Satish"	26
UG	Independent	"RICE, Mark"	16
UG	Independent	"BROOM, Bernard William"	17
UG	Independent	"SMITH, E.C. (Ean)"	18


National Party			

Ticket	Party/Group Name	Candidate Name	Preferences
A	Republican Party of Australia	"NASRULLAH, Bilal"	35
		"HILL, Peter"	36
B	The Green Party South Australia	"FRICKER, Ally"	27
		"WEISSMANN, Gerhard"	28
C	National Party	"McCALLUM, Nola"	1
		"BRADSHAW, Michael"	2
D	Call to Australia (Fred Nile) Group	"RODWAY, David"	7
		"SQUIRRELL, David"	8
E	Australian Labor Party	"BOLKUS, Nick"	31
		"FOREMAN, Dominic"	32
		"MAGUIRE, Graham"	33
