House of Representatives - 1996 Election 															
First Preference Votes															
By Vote Type by Party by State															
															
															
National															
Enrolment 11740568															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	132	132	75	3640347	38.68	227166	36.81	23920	28.73	171050	40.63	148206	42.08	4210689	38.69
NP	32	32	18	765651	8.14	48603	7.88	4727	5.68	34296	8.15	39893	11.33	893170	8.21
ALP	148	148	49	3687672	39.19	220879	35.79	38502	46.24	149109	35.42	121603	34.53	4217765	38.75
CLP	1	1	1	33331	0.35	0	0.00	340	0.41	3050	0.72	1581	0.45	38302	0.35
DEM	144	144	0	628322	6.68	54530	8.84	6088	7.31	26683	6.34	20225	5.74	735848	6.76
GRN	67	67	0	152907	1.62	17732	2.87	2816	3.38	11282	2.68	4257	1.21	188994	1.74
CTA	30	30	0	37163	0.39	2736	0.44	324	0.39	1410	0.33	1050	0.30	42683	0.39
Other	139	354	5	464916	4.94	45504	7.37	6545	7.86	24080	5.72	15356	4.36	556401	5.11
FORMAL				9410309	96.69	617150	96.73	83262	94.79	420960	97.99	352171	98.92	10883852	96.80
INFORMAL				322277	3.31	20839	3.27	4572	5.21	8623	2.01	3854	1.08	360165	3.20
TOTAL				9732586	86.56	637989	5.67	87834	0.78	429583	3.82	356025	3.17	11244017	95.77


New South Wales															
Enrolment 3955782															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	41	41	19	1070031	33.52	63475	31.14	6778	23.72	51593	35.34	37546	36.34	1229423	33.46
NP	12	12	10	380704	11.92	23601	11.58	2565	8.98	20730	14.20	15942	15.43	443542	12.07
ALP	50	50	20	1276066	39.97	74913	36.76	13559	47.45	51684	35.40	37320	36.12	1453542	39.56
DEM	50	50	0	206272	6.46	17123	8.40	1973	6.90	9212	6.31	5675	5.49	240255	6.54
GRN	30	30	0	75826	2.38	8787	4.31	1495	5.23	4557	3.12	1884	1.82	92549	2.52
CTA	23	23	0	29593	0.93	2297	1.13	263	0.92	1105	0.76	850	0.82	34108	0.93
Other	45	113	1	154012	4.82	13611	6.68	1942	6.80	7112	4.87	4113	3.98	180790	4.92
FORMAL				3192504	96.25	203807	96.46	28575	94.32	145993	97.82	103330	98.88	3674209	96.38
INFORMAL				124530	3.75	7483	3.54	1722	5.68	3253	2.18	1169	1.12	138157	3.62
TOTAL				3317034	87.01	211290	5.54	30297	0.79	149246	3.91	104499	2.74	3812366	96.37


Victoria															
Enrolment 2972635															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	35	35	19	962598	39.65	52697	38.01	5828	30.18	39996	43.01	45437	48.15	1106556	39.90
NP	4	4	2	113458	4.67	5460	3.94	736	3.81	4126	4.44	4311	4.57	128091	4.62
ALP	37	37	16	1056022	43.49	54839	39.55	9639	49.91	35945	38.66	33959	35.99	1190404	42.92
DEM	37	37	0	174916	7.20	13956	10.07	1577	8.17	7235	7.78	6208	6.58	203892	7.35
CTA	6	6	0	7167	0.30	396	0.29	56	0.29	274	0.29	188	0.20	8081	0.29
Other	35	95	0	113862	4.69	11296	8.15	1475	7.64	5406	5.81	4258	4.51	136297	4.91
FORMAL				2428023	97.01	138644	96.64	19311	94.89	92982	97.95	94361	98.91	2773321	97.07
