House of Representatives - 1996 Election 			
First Preference Votes			
By Party by State			


National Summary 			
Enrolment 11740568			
			
Party	Votes	%	Swing
ALP	4217765	38.75	-6.17
LP	4210689	38.69	1.92
NP	893170	8.21	1.04
CLP	38302	0.35	0.02
DEM	735848	6.76	3.01
AFI	73023	0.67	0.64
CTA	42683	0.39	-0.08
GRN	188994	1.74	1.34
NLP	41573	0.38	-0.36
OTH	441805	4.06	-1.36
FORMAL	10883852	96.80	-0.23
INFORMAL	360165	3.20	0.23
TOTAL	11244017	95.77	0.02
Two Party Preferred			
ALP	5024327	46.37	-5.06
Coalition	5810546	53.63	5.06
EXHAUSTED	48979		
			
			
New South Wales			
Enrolment 3955782			
			
Party	Votes	%	Swing
ALP	1453542	39.56	-8.76
LP	1229423	33.46	1.69
NP	443542	12.07	2.32
DEM	240255	6.54	3.73
AFI	52128	1.42	1.37
CTA	34108	0.93	0.31
GRN	92549	2.52	1.44
NLP	11272	0.31	-0.35
OTH	117390	3.19	-1.75
FORMAL	3674209	96.38	-0.52
INFORMAL	138157	3.62	0.52
TOTAL	3812366	96.37	0.38
Two Party Preferred			
ALP	1734777	47.44	-6.95
Coalition	1922165	52.56	6.95
EXHAUSTED	17267		


Victoria			
Enrolment 2972635			
			
Party	Votes	%	Swing
ALP	1190404	42.92	-3.52
LP	1106556	39.90	-0.31
NP	128091	4.62	-0.39
DEM	203892	7.35	3.66
AFI	16914	0.61	0.54
AGV	52810	1.90	1.90
NLP	20998	0.76	-0.39
OTH	53656	1.93	-1.49
FORMAL	2773321	97.07	-0.10
INFORMAL	83615	2.93	0.10
TOTAL	2856936	96.11	-0.14
Two Party Preferred			
ALP	1388142	50.30	-1.50
Coalition	1371480	49.70	1.50
EXHAUSTED	13699		


Queensland			
Enrolment 2091384			
			
Party	Votes	%	Swing
ALP	639510	33.17	-7.32
LP	757621	39.29	8.03
NP	306986	15.92	1.19
DEM	129244	6.70	2.64
AIP	12507	0.65	0.43
GRN	47379	2.46	2.46
OTH	34923	1.81	-7.42
FORMAL	1928170	97.44	0.06
INFORMAL	50605	2.56	-0.06
TOTAL	1978775	94.62	-0.55
Two Party Preferred			
ALP	765019	39.78	-8.65
Coalition	1158122	60.22	8.65
EXHAUSTED	5029		


Western Australia			
Enrolment 1088487			
			
Party	Votes	%	Swing
ALP	347583	34.73	-4.63
LP	440647	44.02	-4.99
NP	13333	1.33	1.09
DEM	55862	5.58	2.30
GWA	53101	5.31	-0.47
NLP	2498	0.25	-0.28
OTH	87932	8.78	6.97
FORMAL	1000956	96.84	-0.64
INFORMAL	32616	3.16	0.64
TOTAL	1033572	94.95	-0.68
Two Party Preferred			
ALP	437694	44.00	-2.02
Coalition	557055	56.00	2.02
EXHAUSTED	6207		


South Australia			
Enrolment 1001006			
			
Party	Votes	%	Swing
ALP	320678	34.83	-4.01
LP	460246	49.99	4.33
DEM	93899	10.20	2.41
GRN	27146	2.95	2.95
NLP	4495	0.49	-0.98
OTH	14255	1.55	-4.70
FORMAL	920719	95.92	-0.02
INFORMAL	39172	4.08	0.02
TOTAL	959891	95.89	0.98
Two Party Preferred			
ALP	391516	42.74	-4.59
Coalition	524445	57.26	4.59
EXHAUSTED	4758		


Tasmania			
Enrolment 329304			

Party	Votes	%	Swing
ALP	137607	44.31	-2.45
LP	138087	44.46	2.42
DEM	12696	4.09	1.60
TG	19689	6.34	-1.58
OTH	2492	0.80	0.02
FORMAL	310571	97.65	0.38
INFORMAL	7472	2.35	-0.38
TOTAL	318043	96.58	0.28
Two Party Preferred			
ALP	159853	51.58	-3.07
Coalition	150057	48.42	3.07
EXHAUSTED	661		


Australian Capital Territory			
Enrolment 203170			

Party	Votes	%	Swing
ALP	91447	47.91	-5.43
LP	78109	40.92	6.73
GRN	16596	8.70	8.70
NLP	778	0.41	-0.39
OTH	3933	2.06	-9.61
FORMAL	190863	97.18	0.53
INFORMAL	5543	2.82	-0.53
TOTAL	196406	96.67	-0.07
Two Party Preferred			
ALP	105323	55.46	-5.73
Coalition	84592	44.54	5.73
EXHAUSTED	948		


Northern Territory			
Enrolment 98800			

Party	Votes	%	Swing
ALP	36994	43.50	-11.81
CLP	38302	45.04	0.35
GRN	5324	6.26	6.26
OTH	4423	5.20	5.20
FORMAL	85043	96.61	-0.29
INFORMAL	2985	3.39	0.29
TOTAL	88028	89.10	0.30
Two Party Preferred			
ALP	42003	49.63	-5.68
Coalition	42630	50.37	5.68
EXHAUSTED	410		
