Senate: Election 2001 - National															
First Preference Votes by Candidate															
By Vote Type by Division															

New South Wales															
															
Banks (83122)															
				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	HAN	3740	5.80	272	5.09	23	4.11	199	6.47	185	6.84	4419	5.80
		"McKINNON, Don"	HAN	328	0.51	10	0.19	4	0.71	12	0.39	18	0.67	372	0.49
		"PUTRA, Rick"	HAN	5	0.01	1	0.02	0	0.00	0	0.00	0	0.00	6	0.01
		"DEENEY, Carol"	HAN	16	0.02	2	0.04	1	0.18	1	0.03	1	0.04	21	0.03
		Group Total	HAN	4089	6.34	285	5.33	28	5.00	212	6.90	204	7.54	4818	6.32
B		TICKET VOTES	CTA	1432	2.22	110	2.06	11	1.96	80	2.60	48	1.77	1681	2.21
		"CAPSIS, George"	CTA	200	0.31	19	0.36	1	0.18	17	0.55	12	0.44	249	0.33
		"HUME, Kevin"	CTA	4	0.01	1	0.02	0	0.00	0	0.00	1	0.04	6	0.01
		Group Total	CTA	1636	2.54	130	2.43	12	2.14	97	3.16	61	2.25	1936	2.54
C		TICKET VOTES	UNI	517	0.80	38	0.71	2	0.36	33	1.07	18	0.67	608	0.80
		"NGO, Thang"	UNI	17	0.03	1	0.02	0	0.00	1	0.03	0	0.00	19	0.02
		"McLEOD, Robert"	UNI	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	UNI	535	0.83	39	0.73	2	0.36	34	1.11	18	0.67	628	0.82
D		TICKET VOTES	CEC	20	0.03	4	0.07	0	0.00	1	0.03	0	0.00	25	0.03
		"BUTLER, Robert"	CEC	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		"COLLINS, Glenys"	CEC	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	CEC	22	0.03	4	0.07	0	0.00	1	0.03	0	0.00	27	0.04
E		TICKET VOTES	PLP	1020	1.58	153	2.86	26	4.64	77	2.50	53	1.96	1329	1.74
		"WOLDRING, Klaas"	PLP	16	0.02	1	0.02	0	0.00	0	0.00	1	0.04	18	0.02
		"LEE, Shona"	PLP	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	PLP	1038	1.61	154	2.88	26	4.64	77	2.50	54	2.00	1349	1.77
F		TICKET VOTES	OCF	86	0.13	3	0.06	0	0.00	1	0.03	0	0.00	90	0.12
		"CALDICOTT, Helen"	OCF	9	0.01	0	0.00	0	0.00	2	0.07	0	0.00	11	0.01
		"POTTS, Ted"	OCF	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	OCF	95	0.15	3	0.06	0	0.00	3	0.10	0	0.00	101	0.13
G		TICKET VOTES	DEM	2831	4.39	302	5.65	20	3.57	160	5.20	81	2.99	3394	4.46
		"BOURNE, Vicki"	DEM	202	0.31	17	0.32	0	0.00	13	0.42	7	0.26	239	0.31
		"YATES, Joanne"	DEM	6	0.01	1	0.02	1	0.18	0	0.00	0	0.00	8	0.01
		"CHUNG, Craig"	DEM	8	0.01	2	0.04	0	0.00	0	0.00	0	0.00	10	0.01
		"MAYFIELD, E Caroline"	DEM	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		"PRINCE, Janine"	DEM	4	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4	0.01
