Senate: Election 2001 - National		
Informality Statistics		
By Division		
		
National Summary		
State		Informality %
New South Wales		3.54
Victoria		5.61
Queensland		2.95
Western Australia		3.58
South Australia		3.06
Tasmania		3.29
Australian Capital Territory		2.34
Northern Territory		2.76
National 		3.89
		
New South Wales		
Division		Informality %
Banks		4.10
Barton		5.38
Bennelong		3.29
Berowra		2.29
Blaxland		6.92
Bradfield		2.22
Calare		2.66
Charlton		2.93
Chifley		5.15
Cook		2.90
Cowper		2.53
Cunningham		3.59
Dobell		3.20
Eden-Monaro		2.91
Farrer		3.61
Fowler		6.53
Gilmore		2.95
Grayndler		4.41
Greenway		4.48
Gwydir		2.70
Hughes		2.77
Hume		3.17
Hunter		2.57
Kingsford-Smith		4.44
Lindsay		3.10
Lowe		4.59
Lyne		2.82
Macarthur		3.57
Mackellar		2.87
Macquarie		2.47
Mitchell		2.65
Newcastle		3.28
New England		2.32
North Sydney		2.59
Page		2.40
Parkes		3.16
Parramatta		4.02
Paterson		2.57
Prospect		5.26
Reid		6.52
Richmond		2.22
Riverina		3.36
Robertson		3.29
Shortland		3.12
Sydney		3.19
Throsby		3.92
Warringah		2.39
Watson		6.38
Wentworth		3.32
Werriwa		4.57
New South Wales Average		3.54
		
Victoria		
Division		Informality %
Aston		4.69
Ballarat		4.73
Batman		8.05
Bendigo		4.61
Bruce		6.52
Burke		5.96
Calwell		7.23
Casey		4.52
Chisholm		5.07
Corangamite		4.90
Corio		5.75
Deakin		4.61
Dunkley		5.48
Flinders		5.04
Gellibrand		8.56
Gippsland		4.08
Goldstein		5.07
Higgins		4.58
Holt		6.76
Hotham		6.49
Indi		4.63
Isaacs		5.83
Jagajaga		4.93
Kooyong		4.37
Lalor		6.74
La Trobe		4.22
McEwen		5.06
McMillan		4.66
Mallee		4.20
Maribyrnong		9.02
Melbourne		4.82
Melbourne Ports		4.99
Menzies		5.29
Murray		5.29
Scullin		7.51
Wannon		5.14
Wills		8.17
Victorian Average		5.61
		
Queensland		
Division		Informality %
Blair		3.02
Bowman		3.28
Brisbane		2.90
Capricornia		2.23
Dawson		3.17
Dickson		2.40
Fadden		3.36
Fairfax		2.71
Fisher		2.67
Forde		3.09
Griffith		3.01
Groom		2.33
Herbert		2.60
Hinkler		2.65
Kennedy		3.09
Leichhardt		3.10
Lilley		3.55
Longman		3.11
McPherson		3.03
Maranoa		3.01
Moncrieff		3.18
Moreton		3.10
Oxley		3.32
Petrie		2.79
Rankin		3.81
Ryan		2.26
Wide Bay		3.02
Queensland Average		2.95
		
Western Australia		
Division		Informality %
Brand		3.42
Canning		3.40
Cowan		3.54
Curtin		2.84
Forrest		3.73
Fremantle		4.54
Hasluck		3.62
Kalgoorlie		3.16
Moore		2.44
O'Connor		3.66
Pearce		3.47
Perth		4.34
Stirling		4.41
Swan		3.96
Tangney		2.98
Western Australian Average		3.58
		
South Australia		
Division		Informality %
Adelaide		3.14
Barker		3.03
Bonython		3.37
Boothby		2.67
Grey		2.76
Hindmarsh		3.33
Kingston		2.96
Makin		2.76
Mayo		2.53
Port Adelaide		3.58
Sturt		3.45
Wakefield		3.23
South Australian Average		3.06
		
Tasmania		
Division		Informality %
Bass		3.21
Braddon		3.58
Denison		2.94
Franklin		2.84
Lyons		3.90
Tasmanian Average		3.29
		
Australian Capital Territory		
Division		Informality %
Canberra		2.29
Fraser		2.39
Australian Capital Territory Average		2.34
		
Northern Territory		
Division		Informality %
Lingiari		2.76
Solomon		2.75
Northern Territory Average		2.76

National Average		3.89%
