Senate: Election 2001 - National															
First Preference Votes by Candidate															
By Vote Type by State															
				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
New South Wales															
Enrolment 4227937															

A		TICKET VOTES	HAN	169670	5.23	12080	4.64	1613	4.53	11312	5.46	7253	5.57	201928	5.21
		"McKINNON, Don"	HAN	11397	0.35	705	0.27	72	0.20	776	0.37	816	0.63	13766	0.35
		"PUTRA, Rick"	HAN	231	0.01	20	0.01	3	0.01	20	0.01	25	0.02	299	0.01
		"DEENEY, Carol"	HAN	422	0.01	32	0.01	3	0.01	22	0.01	50	0.04	529	0.01
		Group Total	HAN	181720	5.60	12837	4.93	1691	4.75	12130	5.85	8144	6.26	216522	5.58
B		TICKET VOTES	CTA	53725	1.66	4294	1.65	480	1.35	3114	1.50	2060	1.58	63673	1.64
		"CAPSIS, George"	CTA	7358	0.23	508	0.19	30	0.08	403	0.19	325	0.25	8624	0.22
		"HUME, Kevin"	CTA	320	0.01	29	0.01	2	0.01	23	0.01	26	0.02	400	0.01
		Group Total	CTA	61403	1.89	4831	1.85	512	1.44	3540	1.71	2411	1.85	72697	1.87
C		TICKET VOTES	UNI	15963	0.49	961	0.37	228	0.64	986	0.48	438	0.34	18576	0.48
		"NGO, Thang"	UNI	873	0.03	59	0.02	5	0.01	60	0.03	62	0.05	1059	0.03
		"McLEOD, Robert"	UNI	78	0.00	8	0.00	2	0.01	5	0.00	3	0.00	96	0.00
		Group Total	UNI	16914	0.52	1028	0.39	235	0.66	1051	0.51	503	0.39	19731	0.51
D		TICKET VOTES	CEC	1826	0.06	136	0.05	20	0.06	119	0.06	59	0.05	2160	0.06
		"BUTLER, Robert"	CEC	143	0.00	11	0.00	3	0.01	14	0.01	5	0.00	176	0.00
		"COLLINS, Glenys"	CEC	25	0.00	2	0.00	0	0.00	2	0.00	5	0.00	34	0.00
		Group Total	CEC	1994	0.06	149	0.06	23	0.06	135	0.07	69	0.05	2370	0.06
E		TICKET VOTES	PLP	54899	1.69	6181	2.37	1270	3.57	3826	1.85	1322	1.02	67498	1.74
		"WOLDRING, Klaas"	PLP	685	0.02	74	0.03	9	0.03	40	0.02	39	0.03	847	0.02
		"LEE, Shona"	PLP	101	0.00	18	0.01	3	0.01	7	0.00	9	0.01	138	0.00
		Group Total	PLP	55685	1.72	6273	2.41	1282	3.60	3873	1.87	1370	1.05	68483	1.77
F		TICKET VOTES	OCF	3411	0.11	270	0.10	39	0.11	225	0.11	115	0.09	4060	0.10
		"CALDICOTT, Helen"	OCF	1063	0.03	78	0.03	1	0.00	75	0.04	56	0.04	1273	0.03
		"POTTS, Ted"	OCF	17	0.00	8	0.00	0	0.00	0	0.00	0	0.00	25	0.00
		Group Total	OCF	4491	0.14	356	0.14	40	0.11	300	0.14	171	0.13	5358	0.14
G		TICKET VOTES	DEM	180880	5.57	18745	7.19	1895	5.33	13588	6.55	6327	4.86	221435	5.71
