House of Representatives: Election 2001 - National			
First Preference Votes			
By Party by State			
			
National Summary			
Enrolment 12708837			

Party	Votes	%	Swing
LP	4254071	37.08	3.19
NP	643926	5.61	0.32
CLP	36961	0.32	0.00
ALP	4341420	37.84	-2.26
DEM	620225	5.41	0.27
GRN	504135	4.39	2.25
GWA	64939	0.57	0.09
HAN	498032	4.34	-4.09
OTH	510365	4.45	0.23
FORMAL	11474074	95.18	-1.04
INFORMAL	580591	4.82	1.04
TOTAL	12054664	94.85	-0.14
Two Party Preferred			
ALP	5627785	49.05	-1.87
Coalition	5846289	50.95	1.87
			
			
			
New South Wales			
Enrolment 4227937			

Party	Votes	%	Swing
LP	1272208	33.58	3.09
NP	349372	9.22	1.32
ALP	1380822	36.45	-3.67
DEM	160706	4.24	0.08
GRN	180079	4.75	2.09
HAN	180813	4.77	-4.19
OTH	264460	6.98	1.27
FORMAL	3788460	94.58	-1.42
INFORMAL	217169	5.42	1.42
TOTAL	4005629	94.74	-0.10
Two Party Preferred			
ALP	1831469	48.34	-3.20
Coalition	1956991	51.66	3.20
			

Victoria			
Enrolment 3234874			

Party	Votes	%	Swing
LP	1154493	39.07	1.99
NP	91048	3.08	0.36
ALP	1230764	41.65	-2.72
DEM	184564	6.25	0.23
GRN	174396	5.90	3.81
HAN	37812	1.28	-2.44
OTH	81938	2.77	-1.23
FORMAL	2955015	96.02	-0.47
INFORMAL	122575	3.98	0.47
TOTAL	3077590	95.14	-0.47
Two Party Preferred			
ALP	1540613	52.14	-1.39
Coalition	1414402	47.86	1.39
			

Queensland			
Enrolment 2336698			

Party	Votes	%	Swing
LP	767959	36.46	5.60
NP	192454	9.14	-0.86
ALP	730914	34.70	-1.40
DEM	90679	4.31	0.29
GRN	73467	3.49	1.11
HAN	148932	7.07	-7.28
OTH	101847	4.84	2.53
FORMAL	2106252	95.17	-1.50
INFORMAL	106995	4.83	1.50
TOTAL	2213247	94.72	0.48
Two Party Preferred			
ALP	950849	45.14	-1.80
Coalition	1155403	54.86	1.80
			

Western Australia			
Enrolment 1206422			

Party	Votes	%	Swing
LP	449036	41.39	3.24
NP	11052	1.02	-0.29
ALP	402927	37.14	0.94
DEM	50581	4.66	0.70
GWA	64939	5.99	0.93
HAN	67992	6.27	-3.01
OTH	38268	3.53	-2.52
FORMAL	1084795	95.08	-0.74
INFORMAL	56133	4.92	0.74
TOTAL	1140928	94.57	-0.09
Two Party Preferred			
ALP	524825	48.38	-1.08
Coalition	559970	51.62	1.08
			

South Australia			
Enrolment 1039025			

Party	Votes	%	Swing
LP	430441	45.90	3.85
ALP	316362	33.74	-0.74
DEM	98849	10.54	0.40
GRN	34141	3.64	3.15
HAN	44574	4.75	-5.05
NGST	4202	0.45	0.45
OTH	9138	0.97	-2.06
FORMAL	937707	94.46	-1.00
INFORMAL	55040	5.54	1.00
TOTAL	992747	95.55	-0.12
Two Party Preferred			
ALP	430558	45.92	-0.97
Coalition	507149	54.08	0.97
			

Tasmania			
Enrolment 331675			

Party	Votes	%	Swing
LP	114283	37.10	-1.07
ALP	145305	47.17	-1.73
DEM	13785	4.48	1.22
GRN	24052	7.81	2.25
HAN	8847	2.87	0.42
OTH	1746	0.57	-1.07
FORMAL	308018	96.60	-0.31
INFORMAL	10856	3.40	0.31
TOTAL	318874	96.14	0.03
Two Party Preferred			
ALP	177833	57.73	0.42
Coalition	130185	42.27	-0.42
			

Australian Capital Territory			
Enrolment 221184			

Party	Votes	%	Swing
LP	65651	32.39	1.87
ALP	95215	46.98	-3.66
DEM	16266	8.03	0.63
GRN	14335	7.07	2.89
HAN	5576	2.75	-2.33
CTA	4254	2.10	2.10
OTH	1369	0.68	-1.50
FORMAL	202666	96.48	-0.65
INFORMAL	7386	3.52	0.65
TOTAL	210052	94.97	-0.69
Two Party Preferred			
ALP	123786	61.08	-1.36
Coalition	78880	38.92	1.36


Northern Territory			
Enrolment 111022			

Party	Votes	%	Swing
CLP	36961	40.54	0.94
ALP	39111	42.90	0.60
DEM	4795	5.26	0.14
GRN	3665	4.02	0.99
HAN	3486	3.82	-4.31
OTH	3143	3.45	1.64
FORMAL	91161	95.36	-0.48
INFORMAL	4436	4.64	0.48
TOTAL	95597	86.11	-4.22
Two Party Preferred			
ALP	47852	52.49	1.92
Coalition	43309	47.51	-1.92
			

			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
