Senate: Election 2001 - National								
Votes Counted								
By Vote Type By State By Division								
								
National Summary								
State	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
NSW	4227937	3376156	266289	131719	210628	36932	4021724	95.12
VIC	3234874	2599902	195165	123007	146750	27035	3091859	95.58
QLD	2336698	1848840	139033	107947	99378	20329	2215527	94.81
WA	1206422	965578	94632	32476	44458	9410	1146554	95.04
SA	1039025	857273	63032	35632	33326	8308	997571	96.01
TAS	331675	275848	15395	12862	11843	3207	319155	96.23
ACT	221184	167335	5334	5955	30353	1421	210398	95.12
NT	111022	81680	2081	2304	8881	756	95702	86.20
NATIONAL TOTAL	12708837	10172612	780961	451902	585617	107398	12098490	95.20
								
New South Wales								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Banks	83122	67479	5500	2749	3112	589	79429	95.56
Barton	84752	68453	5412	2361	3373	924	80523	95.01
Bennelong	86896	69141	5774	3464	3565	507	82451	94.88
Berowra	85766	68120	5737	2881	4562	468	81768	95.34
Blaxland	82779	67441	4956	2275	2511	1035	78218	94.49
Bradfield	89832	70423	5637	3599	4919	452	85030	94.65
Calare	85310	69312	4639	2198	5171	819	82139	96.28
Charlton	83459	66842	5493	2728	4361	666	80090	95.96
Chifley	83474	68167	5463	1567	2911	1109	79217	94.90
Cook	82150	65466	4942	2846	4485	802	78541	95.61
Cowper	79982	64360	4419	2512	4311	751	76353	95.46
Cunningham	81540	66754	4268	2859	3523	435	77839	95.46
Dobell	82002	64634	6091	2500	4308	626	78159	95.31
Eden-Monaro	85815	67971	3100	3429	7170	524	82194	95.78
Farrer	84423	69780	2182	3497	4532	558	80549	95.41
Fowler	82745	68290	4956	1532	2001	895	77674	93.87
Gilmore	83909	64651	4684	2922	7381	760	80398	95.82
Grayndler	86146	66124	7236	1830	3743	1147	80080	92.96
Greenway	85876	70054	5955	2021	3169	626	81825	95.28
Gwydir	84602	66626	6610	3133	3625	640	80634	95.31
Hughes	85741	69716	5966	2632	3979	489	82782	96.55
Hume	85640	68351	5942	2919	4463	554	82229	96.02
Hunter	84649	68958	4482	1796	5561	774	81571	96.36
Kingsford Smith	86647	68535	5572	2620	4189	914	81830	94.44
Lindsay	81618	66895	5503	1908	2965	1090	78361	96.01
Lowe	83707	67658	5262	2879	3349	708	79856	95.40
Lyne	86901	70037	5025	2308	5169	895	83434	96.01
Macarthur	80127	65373	5111	1978	3278	709	76449	95.41
Mackellar	86505	69260	5700	2069	4325	505	81859	94.63
Macquarie	86364	69085	6086	2738	3907	510	82326	95.32
Mitchell	86647	69876	6189	2740	3905	572	83282	96.12
Newcastle	89198	71565	5756	3255	3181	487	84244	94.45
New England	84941	67606	4455	2733	5828	896	81518	95.97
North Sydney	88755	66564	6987	3456	5174	763	82944	93.45
Page	82272	66705	3826	2893	4665	775	78864	95.86
Parkes	83036	66222	5040	2940	4535	758	79495	95.74
Parramatta	87286	67755	6988	3719	3358	929	82749	94.80
Paterson	82782	66768	4375	3139	5289	628	80199	96.88
Prospect	86641	73375	5555	1560	1931	584	83005	95.80
Reid	77031	62524	4877	2115	2151	439	72106	93.61
Richmond	81312	63242	2873	3213	6954	627	76909	94.59
Riverina	87399	71464	3926	2197	5454	805	83846	95.93
Robertson	84366	66514	5389	3240	4742	816	80701	95.66
Shortland	86261	69254	5409	2988	4235	779	82665	95.83
Sydney	86143	61391	8529	2274	5354	1394	78942	91.64
Throsby	84412	70528	4290	2328	2895	679	80720	95.63
Warringah	85405	65961	5712	2796	5298	686	80453	94.20
Watson	81961	65567	5641	1946	2496	1019	76669	93.54
Wentworth	86457	61745	6338	3946	6948	993	79970	92.50
Werriwa	83153	67574	6431	1491	2317	822	78635	94.57
TOTAL	4227937	3376156	266289	131719	210628	36932	4021724	95.12
								
Victoria								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Aston	90211	74948	4421	4888	3004	316	87577	97.08
Ballarat	85877	69280	4436	3777	4509	1028	83030	96.68
Batman	89998	72020	5840	2527	3226	800	84413	93.79
Bendigo	88150	72850	4316	3785	3590	611	85152	96.60
Bruce	85447	68955	5339	3880	3061	571	81806	95.74
Burke	88943	72939	5683	2799	3415	608	85444	96.07
Calwell	98330	81518	5631	1977	3591	1123	93840	95.43
Casey	85278	69359	5402	3082	3535	609	81987	96.14
Chisholm	86680	68566	6130	4400	3307	394	82797	95.52
Corangamite	85955	68811	5134	3842	4526	661	82974	96.53
Corio	85836	70320	3693	3524	3959	867	82363	95.95
Deakin	85208	68043	5517	4206	3333	460	81559	95.72
Dunkley	85129	69009	4221	3496	4291	760	81777	96.06
Flinders	91403	71182	5022	4013	6787	820	87824	96.08
Gellibrand	86496	68934	5036	2478	3425	1024	80897	93.53
Gippsland	83845	69835	4362	2462	3447	455	80561	96.08
Goldstein	89948	71150	5622	3978	4082	576	85408	94.95
Higgins	88043	66365	7298	3846	4462	692	82663	93.89
Holt	88172	71266	5603	2474	3149	1329	83821	95.07
Hotham	89090	71294	5902	3750	3325	785	85056	95.47
Indi	85758	68378	3842	2651	6869	405	82145	95.79
Isaacs	82675	68114	4676	3416	2697	995	79898	96.64
Jagajaga	88073	71253	5206	4108	3542	413	84522	95.97
Kooyong	87128	68280	6476	3754	3782	583	82875	95.12
Lalor	89277	73779	4446	1944	4956	755	85880	96.19
La Trobe	88269	71230	6035	3785	3057	651	84758	96.02
McEwen	89021	72192	6239	4116	2679	953	86179	96.81
McMillan	85551	69025	3893	2689	6089	608	82304	96.20
Mallee	81774	67140	3642	2478	5024	431	78715	96.26
Maribyrnong	83750	68196	5295	1928	3579	747	79745	95.22
Melbourne	95848	69733	9173	2732	5186	1451	88275	92.10
Melbourne Ports	89113	63148	6884	5345	5917	1034	82328	92.39
Menzies	84613	68723	5155	3145	3697	475	81195	95.96
Murray	85651	71609	4072	2676	3304	926	82587	96.42
Scullin	88866	75571	5240	2244	2114	688	85857	96.61
Wannon	82915	66542	4300	4177	4517	526	80062	96.56
Wills	88553	70345	5983	2635	3717	905	83585	94.39
TOTAL	3234874	2599902	195165	123007	146750	27035	3091859	95.58
								
Queensland								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Blair	76853	62708	5163	3338	1959	481	73649	95.83
Bowman	87122	71350	3900	3752	3530	607	83139	95.43
Brisbane	95781	71069	8258	4376	4730	1029	89462	93.40
Capricornia	81499	63645	5176	5419	2750	639	77629	95.25
Dawson	87405	70866	4343	3171	3987	833	83200	95.19
Dickson	88001	72538	5253	3498	3011	469	84769	96.33
Fadden	86004	67719	5656	3792	3807	606	81580	94.86
Fairfax	84217	66680	4713	3507	4037	770	79707	94.64
Fisher	85315	66206	4332	3895	5612	892	80937	94.87
Forde	86672	69600	5566	3337	2772	844	82119	94.75
Griffith	92367	72890	6383	4683	2980	686	87622	94.86
Groom	84838	67834	4804	3818	3481	703	80640	95.05
Herbert	90904	73734	3750	3204	4655	1122	86465	95.12
Hinkler	81566	65079	3948	3686	4858	623	78194	95.87
Kennedy	84739	67462	5322	3729	1955	976	79444	93.75
Leichhardt	85689	67897	3657	2426	3723	1364	79067	92.27
Lilley	87642	68664	5956	4694	3187	743	83244	94.98
Longman	83408	68214	4480	3385	2871	680	79630	95.47
McPherson	94653	72789	3681	3547	8281	1005	89303	94.35
Maranoa	84022	62062	6483	8268	1937	727	79477	94.59
Moncrieff	89483	68309	4472	3695	6431	971	83878	93.74
Moreton	89254	68884	6608	4870	3120	705	84187	94.32
Oxley	84787	69870	5127	2887	2267	584	80735	95.22
Petrie	89711	70993	5937	4952	3131	532	85545	95.36
Rankin	85204	67761	5517	3252	2891	714	80135	94.05
Ryan	88171	70590	5624	3594	3992	507	84307	95.62
