Senate: Election 2001 - National																					
First Preference Votes by Group																					
By Vote Type by State																					
																					
National																					
Enrolment 12708837																					

Group	Number		Number		Ordinary			Absent			Provisional			Pre-Poll			Postal			Total	
	Nominated		Elected		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%
LP	20		12		1527008	15.68		117875	15.45		12754	12.37		87738	15.24		79264	17.81		1824639	15.69
NP	5		1		185700	1.91		12622	1.65		1145	1.11		8108	1.41		15285	3.43		222860	1.92
LNP	12		6		2308623	23.70		174850	22.91		19341	18.76		151948	26.40		121327	27.26		2776089	23.88
CLP	2		1		34295	0.35		814	0.11		244	0.24		4039	0.70		1288	0.29		40680	0.35
ALP	21		12		2284113	23.45		159990	20.96		27568	26.73		120343	20.91		99401	22.33		2691415	23.15
ACL	4		2		1109016	11.39		77145	10.11		13876	13.46		62051	10.78		37400	8.40		1299488	11.18
DEM	26		4		695356	7.14		69391	9.09		7223	7.00		45369	7.88		25645	5.76		842984	7.25
GRN	18		2		421970	4.33		45219	5.93		5454	5.29		25312	4.40		11859	2.66		509814	4.38
GWA	4		0		52388	0.54		7524	0.99		677	0.66		2783	0.48		1364	0.31		64736	0.56
HAN	21		0		540354	5.55		38703	5.07		5267	5.11		31297	5.44		28725	6.45		644346	5.54
DLP	5		0		54464	0.56		5933	0.78		1162	1.13		3110	0.54		1882	0.42		66551	0.57
CEC	8		0		7084	0.07		594	0.08		113	0.11		407	0.07		302	0.07		8500	0.07
CTA	10		0		109368	1.12		8826	1.16		922	0.89		6251	1.09		4606	1.03		129973	1.12
CLA	2		0		2968	0.03		297	0.04		49	0.05		109	0.02		71	0.02		3494	0.03
AFI	2		0		16588	0.17		1991	0.26		285	0.28		1164	0.20		984	0.22		21012	0.18
AAP	3		0		1564	0.02		158	0.02		32	0.03		101	0.02		81	0.02		1936	0.02
LEF	2		0		18971	0.19		2514	0.33		408	0.40		1337	0.23		537	0.12		23767	0.20
HPA	4		0		2349	0.02		307	0.04		58	0.06		138	0.02		106	0.02		2958	0.03
FPY	2		0		22445	0.23		2730	0.36		438	0.42		1463	0.25		515	0.12		27591	0.24
HMP	4		0		51732	0.53		6955	0.91		1258	1.22		2657	0.46		1046	0.24		63648	0.55
LFF	6		0		69847	0.72		7026	0.92		968	0.94		5117	0.89		4718	1.06		87676	0.75
PLP	4		0		62114	0.64		7018	0.92		1409	1.37		4117	0.72		1492	0.34		76150	0.65
PCA	2		0		29392	0.30		2778	0.36		252	0.24		1923	0.33		1797	0.40		36142	0.31
RLS	2		0		6882	0.07		423	0.06		83	0.08		401	0.07		410	0.09		8199	0.07
OCF	2		0		4491	0.05		356	0.05		40	0.04		300	0.05		171	0.04		5358	0.05
NDP	2		0		3672	0.04		465	0.06		88	0.09		291	0.05		80	0.02		4596	0.04
NCP	2		0		3384	0.03		354	0.05		50	0.05		178	0.03		105	0.02		4071	0.04
RPA	8		0		7868	0.08		828	0.11		122	0.12		670	0.12		449	0.10		9937	0.09
TFP	3		0		3288	0.03		186	0.02		84	0.08		187	0.03		150	0.03		3895	0.03
