Senate: Election 2001 - National						
First Preference Votes by Candidate 						
By State						
						
New South Wales						
Enrolment 4227937						
State Quota 554207						

Candidates			Party	Votes	%	Quota
A		TICKET VOTES	HAN	201928	5.21	0.36
		"McKINNON, Don"	HAN	13766	0.35	0.02
		"PUTRA, Rick"	HAN	299	0.01	0.00
		"DEENEY, Carol"	HAN	529	0.01	0.00
		Group Total	HAN	216522	5.58	0.39
B		TICKET VOTES	CTA	63673	1.64	0.11
		"CAPSIS, George"	CTA	8624	0.22	0.02
		"HUME, Kevin"	CTA	400	0.01	0.00
		Group Total	CTA	72697	1.87	0.13
C		TICKET VOTES	UNI	18576	0.48	0.03
		"NGO, Thang"	UNI	1059	0.03	0.00
		"McLEOD, Robert"	UNI	96	0.00	0.00
		Group Total	UNI	19731	0.51	0.04
D		TICKET VOTES	CEC	2160	0.06	0.00
		"BUTLER, Robert"	CEC	176	0.00	0.00
		"COLLINS, Glenys"	CEC	34	0.00	0.00
		Group Total	CEC	2370	0.06	0.00
E		TICKET VOTES	PLP	67498	1.74	0.12
		"WOLDRING, Klaas"	PLP	847	0.02	0.00
		"LEE, Shona"	PLP	138	0.00	0.00
		Group Total	PLP	68483	1.77	0.12
F		TICKET VOTES	OCF	4060	0.10	0.01
		"CALDICOTT, Helen"	OCF	1273	0.03	0.00
		"POTTS, Ted"	OCF	25	0.00	0.00
		Group Total	OCF	5358	0.14	0.01
G		TICKET VOTES	DEM	221435	5.71	0.40
		"BOURNE, Vicki"	DEM	17530	0.45	0.03
		"YATES, Joanne"	DEM	418	0.01	0.00
		"CHUNG, Craig"	DEM	381	0.01	0.00
		"MAYFIELD, E Caroline"	DEM	167	0.00	0.00
		"PRINCE, Janine"	DEM	244	0.01	0.00
		"EVANS, Julian"	DEM	692	0.02	0.00
		Group Total	DEM	240867	6.21	0.43
H		TICKET VOTES	HMP	32657	0.84	0.06
		"BALDERSTONE, Michael"	HMP	2694	0.07	0.00
		"FUGGLE, Don"	HMP	175	0.00	0.00
		Group Total	HMP	35526	0.92	0.06
I		TICKET VOTES	RLS	7830	0.20	0.01
		"GREENAWAY, Denise"	RLS	331	0.01	0.00
		"ARMSTRONG, Valerie"	RLS	38	0.00	0.00
		Group Total	RLS	8199	0.21	0.01
J		TICKET VOTES	ACL	1283636	33.09	2.32
	#	"STEPHENS, Ursula"	CLR	10244	0.26	0.02
	#	"CAMPBELL, George"	ALP	2113	0.05	0.00
		"MUNDINE, Warren"	CLR	988	0.03	0.00
		"WOODS, Joanna"	ALP	2507	0.06	0.00
		Group Total	ACL	1299488	33.50	2.34
K		TICKET VOTES	LEF	22767	0.59	0.04
		"O'LOUGHLIN, David"	LEF	906	0.02	0.00
		"FREEMAN, Paul"	LEF	94	0.00	0.00
		Group Total	LEF	23767	0.61	0.04
L		TICKET VOTES		2325	0.06	0.00
		"STEWART, Lex"		71	0.00	0.00
		"STEWART, Joe"		6	0.00	0.00
		Group Total		2402	0.06	0.00
M		TICKET VOTES	FPY	26648	0.69	0.05
		"SMITH, Robert"	FPY	867	0.02	0.00
		"WISEMAN, David"	FPY	76	0.00	0.00
		Group Total	FPY	27591	0.71	0.05
N		TICKET VOTES		1099	0.03	0.00
		"SMITH, Warren"		83	0.00	0.00
		"LAWLER, Geoff"		30	0.00	0.00
		"ANTHONY, Dora"		29	0.00	0.00
		Group Total		1241	0.03	0.00
O		TICKET VOTES	NCP	3760	0.10	0.01
		"THOMPSON, Andy"	NCP	294	0.01	0.00
		"McKEEGAN, Annette"	NCP	17	0.00	0.00
		Group Total	NCP	4071	0.10	0.01
P		TICKET VOTES	NDP	4274	0.11	0.01
		"DENBOROUGH, Michael"	NDP	275	0.01	0.00
		"FRANCIS, Yvonne"	NDP	47	0.00	0.00
		Group Total	NDP	4596	0.12	0.01
Q		TICKET VOTES	LNP	1601339	41.28	2.89
	#	"COONAN, Helen"	LP	14459	0.37	0.03
	#	"MACDONALD, Sandy"	NP	1357	0.03	0.00
	#	"PAYNE, Marise"	LP	823	0.02	0.00
		"NASH, Fiona"	NP	483	0.01	0.00
		"MacDONALD, Scot"	LP	1082	0.03	0.00
		"TANG, Terence"	LP	692	0.02	0.00
		Group Total	LNP	1620235	41.76	2.92
R		TICKET VOTES	NGST	25040	0.65	0.05
		"GALLAGHER, Mick"	NGST	646	0.02	0.00
		"MARTIN, Charles H"	NGST	48	0.00	0.00
		Group Total	NGST	25734	0.66	0.05
S		TICKET VOTES	RPA	4518	0.12	0.01
		"McNALLY, Kerry"	RPA	539	0.01	0.00
		"JORDAN, Tom"	RPA	44	0.00	0.00
		Group Total	RPA	5101	0.13	0.01
T		TICKET VOTES	GRN	147311	3.80	0.27
	#	"NETTLE, Kerry"	GRN	20256	0.52	0.04
		"KAYE, John"	GRN	299	0.01	0.00
		"DAVIS, Jan"	GRN	612	0.02	0.00
		"RYAN, James"	GRN	661	0.02	0.00
		Group Total	GRN	169139	4.36	0.31
U		TICKET VOTES		1108	0.03	0.00
		"HINMAN, Pip"		189	0.00	0.00
		"RINTOUL, Ian"		67	0.00	0.00
		Group Total		1364	0.04	0.00
V		TICKET VOTES	AAP	1779	0.05	0.00
		"CONNOR, Rex"	AAP	133	0.00	0.00
		"ASTRIDGE, Robert"	AAP	9	0.00	0.00
		"GUY, Shirley"	AAP	15	0.00	0.00
		Group Total	AAP	1936	0.05	0.00
W		TICKET VOTES	AFI	19897	0.51	0.04
		"KITSON, David"	AFI	1050	0.03	0.00
		"WOODGER, Edwin"	AFI	65	0.00	0.00
		Group Total	AFI	21012	0.54	0.04
UNGROUPED						
		"IVOR, F"	IND	703	0.02	0.00
		"TINYOW, Walter"	IND	102	0.00	0.00
		"BAKER, Beverly"	IND	971	0.03	0.00
		"LORD, Jack"	IND	237	0.01	0.00
		Ungrouped Total		2013	0.05	0.00
			FORMAL	3879443	96.46	
			INFORMAL	142281	3.54	
			TOTAL	4021724	95.12	


Victoria						
Enrolment 3234874						
State Quota 416896						

Candidates			Party	Votes	%	Quota
A		TICKET VOTES	LFF	66524	2.28	0.16
		"PATHY, Suresh"	LFF	3268	0.11	0.01
		"LUGG, John"	LFF	346	0.01	0.00
		Group Total	LFF	70138	2.40	0.17
B		TICKET VOTES	DLP	64166	2.20	0.15
		"MULHOLLAND, John"	DLP	1942	0.07	0.00
		"CREA, Pat"	DLP	112	0.00	0.00
		"KING, Gail"	DLP	166	0.01	0.00
		"MAURUS, Rosemary"	DLP	75	0.00	0.00
		"WELLS, Ken"	DLP	90	0.00	0.00
		Group Total	DLP	66551	2.28	0.16
C		TICKET VOTES	PCA	30428	1.04	0.07
		"CLEARY, Phil"	PCA	5623	0.19	0.01
		"ZOMBOLAS, Eileen"	PCA	91	0.00	0.00
		Group Total	PCA	36142	1.24	0.09
D		TICKET VOTES	CEC	2460	0.08	0.01
		"ISHERWOOD, Noelene"	CEC	158	0.01	0.00
		"BARWICK, Robert"	CEC	43	0.00	0.00
		Group Total	CEC	2661	0.09	0.01
E		TICKET VOTES		1152	0.04	0.00
		"TOSCANO, Joseph"		212	0.01	0.00
		"REGHENZANI, Stephen"		27	0.00	0.00
		Group Total		1391	0.05	0.00
F		TICKET VOTES		1324	0.05	0.00
		"RASKOVY, Steve"		131	0.00	0.00
		"KENNEDY, Elizabeth"		41	0.00	0.00
		Group Total		1496	0.05	0.00
G		TICKET VOTES	HAN	66180	2.27	0.16
		"SPENCER, Robyn"	HAN	5141	0.18	0.01
		"McINTYRE, Neville"	HAN	284	0.01	0.00
		Group Total	HAN	71605	2.45	0.17
H		TICKET VOTES	LNP	1138035	39.00	2.73
