House of Representatives - 2001 Election: Western Australia												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Pearce (77880)												
		Candidate		                  	"MOYLAN, Judi"		               	"COSTELLO, Liam"		             	Total	
				                           	LP		                         	ALP		                        		
				                           	Votes	%	                     	Votes	%	                     		
	Bakers Hill											
			1st Prefs		236	62.27		143	37.73		379	
		"NELSON, Chris (NP)"	24		23	95.83		1	4.17		24	
		"FOX, Jack (DEM)"	7		2	28.57		5	71.43		7	
		"HILL, Vivian (CTA)"	10		6	60.00		4	40.00		10	
		"COLLINS, Ken (HAN)"	100		36	36.00		64	64.00		100	
		"SMITH, Stuart (CEC)"	1		1	100.00		0	0.00		1	
		"MILLER, Juanita (GWA)"	27		6	22.22		21	77.78		27	
		Total	169		310	56.57		238	43.43		548	

	Beverley											
			1st Prefs		388	69.66		169	30.34		557	
		"NELSON, Chris (NP)"	51		49	96.08		2	3.92		51	
		"FOX, Jack (DEM)"	15		10	66.67		5	33.33		15	
		"HILL, Vivian (CTA)"	8		5	62.50		3	37.50		8	
		"COLLINS, Ken (HAN)"	90		39	43.33		51	56.67		90	
		"SMITH, Stuart (CEC)"	15		6	40.00		9	60.00		15	
		"MILLER, Juanita (GWA)"	31		8	25.81		23	74.19		31	
		Total	210		505	65.84		262	34.16		767	

	Bindoon											
			1st Prefs		433	72.29		166	27.71		599	
		"NELSON, Chris (NP)"	28		26	92.86		2	7.14		28	
		"FOX, Jack (DEM)"	17		9	52.94		8	47.06		17	
		"HILL, Vivian (CTA)"	6		5	83.33		1	16.67		6	
		"COLLINS, Ken (HAN)"	98		59	60.20		39	39.80		98	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	34		8	23.53		26	76.47		34	
		Total	184		540	68.97		243	31.03		783	

	Boddington											
			1st Prefs		313	65.62		164	34.38		477	
		"NELSON, Chris (NP)"	40		33	82.50		7	17.50		40	
		"FOX, Jack (DEM)"	15		6	40.00		9	60.00		15	
		"HILL, Vivian (CTA)"	4		3	75.00		1	25.00		4	
		"COLLINS, Ken (HAN)"	65		35	53.85		30	46.15		65	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	21		6	28.57		15	71.43		21	
		Total	147		397	63.62		227	36.38		624	

	Brookton											
			1st Prefs		229	75.58		74	24.42		303	
		"NELSON, Chris (NP)"	103		97	94.17		6	5.83		103	
		"FOX, Jack (DEM)"	4		2	50.00		2	50.00		4	
		"HILL, Vivian (CTA)"	3		3	100.00		0	0.00		3	
		"COLLINS, Ken (HAN)"	40		24	60.00		16	40.00		40	
		"SMITH, Stuart (CEC)"	7		3	42.86		4	57.14		7	
		"MILLER, Juanita (GWA)"	19		6	31.58		13	68.42		19	
		Total	176		364	75.99		115	24.01		479	

	Bullsbrook											
			1st Prefs		807	65.61		423	34.39		1230	
		"NELSON, Chris (NP)"	22		20	90.91		2	9.09		22	
		"FOX, Jack (DEM)"	78		28	35.90		50	64.10		78	
		"HILL, Vivian (CTA)"	8		6	75.00		2	25.00		8	
		"COLLINS, Ken (HAN)"	182		75	41.21		107	58.79		182	
		"SMITH, Stuart (CEC)"	2		2	100.00		0	0.00		2	
		"MILLER, Juanita (GWA)"	106		42	39.62		64	60.38		106	
		Total	398		980	60.20		648	39.80		1628	

	Carmel											
			1st Prefs		212	75.44		69	24.56		281	
		"NELSON, Chris (NP)"	6		4	66.67		2	33.33		6	
		"FOX, Jack (DEM)"	12		2	16.67		10	83.33		12	
		"HILL, Vivian (CTA)"	8		7	87.50		1	12.50		8	
		"COLLINS, Ken (HAN)"	16		8	50.00		8	50.00		16	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	25		9	36.00		16	64.00		25	
		Total	67		242	69.54		106	30.46		348	

	Chidlow											
			1st Prefs		361	57.12		271	42.88		632	
		"NELSON, Chris (NP)"	17		16	94.12		1	5.88		17	
		"FOX, Jack (DEM)"	42		18	42.86		24	57.14		42	
		"HILL, Vivian (CTA)"	22		18	81.82		4	18.18		22	
		"COLLINS, Ken (HAN)"	65		37	56.92		28	43.08		65	
		"SMITH, Stuart (CEC)"	2		2	100.00		0	0.00		2	
		"MILLER, Juanita (GWA)"	92		32	34.78		60	65.22		92	
		Total	240		484	55.50		388	44.50		872	

	Clarkson											
			1st Prefs		603	38.68		956	61.32		1559	
		"NELSON, Chris (NP)"	19		14	73.68		5	26.32		19	
		"FOX, Jack (DEM)"	103		39	37.86		64	62.14		103	
		"HILL, Vivian (CTA)"	28		14	50.00		14	50.00		28	
		"COLLINS, Ken (HAN)"	148		61	41.22		87	58.78		148	
		"SMITH, Stuart (CEC)"	11		8	72.73		3	27.27		11	
		"MILLER, Juanita (GWA)"	144		58	40.28		86	59.72		144	
		Total	453		797	39.61		1215	60.39		2012	

	Cuballing											
			1st Prefs		92	71.32		37	28.68		129	
		"NELSON, Chris (NP)"	59		55	93.22		4	6.78		59	
		"FOX, Jack (DEM)"	10		3	30.00		7	70.00		10	
		"HILL, Vivian (CTA)"	1		1	100.00		0	0.00		1	
		"COLLINS, Ken (HAN)"	38		15	39.47		23	60.53		38	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	16		4	25.00		12	75.00		16	
		Total	124		170	67.19		83	32.81		253	

	Darlington											
			1st Prefs		925	64.82		502	35.18		1427	
		"NELSON, Chris (NP)"	7		6	85.71		1	14.29		7	
		"FOX, Jack (DEM)"	149		61	40.94		88	59.06		149	
		"HILL, Vivian (CTA)"	26		20	76.92		6	23.08		26	
		"COLLINS, Ken (HAN)"	84		45	53.57		39	46.43		84	
		"SMITH, Stuart (CEC)"	3		2	66.67		1	33.33		3	
		"MILLER, Juanita (GWA)"	260		68	26.15		192	73.85		260	
		Total	529		1127	57.62		829	42.38		1956	

	Ellenbrook											
			1st Prefs		1032	54.81		851	45.19		1883	
		"NELSON, Chris (NP)"	29		21	72.41		8	27.59		29	
		"FOX, Jack (DEM)"	138		59	42.75		79	57.25		138	
		"HILL, Vivian (CTA)"	57		49	85.96		8	14.04		57	
		"COLLINS, Ken (HAN)"	158		70	44.30		88	55.70		158	
		"SMITH, Stuart (CEC)"	5		4	80.00		1	20.00		5	
		"MILLER, Juanita (GWA)"	101		35	34.65		66	65.35		101	
		Total	488		1270	53.56		1101	46.44		2371	

	Gidgegannup											
			1st Prefs		604	66.81		300	33.19		904	
		"NELSON, Chris (NP)"	17		13	76.47		4	23.53		17	
		"FOX, Jack (DEM)"	47		19	40.43		28	59.57		47	
		"HILL, Vivian (CTA)"	14		11	78.57		3	21.43		14	
		"COLLINS, Ken (HAN)"	105		48	45.71		57	54.29		105	
		"SMITH, Stuart (CEC)"	8		4	50.00		4	50.00		8	
		"MILLER, Juanita (GWA)"	82		33	40.24		49	59.76		82	
		Total	273		732	62.19		445	37.81		1177	

	Gingin											
			1st Prefs		400	76.92		120	23.08		520	
		"NELSON, Chris (NP)"	11		8	72.73		3	27.27		11	
		"FOX, Jack (DEM)"	6		3	50.00		3	50.00		6	
		"HILL, Vivian (CTA)"	4		2	50.00		2	50.00		4	
		"COLLINS, Ken (HAN)"	93		34	36.56		59	63.44		93	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	25		11	44.00		14	56.00		25	
		Total	140		458	69.39		202	30.61		660	

	Glen Forrest											
			1st Prefs		760	63.76		432	36.24		1192	
		"NELSON, Chris (NP)"	12		8	66.67		4	33.33		12	
		"FOX, Jack (DEM)"	103		41	39.81		62	60.19		103	
		"HILL, Vivian (CTA)"	22		18	81.82		4	18.18		22	
		"COLLINS, Ken (HAN)"	89		52	58.43		37	41.57		89	
		"SMITH, Stuart (CEC)"	3		0	0.00		3	100.00		3	
		"MILLER, Juanita (GWA)"	181		53	29.28		128	70.72		181	
		Total	410		932	58.18		670	41.82		1602	

	Grass Valley											
			1st Prefs		84	73.68		30	26.32		114	
		"NELSON, Chris (NP)"	12		11	91.67		1	8.33		12	
		"FOX, Jack (DEM)"	8		6	75.00		2	25.00		8	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	25		19	76.00		6	24.00		25	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	9		4	44.44		5	55.56		9	
		Total	54		124	73.81		44	26.19		168	

	Greenhills											
			1st Prefs		62	88.57		8	11.43		70	
		"NELSON, Chris (NP)"	1		1	100.00		0	0.00		1	
		"FOX, Jack (DEM)"	0		0	0.00		0	0.00		0	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	21		14	66.67		7	33.33		21	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
