Senate - 2001 Election: Western Australia																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															
Brand (78366)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Baldivis		8	0.60		0	0.00		0	0.00		14	1.05		1	0.07		579	43.27		16	1.20		0	0.00		107	8.00		43	3.21		0	0.00		4	0.30		0	0.00		6	0.45		65	4.86		427	31.91		66	4.93		2	0.15		1338	97.81		30	2.19		1368	1.83
Calista		18	0.71		2	0.08		5	0.20		36	1.43		6	0.24		518	20.51		11	0.44		0	0.00		222	8.79		54	2.14		0	0.00		7	0.28		0	0.00		44	1.74		127	5.03		1378	54.55		98	3.88		0	0.00		2526	96.49		92	3.51		2618	3.49
Coodanup		10	0.57		0	0.00		0	0.00		19	1.08		3	0.17		535	30.31		6	0.34		3	0.17		167	9.46		24	1.36		0	0.00		4	0.23		0	0.00		15	0.85		56	3.17		848	48.05		73	4.14		2	0.11		1765	95.30		87	4.70		1852	2.47
Cooloongup		18	0.44		2	0.05		3	0.07		25	0.61		4	0.10		878	21.46		20	0.49		0	0.00		327	7.99		104	2.54		0	0.00		17	0.42		0	0.00		29	0.71		149	3.64		2360	57.69		154	3.76		1	0.02		4091	96.87		132	3.13		4223	5.64
Golden Bay		7	0.82		0	0.00		0	0.00		14	1.65		1	0.12		298	35.06		15	1.76		2	0.24		76	8.94		21	2.47		0	0.00		2	0.24		0	0.00		6	0.71		37	4.35		316	37.18		55	6.47		0	0.00		850	95.61		39	4.39		889	1.19
Greenfields		12	0.47		2	0.08		2	0.08		27	1.06		4	0.16		811	31.92		19	0.75		1	0.04		218	8.58		37	1.46		4	0.16		0	0.00		0	0.00		14	0.55		85	3.35		1229	48.37		75	2.95		1	0.04		2541	96.00		106	4.00		2647	3.53
Greenfields East		3	0.23		0	0.00		4	0.30		19	1.43		4	0.30		416	31.40		13	0.98		0	0.00		116	8.75		29	2.19		0	0.00		7	0.53		0	0.00		13	0.98		45	3.40		603	45.51		53	4.00		0	0.00		1325	95.53		62	4.47		1387	1.85
Hillman		10	0.51		2	0.10		1	0.05		23	1.17		1	0.05		447	22.69		8	0.41		0	0.00		155	7.87		58	2.94		0	0.00		6	0.30		0	0.00		24	1.22		69	3.50		1080	54.82		86	4.37		0	0.00		1970	96.57		70	3.43		2040	2.72
Hope Valley		2	0.42		1	0.21		0	0.00		0	0.00		0	0.00		179	37.61		5	1.05		0	0.00		42	8.82		9	1.89		0	0.00		3	0.63		0	0.00		2	0.42		15	3.15		187	39.29		30	6.30		1	0.21		476	96.36		18	3.64		494	0.66
