House of Representatives - 2001 Election: Western Australia																																								
Distribution of Preferences																																								
By Division																																								
																																								
Brand																																								
				BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD															
				Kim			Steve			Kate			Brian			Terry			Paul			Margaret			Keith															
				(ALP)			(HAN)			(GWA)			(CEC)			(CTA)			(DEM)			(LP)			(LFF)															
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total													
FIRST			36917	51.71		4380	6.14		2486	3.48		164	0.23		621	0.87		1706	2.39		17110	23.97		8006	11.21		71390													
SECOND			23	14.02		24	14.63		38	23.17			Excluded		33	20.12		15	9.15		16	9.76		15	9.15		164													
	TOTAL		36940	51.74		4404	6.17		2524	3.54					654	0.92		1721	2.41		17126	23.99		8021	11.24		71390													
THIRD			107	16.36		77	11.77		71	10.86						Excluded		72	11.01		243	37.16		84	12.84		654													
	TOTAL		37047	51.89		4481	6.28		2595	3.63								1793	2.51		17369	24.33		8105	11.35		71390													
FOURTH			455	25.38		117	6.53		765	42.67									Excluded		254	14.17		202	11.27		1793													
	TOTAL		37502	52.53		4598	6.44		3360	4.71											17623	24.69		8307	11.64		71390													
FIFTH			1492	44.40		550	16.37			Excluded											331	9.85		987	29.38		3360													
	TOTAL		38994	54.62		5148	7.21														17954	25.15		9294	13.02		71390													
SIXTH			1880	36.52			Excluded														2019	39.22		1249	24.26		5148													
	TOTAL		40874	57.25																	19973	27.98		10543	14.77		71390													
SEVENTH			1995	18.92																	8548	81.08			Excluded		10543													
	TOTAL		42869	60.05																	28521	39.95					71390													
				Elected																																				
																																								
Canning																																								
				MACDONALD			BROWN			GERICK			DACHEFF			RANDALL			KENNEDY			READ																		
				John			Darren			Jane			Angelo			Don			Doug			Keith																		
				(CEC)			(DEM)			(ALP)			(HAN)			(LP)			(CTA)			(GWA)																		
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																
FIRST			648	0.94		2639	3.81		26490	38.29		4976	7.19		28947	41.84		1779	2.57		3711	5.36		69190																
SECOND				Excluded		332	51.23		114	17.59		77	11.88		48	7.41		24	3.70		53	8.18		648																
	TOTAL					2971	4.29		26604	38.45		5053	7.30		28995	41.91		1803	2.61		3764	5.44		69190																
THIRD						111	6.16		152	8.43		134	7.43		1233	68.39			Excluded		173	9.60		1803																
	TOTAL					3082	4.45		26756	38.67		5187	7.50		30228	43.69					3937	5.69		69190																
FOURTH							Excluded		1129	36.63		267	8.66		467	15.15					1219	39.55		3082																
	TOTAL								27885	40.30		5454	7.88		30695	44.36					5156	7.45		69190																
