House of Representatives - 2001 Election: Western Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Perth																							
					HEWETT			XAMON			SMITH			GILBERTHORPE			WEBB			CHILTON			
					Aaron			Alison			Stephen			Peter			Rod			Philip			
					DEM			GWA			ALP			HAN			LP						
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ashfield                                                       																							
	FIRST			62	5.62		72	6.52		596	53.99		106	9.60		261	23.64		7	0.63		1104	
	SECOND			2	28.57		1	14.29		2	28.57		0	0.00		2	28.57			Excluded		7	
		TOTAL		64	5.80		73	6.61		598	54.17		106	9.60		263	23.82					1104	
	THIRD			10	9.43		17	16.04		25	23.58			Excluded		54	50.94					106	
		TOTAL		74	6.70		90	8.15		623	56.43					317	28.71					1104	
	FOURTH				Excluded		45	60.81		14	18.92					15	20.27					74	
		TOTAL					135	12.23		637	57.70					332	30.07					1104	
	FIFTH							Excluded		92	68.15					43	31.85					135	
		TOTAL								729	66.03					375	33.97					1104	
										Elected													
																							
Bassendean                                                     																							
	FIRST			185	9.10		124	6.10		1055	51.87		121	5.95		535	26.30		14	0.69		2034	
	SECOND			2	14.29		4	28.57		0	0.00		5	35.71		3	21.43			Excluded		14	
		TOTAL		187	9.19		128	6.29		1055	51.87		126	6.19		538	26.45					2034	
	THIRD			18	14.29		20	15.87		38	30.16			Excluded		50	39.68					126	
		TOTAL		205	10.08		148	7.28		1093	53.74					588	28.91					2034	
	FOURTH				Excluded		135	65.85		48	23.41					22	10.73					205	
		TOTAL					283	13.91		1141	56.10					610	29.99					2034	
	FIFTH							Excluded		195	68.90					88	31.10					283	
		TOTAL								1336	65.68					698	34.32					2034	
										Elected													
																							
Bassendean South                                               																							
	FIRST			188	7.61		218	8.82		1137	46.00		138	5.58		778	31.47		13	0.53		2472	
	SECOND			2	15.38		5	38.46		1	7.69		2	15.38		3	23.08			Excluded		13	
		TOTAL		190	7.69		223	9.02		1138	46.04		140	5.66		781	31.59					2472	
	THIRD			20	14.29		25	17.86		28	20.00			Excluded		67	47.86					140	
		TOTAL		210	8.50		248	10.03		1166	47.17					848	34.30					2472	
	FOURTH				Excluded		150	71.43		40	19.05					20	9.52					210	
		TOTAL					398	16.10		1206	48.79					868	35.11					2472	
	FIFTH							Excluded		316	79.40					82	20.60					398	
		TOTAL								1522	61.57					950	38.43					2472	
										Elected													
																							
Bayswater                                                      																							
	FIRST			212	7.66		258	9.33		1366	49.39		117	4.23		791	28.60		22	0.80		2766	
	SECOND			3	13.64		6	27.27		4	18.18		4	18.18		5	22.73			Excluded		22	
		TOTAL		215	7.77		264	9.54		1370	49.53		121	4.37		796	28.78					2766	
	THIRD			4	3.31		22	18.18		32	26.45			Excluded		63	52.07					121	
		TOTAL		219	7.92		286	10.34		1402	50.69					859	31.06					2766	
	FOURTH				Excluded		126	57.53		65	29.68					28	12.79					219	
		TOTAL					412	14.90		1467	53.04					887	32.07					2766	
	FIFTH							Excluded		332	80.58					80	19.42					412	
		TOTAL								1799	65.04					967	34.96					2766	
										Elected													
																							
Bayswater North                                                																							
	FIRST			160	7.05		151	6.65		1164	51.25		107	4.71		677	29.81		12	0.53		2271	
	SECOND			5	41.67		0	0.00		2	16.67		4	33.33		1	8.33			Excluded		12	
		TOTAL		165	7.27		151	6.65		1166	51.34		111	4.89		678	29.85					2271	
	THIRD			13	11.71		23	20.72		28	25.23			Excluded		47	42.34					111	
		TOTAL		178	7.84		174	7.66		1194	52.58					725	31.92					2271	
	FOURTH				Excluded		112	62.92		19	10.67					47	26.40					178	
		TOTAL					286	12.59		1213	53.41					772	33.99					2271	
	FIFTH							Excluded		216	75.52					70	24.48					286	
		TOTAL								1429	62.92					842	37.08					2271	
										Elected													
																							
Bedford Park                                                   																							
	FIRST			84	6.29		103	7.72		662	49.59		43	3.22		436	32.66		7	0.52		1335	
	SECOND			1	14.29		3	42.86		1	14.29		1	14.29		1	14.29			Excluded		7	
		TOTAL		85	6.37		106	7.94		663	49.66		44	3.30		437	32.73					1335	
	THIRD			3	6.82		8	18.18		15	34.09			Excluded		18	40.91					44	
		TOTAL		88	6.59		114	8.54		678	50.79					455	34.08					1335	
	FOURTH				Excluded		44	50.00		31	35.23					13	14.77					88	
		TOTAL					158	11.84		709	53.11					468	35.06					1335	
