Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Curtin (82561)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Churchlands		3	0.25		2	0.17		0	0.00		13	1.10		2	0.17		606	51.23		91	7.69		4	0.34		29	2.45		43	3.63		0	0.00		5	0.42		0	0.00		1	0.08		82	6.93		234	19.78		65	5.49		3	0.25		1183	97.85		26	2.15		1209	1.53
	City Beach		5	0.25		3	0.15		3	0.15		10	0.51		0	0.00		1208	61.29		88	4.46		1	0.05		56	2.84		67	3.40		0	0.00		2	0.10		1	0.05		3	0.15		95	4.82		310	15.73		117	5.94		2	0.10		1971	97.62		48	2.38		2019	2.56
	City Beach North		6	0.37		2	0.12		1	0.06		17	1.04		2	0.12		1018	62.38		70	4.29		0	0.00		50	3.06		69	4.23		0	0.00		1	0.06		0	0.00		4	0.25		95	5.82		234	14.34		63	3.86		0	0.00		1632	97.61		40	2.39		1672	2.12
	Claremont		8	0.31		0	0.00		0	0.00		13	0.50		1	0.04		1416	54.86		226	8.76		1	0.04		56	2.17		95	3.68		0	0.00		5	0.19		1	0.04		8	0.31		169	6.55		359	13.91		221	8.56		2	0.08		2581	97.10		77	2.90		2658	3.37
	Claremont East		1	0.13		3	0.38		0	0.00		6	0.76		0	0.00		385	48.61		47	5.93		0	0.00		20	2.53		35	4.42		0	0.00		2	0.25		0	0.00		1	0.13		65	8.21		137	17.30		87	10.98		3	0.38		792	96.35		30	3.65		822	1.04
	Cottesloe		10	0.40		3	0.12		0	0.00		8	0.32		0	0.00		1353	54.71		130	5.26		1	0.04		59	2.39		110	4.45		0	0.00		15	0.61		1	0.04		5	0.20		153	6.19		346	13.99		279	11.28		0	0.00		2473	97.59		61	2.41		2534	3.21
	Cottesloe East		4	0.22		1	0.05		0	0.00		7	0.38		0	0.00		965	52.45		129	7.01		1	0.05		37	2.01		60	3.26		0	0.00		2	0.11		0	0.00		4	0.22		172	9.35		266	14.46		191	10.38		1	0.05		1840	97.51		47	2.49		1887	2.39
	Cottesloe South		2	0.20		3	0.29		0	0.00		7	0.69		0	0.00		632	62.14		58	5.70		2	0.20		21	2.06		26	2.56		0	0.00		4	0.39		0	0.00		1	0.10		48	4.72		130	12.78		83	8.16		0	0.00		1017	97.79		23	2.21		1040	1.32
	Dalkeith		6	0.26		7	0.30		0	0.00		17	0.73		0	0.00		1476	63.05		180	7.69		3	0.13		38	1.62		76	3.25		0	0.00		2	0.09		1	0.04		0	0.00		128	5.47		266	11.36		138	5.89		3	0.13		2341	97.70		55	2.30		2396	3.04
