Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Tangney (82972)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Applecross		10	0.30		20	0.61		2	0.06		25	0.76		4	0.12		1968	60.00		194	5.91		3	0.09		104	3.17		76	2.32		3	0.09		3	0.09		0	0.00		9	0.27		228	6.95		488	14.88		141	4.30		2	0.06		3280	97.24		93	2.76		3373	4.24
	Ardross		5	0.59		2	0.24		0	0.00		5	0.59		3	0.35		456	53.77		28	3.30		0	0.00		30	3.54		23	2.71		0	0.00		0	0.00		0	0.00		2	0.24		56	6.60		205	24.17		32	3.77		1	0.12		848	97.25		24	2.75		872	1.10
	Ardross West		6	0.50		4	0.33		0	0.00		9	0.75		2	0.17		626	52.34		31	2.59		5	0.42		42	3.51		15	1.25		0	0.00		1	0.08		0	0.00		2	0.17		69	5.77		296	24.75		86	7.19		2	0.17		1196	97.08		36	2.92		1232	1.55
	Attadale		15	0.55		15	0.55		2	0.07		26	0.95		0	0.00		1550	56.51		167	6.09		4	0.15		105	3.83		60	2.19		2	0.07		2	0.07		1	0.04		5	0.18		173	6.31		486	17.72		125	4.56		5	0.18		2743	97.51		70	2.49		2813	3.54
	Bateman		4	0.20		4	0.20		1	0.05		26	1.31		1	0.05		892	45.05		84	4.24		4	0.20		69	3.48		33	1.67		0	0.00		3	0.15		0	0.00		6	0.30		129	6.52		590	29.80		132	6.67		2	0.10		1980	97.49		51	2.51		2031	2.56
	Booragoon		13	0.51		18	0.71		1	0.04		17	0.67		1	0.04		1319	51.97		64	2.52		12	0.47		104	4.10		45	1.77		0	0.00		6	0.24		2	0.08		11	0.43		177	6.97		609	24.00		135	5.32		4	0.16		2538	95.88		109	4.12		2647	3.33
	Brentwood		9	0.32		14	0.49		0	0.00		25	0.88		2	0.07		1512	53.22		68	2.39		6	0.21		104	3.66		42	1.48		3	0.11		8	0.28		0	0.00		5	0.18		197	6.93		679	23.90		165	5.81		2	0.07		2841	96.47		104	3.53		2945	3.71
	Bull Creek		4	0.21		2	0.11		0	0.00		24	1.28		2	0.11		919	49.14		46	2.46		5	0.27		68	3.64		18	0.96		0	0.00		4	0.21		0	0.00		10	0.53		143	7.65		523	27.97		101	5.40		1	0.05		1870	96.79		62	3.21		1932	2.43
	Bull Creek East		8	0.54		7	0.48		1	0.07		31	2.11		0	0.00		729	49.56		44	2.99		4	0.27		47	3.20		13	0.88		0	0.00		1	0.07		0	0.00		7	0.48		119	8.09		396	26.92		60	4.08		4	0.27		1471	97.81		33	2.19		1504	1.89
