Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Hasluck (78418)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Bellevue		4	0.54		3	0.40		0	0.00		7	0.94		4	0.54		229	30.90		6	0.81		1	0.13		74	9.99		6	0.81		0	0.00		2	0.27		0	0.00		7	0.94		41	5.53		305	41.16		52	7.02		0	0.00		741	94.88		40	5.12		781	1.04
	Caversham		2	0.26		3	0.39		0	0.00		5	0.65		0	0.00		267	34.54		6	0.78		0	0.00		78	10.09		6	0.78		0	0.00		2	0.26		0	0.00		10	1.29		43	5.56		309	39.97		42	5.43		0	0.00		773	94.50		45	5.50		818	1.09
	Forrestfield		13	0.47		7	0.25		1	0.04		54	1.96		3	0.11		932	33.87		25	0.91		3	0.11		282	10.25		28	1.02		0	0.00		8	0.29		1	0.04		17	0.62		141	5.12		1109	40.30		128	4.65		0	0.00		2752	95.59		127	4.41		2879	3.83
	Forrestfield North		18	0.52		2	0.06		2	0.06		82	2.38		2	0.06		1351	39.24		55	1.60		2	0.06		274	7.96		27	0.78		2	0.06		10	0.29		0	0.00		18	0.52		198	5.75		1245	36.16		153	4.44		2	0.06		3443	96.20		136	3.80		3579	4.76
	Gooseberry Hill		4	0.28		1	0.07		2	0.14		17	1.20		2	0.14		700	49.23		35	2.46		0	0.00		63	4.43		18	1.27		0	0.00		4	0.28		1	0.07		4	0.28		116	8.16		315	22.15		140	9.85		0	0.00		1422	97.60		35	2.40		1457	1.94
	Gosnells		10	0.57		1	0.06		2	0.11		53	3.00		2	0.11		597	33.82		12	0.68		0	0.00		155	8.78		25	1.42		0	0.00		7	0.40		0	0.00		13	0.74		99	5.61		699	39.60		88	4.99		2	0.11		1765	95.25		88	4.75		1853	2.46
	Gosnells Central		17	0.83		3	0.15		2	0.10		86	4.20		4	0.20		776	37.89		22	1.07		1	0.05		185	9.03		26	1.27		1	0.05		4	0.20		0	0.00		15	0.73		86	4.20		733	35.79		86	4.20		1	0.05		2048	95.12		105	4.88		2153	2.86
	Gosnells South (Hasluck)		11	0.45		2	0.08		2	0.08		56	2.31		2	0.08		685	28.26		12	0.50		3	0.12		205	8.46		19	0.78		2	0.08		7	0.29		0	0.00		30	1.24		128	5.28		1150	47.44		106	4.37		4	0.17		2424	96.65		84	3.35		2508	3.33
	Gosnells West		11	0.42		3	0.12		2	0.08		84	3.22		7	0.27		832	31.93		22	0.84		1	0.04		222	8.52		25	0.96		0	0.00		7	0.27		1	0.04		22	0.84		117	4.49		1147	44.01		102	3.91		1	0.04		2606	96.27		101	3.73		2707	3.60
