House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Swan																													
					MAKIN			MCCUTCHEON			BRENNAN			TAPLEY			VINCIULLO			WILKIE			JEFFREYS			SMITH			
					Simon			Paul			Bev			Colleen			Sandra			Kim			Elena			Brian			
					CLA			DEM			LP			CTA			HAN			ALP			GWA			CEC			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Beckenham                                                      																													
	FIRST			44	1.81		107	4.40		706	29.03		55	2.26		164	6.74		1230	50.58		118	4.85		8	0.33		2432	
	SECOND			1	12.50		2	25.00		0	0.00		0	0.00		1	12.50		1	12.50		3	37.50			Excluded		8	
		TOTAL		45	1.85		109	4.48		706	29.03		55	2.26		165	6.78		1231	50.62		121	4.98					2432	
	THIRD				Excluded		17	37.78		6	13.33		3	6.67		2	4.44		13	28.89		4	8.89					45	
		TOTAL					126	5.18		712	29.28		58	2.38		167	6.87		1244	51.15		125	5.14					2432	
	FOURTH						10	17.24		26	44.83			Excluded		4	6.90		11	18.97		7	12.07					58	
		TOTAL					136	5.59		738	30.35					171	7.03		1255	51.60		132	5.43					2432	
	FIFTH						22	12.87		64	37.43						Excluded		39	22.81		46	26.90					171	
		TOTAL					158	6.50		802	32.98								1294	53.21		178	7.32					2432	
	SIXTH						89	50.00		20	11.24								69	38.76			Excluded					178	
		TOTAL					247	10.16		822	33.80								1363	56.04								2432	
	SEVENTH							Excluded		106	42.91								141	57.09								247	
		TOTAL								928	38.16								1504	61.84								2432	
																			Elected										
																													
Belmont                                                        																													
	FIRST			9	0.70		70	5.43		515	39.92		39	3.02		69	5.35		523	40.54		62	4.81		3	0.23		1290	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		3	
		TOTAL		9	0.70		70	5.43		515	39.92		39	3.02		70	5.43		523	40.54		64	4.96					1290	
	THIRD				Excluded		6	66.67		2	22.22		0	0.00		0	0.00		0	0.00		1	11.11					9	
		TOTAL					76	5.89		517	40.08		39	3.02		70	5.43		523	40.54		65	5.04					1290	
	FOURTH						6	15.38		22	56.41			Excluded		3	7.69		2	5.13		6	15.38					39	
		TOTAL					82	6.36		539	41.78					73	5.66		525	40.70		71	5.50					1290	
	FIFTH						10	13.70		32	43.84						Excluded		17	23.29		14	19.18					73	
		TOTAL					92	7.13		571	44.26								542	42.02		85	6.59					1290	
	SIXTH						38	44.71		13	15.29								34	40.00			Excluded					85	
		TOTAL					130	10.08		584	45.27								576	44.65								1290	
	SEVENTH							Excluded		59	45.38								71	54.62								130	
		TOTAL								643	49.84								647	50.16								1290	
																			Elected										
																													
Bentley                                                        																													
	FIRST			21	1.52		66	4.77		473	34.20		35	2.53		62	4.48		671	48.52		49	3.54		6	0.43		1383	
	SECOND			0	0.00		2	33.33		1	16.67		0	0.00		0	0.00		1	16.67		2	33.33			Excluded		6	
		TOTAL		21	1.52		68	4.92		474	34.27		35	2.53		62	4.48		672	48.59		51	3.69					1383	
	THIRD				Excluded		14	66.67		3	14.29		0	0.00		2	9.52		2	9.52		0	0.00					21	
		TOTAL					82	5.93		477	34.49		35	2.53		64	4.63		674	48.73		51	3.69					1383	
	FOURTH						4	11.43		21	60.00			Excluded		5	14.29		3	8.57		2	5.71					35	
		TOTAL					86	6.22		498	36.01					69	4.99		677	48.95		53	3.83					1383	
	FIFTH						8	11.59		38	55.07						Excluded		15	21.74		8	11.59					69	
		TOTAL					94	6.80		536	38.76								692	50.04		61	4.41					1383	
	SIXTH						33	54.10		9	14.75								19	31.15			Excluded					61	
		TOTAL					127	9.18		545	39.41								711	51.41								1383	
	SEVENTH							Excluded		59	46.46								68	53.54								127	
		TOTAL								604	43.67								779	56.33								1383	
																			Elected										
																													
Bentley South                                                  																													
	FIRST			10	1.19		47	5.58		209	24.79		14	1.66		28	3.32		481	57.06		54	6.41		0	0.00		843	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		10	1.19		47	5.58		209	24.79		14	1.66		28	3.32		481	57.06		54	6.41					843	
	THIRD				Excluded		4	40.00		3	30.00		0	0.00		0	0.00		3	30.00		0	0.00					10	
		TOTAL					51	6.05		212	25.15		14	1.66		28	3.32		484	57.41		54	6.41					843	
	FOURTH						4	28.57		4	28.57			Excluded		4	28.57		1	7.14		1	7.14					14	
		TOTAL					55	6.52		216	25.62					32	3.80		485	57.53		55	6.52					843	
	FIFTH						6	18.75		12	37.50						Excluded		7	21.88		7	21.88					32	
		TOTAL					61	7.24		228	27.05								492	58.36		62	7.35					843	
	SIXTH						34	54.84		7	11.29								21	33.87			Excluded					62	
		TOTAL					95	11.27		235	27.88								513	60.85								843	
	SEVENTH							Excluded		33	34.74								62	65.26								95	
		TOTAL								268	31.79								575	68.21								843	
																			Elected										
																													
Bentley West                                                   																													
	FIRST			8	0.94		34	3.99		262	30.72		13	1.52		25	2.93		459	53.81		51	5.98		1	0.12		853	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
