House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
					Don			Barry			Paul			Robin			Laurie			Ian			Clark			Neville			Callum			Peter			
					DEM			LP			ALP			HAN			GWA			CLA			IND			IND			CEC			NP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ajana                                                          																																			
	FIRST			0	0.00		74	63.25		18	15.38		9	7.69		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		13	11.11		117	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		0	0.00		74	63.25		19	16.24		9	7.69		1	0.85		1	0.85		0	0.00		0	0.00					13	11.11		117	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		75	64.10		19	16.24		9	7.69		1	0.85					0	0.00		0	0.00					13	11.11		117	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		75	64.10		19	16.24		9	7.69		1	0.85					0	0.00								13	11.11		117	
	FIFTH			1	7.69		11	84.62		0	0.00		1	7.69		0	0.00					0	0.00									Excluded		13	
		TOTAL		1	0.85		86	73.50		19	16.24		10	8.55		1	0.85					0	0.00											117	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		1	0.85		86	73.50		19	16.24		10	8.55		1	0.85																	117	
	SEVENTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00																	1	
		TOTAL					87	74.36		19	16.24		10	8.55		1	0.85																	117	
	EIGHTH						1	100.00		0	0.00		0	0.00			Excluded																	1	
		TOTAL					88	75.21		19	16.24		10	8.55																				117	
	NINTH						10	100.00		0	0.00			Excluded																				10	
		TOTAL					98	83.76		19	16.24																							117	
							Elected																												
																																			
Argyle                                                         																																			
	FIRST			2	3.85		18	34.62		16	30.77		11	21.15		0	0.00		1	1.92		2	3.85		0	0.00		0	0.00		2	3.85		52	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	3.85		18	34.62		16	30.77		11	21.15		0	0.00		1	1.92		2	3.85		0	0.00					2	3.85		52	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	3.85		18	34.62		16	30.77		11	21.15		0	0.00					3	5.77		0	0.00					2	3.85		52	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		2	3.85		18	34.62		16	30.77		11	21.15		0	0.00					3	5.77								2	3.85		52	
