House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences 																												
By Polling Place																												
																												
Forrest																												
					GIORGI			HARVEY			CALDWELL			PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH		
					Alan			Arthur			Charles			Geoff			Alison			Paul			Megan			Tresslyn		
					HAN			CEC			NP			LP			DEM			GWA			CLA			ALP		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Acton Park                                                     																												
	FIRST			21	12.96		1	0.62		7	4.32		103	63.58		6	3.70		7	4.32		1	0.62		16	9.88		162
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		22	13.58					7	4.32		103	63.58		6	3.70		7	4.32		1	0.62		16	9.88		162
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		22	13.58					7	4.32		103	63.58		6	3.70		7	4.32					17	10.49		162
	FOURTH			0	0.00						Excluded		6	85.71		1	14.29		0	0.00					0	0.00		7
		TOTAL		22	13.58								109	67.28		7	4.32		7	4.32					17	10.49		162
	FIFTH			1	14.29								1	14.29			Excluded		4	57.14					1	14.29		7
		TOTAL		23	14.20								110	67.90					11	6.79					18	11.11		162
	SIXTH			2	18.18								2	18.18						Excluded					7	63.64		11
		TOTAL		25	15.43								112	69.14											25	15.43		162
	SEVENTH				Excluded								17	68.00											8	32.00		25
		TOTAL											129	79.63											33	20.37		162
													Elected															
																												
Alexandra Bridge                                               																												
	FIRST			24	17.39		1	0.72		9	6.52		90	65.22		0	0.00		1	0.72		0	0.00		13	9.42		138
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		24	17.39					9	6.52		90	65.22		0	0.00		2	1.45		0	0.00		13	9.42		138
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		24	17.39					9	6.52		90	65.22		0	0.00		2	1.45					13	9.42		138
	FOURTH			1	11.11						Excluded		6	66.67		1	11.11		0	0.00					1	11.11		9
		TOTAL		25	18.12								96	69.57		1	0.72		2	1.45					14	10.14		138
	FIFTH			0	0.00								1	100.00			Excluded		0	0.00					0	0.00		1
		TOTAL		25	18.12								97	70.29					2	1.45					14	10.14		138
	SIXTH			0	0.00								0	0.00						Excluded					2	100.00		2
		TOTAL		25	18.12								97	70.29											16	11.59		138
	SEVENTH				Excluded								19	76.00											6	24.00		25
		TOTAL											116	84.06											22	15.94		138
													Elected															
																												
Allanson                                                       																												
	FIRST			65	18.41		3	0.85		7	1.98		84	23.80		10	2.83		16	4.53		5	1.42		163	46.18		353
	SECOND			2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		67	18.98					7	1.98		84	23.80		10	2.83		16	4.53		5	1.42		164	46.46		353
	THIRD			0	0.00					0	0.00		0	0.00		1	20.00		1	20.00			Excluded		3	60.00		5
		TOTAL		67	18.98					7	1.98		84	23.80		11	3.12		17	4.82					167	47.31		353
