House of Representatives - 2001 Election: Western Australia																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Hasluck (78418)																																													
		MCLEAN			# JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN			FORMAL			INFORMAL			TOTAL										
		Ronnie			Sharryn			Michael			Terry			Luke			Peter			James			Ros			Bethwyn												Two Candidate Preferred							
		CEC			ALP			CLA			CTA			GWA			DEM			HAN			NP			LP												# JACKSON ALP			 CHAN LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Bellevue	8	1.08		314	42.43		4	0.54		14	1.89		53	7.16		38	5.14		60	8.11		3	0.41		246	33.24		740	94.27		45	5.73		785	1.05		428	57.84		312	42.16			
	Caversham	7	0.91		322	42.04		4	0.52		5	0.65		43	5.61		36	4.70		66	8.62		5	0.65		278	36.29		766	93.53		53	6.47		819	1.10		427	55.74		339	44.26			
	Forrestfield	27	1.01		1109	41.61		14	0.53		64	2.40		135	5.07		100	3.75		255	9.57		13	0.49		948	35.57		2665	92.76		208	7.24		2873	3.85		1502	56.36		1163	43.64			
	Forrestfield North	31	0.92		1232	36.37		26	0.77		98	2.89		179	5.28		166	4.90		254	7.50		10	0.30		1391	41.07		3387	94.82		185	5.18		3572	4.78		1681	49.63		1706	50.37			
	Gooseberry Hill	8	0.58		368	26.51		3	0.22		14	1.01		115	8.29		80	5.76		52	3.75		10	0.72		738	53.17		1388	95.33		68	4.67		1456	1.95		533	38.40		855	61.60			
	Gosnells	17	0.98		718	41.55		14	0.81		49	2.84		87	5.03		77	4.46		138	7.99		6	0.35		622	36.00		1728	93.51		120	6.49		1848	2.48		958	55.44		770	44.56			
	Gosnells Central	24	1.19		760	37.70		16	0.79		93	4.61		79	3.92		75	3.72		159	7.89		1	0.05		809	40.13		2016	93.64		137	6.36		2153	2.88		1022	50.69		994	49.31			
	Gosnells South (Hasluck)	37	1.56		1167	49.22		24	1.01		61	2.57		112	4.72		103	4.34		196	8.27		6	0.25		665	28.05		2371	94.50		138	5.50		2509	3.36		1506	63.52		865	36.48
	Gosnells West	29	1.13		1160	45.19		16	0.62		106	4.13		122	4.75		102	3.97		183	7.13		17	0.66		832	32.41		2567	94.90		138	5.10		2705	3.62		1502	58.51		1065	41.49
	Guildford	13	1.09		426	35.59		5	0.42		8	0.67		109	9.11		85	7.10		50	4.18		8	0.67		493	41.19		1197	94.40		71	5.60		1268	1.70		608	50.79		589	49.21
	Hazelmere	18	1.51		467	39.08		8	0.67		20	1.67		82	6.86		66	5.52		79	6.61		8	0.67		447	37.41		1195	95.52		56	4.48		1251	1.68		649	54.31		546	45.69
	Helena Valley (Hasluck)	10	0.86		369	31.89		5	0.43		27	2.33		72	6.22		64	5.53		73	6.31		8	0.69		529	45.72		1157	95.94		49	4.06		1206	1.62		518	44.77		639	55.23
	High Wycombe	23	0.97		993	41.85		15	0.63		54	2.28		123	5.18		79	3.33		163	6.87		9	0.38		914	38.52		2373	93.98		152	6.02		2525	3.38		1273	53.65		1100	46.35
	High Wycombe South	23	1.09		845	39.97		18	0.85		33	1.56		116	5.49		124	5.87		149	7.05		5	0.24		801	37.89		2114	94.67		119	5.33		2233	2.99		1135	53.69		979	46.31
