House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Tangney																													
					GOWEGATI			GRAHAM			STANWIX			INGRAM			LUMSDAINE			WILLIAMS			LUCAS			WATSON			
					Sam			Gordon A			Ben			Andrew			Aaron			Daryl			Michael			Craig			
					ALP			IND			GWA			DEM			HAN			LP			LFF			CTA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Applecross                                                     																													
	FIRST			580	17.72		61	1.86		124	3.79		154	4.70		88	2.69		2157	65.88		86	2.63		24	0.73		3274	
	SECOND			6	6.98		17	19.77		13	15.12		6	6.98		3	3.49		38	44.19			Excluded		3	3.49		86	
		TOTAL		586	17.90		78	2.38		137	4.18		160	4.89		91	2.78		2195	67.04					27	0.82		3274	
	THIRD			4	14.81		1	3.70		4	14.81		1	3.70		2	7.41		15	55.56						Excluded		27	
		TOTAL		590	18.02		79	2.41		141	4.31		161	4.92		93	2.84		2210	67.50								3274	
	FOURTH			13	16.46			Excluded		21	26.58		12	15.19		3	3.80		30	37.97								79	
		TOTAL		603	18.42					162	4.95		173	5.28		96	2.93		2240	68.42								3274	
	FIFTH			14	14.58					20	20.83		7	7.29			Excluded		55	57.29								96	
		TOTAL		617	18.85					182	5.56		180	5.50					2295	70.10								3274	
	SIXTH			37	20.56					113	62.78			Excluded					30	16.67								180	
		TOTAL		654	19.98					295	9.01								2325	71.01								3274	
	SEVENTH			189	64.07						Excluded								106	35.93								295	
		TOTAL		843	25.75														2431	74.25								3274	
																			Elected										
																													
Ardross                                                        																													
	FIRST			226	26.97		7	0.84		33	3.94		31	3.70		19	2.27		493	58.83		18	2.15		11	1.31		838	
	SECOND			2	11.11		3	16.67		2	11.11		2	11.11		0	0.00		6	33.33			Excluded		3	16.67		18	
		TOTAL		228	27.21		10	1.19		35	4.18		33	3.94		19	2.27		499	59.55					14	1.67		838	
	THIRD			1	7.14		1	7.14		0	0.00		0	0.00		2	14.29		10	71.43						Excluded		14	
		TOTAL		229	27.33		11	1.31		35	4.18		33	3.94		21	2.51		509	60.74								838	
	FOURTH			2	18.18			Excluded		3	27.27		4	36.36		1	9.09		1	9.09								11	
		TOTAL		231	27.57					38	4.53		37	4.42		22	2.63		510	60.86								838	
	FIFTH			1	4.55					8	36.36		4	18.18			Excluded		9	40.91								22	
		TOTAL		232	27.68					46	5.49		41	4.89					519	61.93								838	
