House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Canning																									
					MACDONALD			BROWN			GERICK			DACHEFF			RANDALL			KENNEDY			READ		
					John			Darren			Jane			Angelo			Don			Doug			Keith		
					CEC			DEM			ALP			HAN			LP			CTA			GWA		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Armadale                                                       																									
	FIRST			60	1.76		115	3.38		1562	45.86		320	9.40		1026	30.12		173	5.08		150	4.40		3406
	SECOND				Excluded		27	45.00		11	18.33		13	21.67		3	5.00		4	6.67		2	3.33		60
		TOTAL					142	4.17		1573	46.18		333	9.78		1029	30.21		177	5.20		152	4.46		3406
	THIRD						5	2.82		13	7.34		19	10.73		120	67.80			Excluded		20	11.30		177
		TOTAL					147	4.32		1586	46.56		352	10.33		1149	33.73					172	5.05		3406
	FOURTH							Excluded		49	33.33		15	10.20		19	12.93					64	43.54		147
		TOTAL								1635	48.00		367	10.78		1168	34.29					236	6.93		3406
	FIFTH									150	63.56		43	18.22		43	18.22						Excluded		236
		TOTAL								1785	52.41		410	12.04		1211	35.55								3406
	SIXTH									249	60.73			Excluded		161	39.27								410
		TOTAL								2034	59.72					1372	40.28								3406
																Elected									
																									
Armadale East                                                  																									
	FIRST			18	0.78		78	3.39		809	35.17		127	5.52		1030	44.78		120	5.22		118	5.13		2300
	SECOND				Excluded		12	66.67		1	5.56		2	11.11		0	0.00		1	5.56		2	11.11		18
		TOTAL					90	3.91		810	35.22		129	5.61		1030	44.78		121	5.26		120	5.22		2300
	THIRD						6	4.96		4	3.31		4	3.31		102	84.30			Excluded		5	4.13		121
		TOTAL					96	4.17		814	35.39		133	5.78		1132	49.22					125	5.43		2300
	FOURTH							Excluded		42	43.75		9	9.38		14	14.58					31	32.29		96
		TOTAL								856	37.22		142	6.17		1146	49.83					156	6.78		2300
	FIFTH									103	66.03		13	8.33		40	25.64						Excluded		156
		TOTAL								959	41.70		155	6.74		1186	51.57								2300
	SIXTH									86	55.48			Excluded		69	44.52								155
		TOTAL								1045	45.43					1255	54.57								2300
																Elected									
																									
Armadale North                                                 																									
	FIRST			14	1.20		32	2.75		508	43.68		88	7.57		401	34.48		65	5.59		55	4.73		1163
	SECOND				Excluded		8	57.14		2	14.29		3	21.43		1	7.14		0	0.00		0	0.00		14
		TOTAL					40	3.44		510	43.85		91	7.82		402	34.57		65	5.59		55	4.73		1163
	THIRD						2	3.08		3	4.62		2	3.08		54	83.08			Excluded		4	6.15		65
		TOTAL					42	3.61		513	44.11		93	8.00		456	39.21					59	5.07		1163
	FOURTH							Excluded		18	42.86		5	11.90		8	19.05					11	26.19		42
		TOTAL								531	45.66		98	8.43		464	39.90					70	6.02		1163
	FIFTH									41	58.57		9	12.86		20	28.57						Excluded		70
		TOTAL								572	49.18		107	9.20		484	41.62								1163
	SIXTH									53	49.53			Excluded		54	50.47								107
		TOTAL								625	53.74					538	46.26								1163
																Elected									
																									
Armadale South                                                 																									
	FIRST			8	1.08		10	1.35		339	45.63		48	6.46		282	37.95		31	4.17		25	3.36		743
	SECOND				Excluded		6	75.00		1	12.50		0	0.00		0	0.00		1	12.50		0	0.00		8
		TOTAL					16	2.15		340	45.76		48	6.46		282	37.95		32	4.31		25	3.36		743
	THIRD						1	3.13		0	0.00		1	3.13		29	90.63			Excluded		1	3.13		32
		TOTAL					17	2.29		340	45.76		49	6.59		311	41.86					26	3.50		743
	FOURTH							Excluded		10	58.82		1	5.88		3	17.65					3	17.65		17
		TOTAL								350	47.11		50	6.73		314	42.26					29	3.90		743
	FIFTH									18	62.07		5	17.24		6	20.69						Excluded		29
		TOTAL								368	49.53		55	7.40		320	43.07								743
	SIXTH									35	63.64			Excluded		20	36.36								55
		TOTAL								403	54.24					340	45.76								743
																Elected									
																									
Armadale West                                                  																									
	FIRST			26	1.48		83	4.72		861	49.00		122	6.94		494	28.12		85	4.84		86	4.89		1757
	SECOND				Excluded		14	53.85		2	7.69		3	11.54		1	3.85		2	7.69		4	15.38		26
		TOTAL					97	5.52		863	49.12		125	7.11		495	28.17		87	4.95		90	5.12		1757
	THIRD						3	3.45		4	4.60		4	4.60		74	85.06			Excluded		2	2.30		87
		TOTAL					100	5.69		867	49.35		129	7.34		569	32.38					92	5.24		1757
	FOURTH							Excluded		36	36.00		6	6.00		14	14.00					44	44.00		100
		TOTAL								903	51.39		135	7.68		583	33.18					136	7.74		1757
	FIFTH									78	57.35		24	17.65		34	25.00						Excluded		136
		TOTAL								981	55.83		159	9.05		617	35.12								1757
	SIXTH									93	58.49			Excluded		66	41.51								159
		TOTAL								1074	61.13					683	38.87								1757
																Elected									
																									
Barragup                                                       																									
	FIRST			12	0.85		35	2.47		492	34.72		136	9.60		654	46.15		15	1.06		73	5.15		1417
	SECOND				Excluded		7	58.33		2	16.67		1	8.33		1	8.33		0	0.00		1	8.33		12
		TOTAL					42	2.96		494	34.86		137	9.67		655	46.22		15	1.06		74	5.22		1417
