Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Fremantle (80927)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Atwell		9	0.34		1	0.04		0	0.00		43	1.61		0	0.00		1067	39.92		20	0.75		4	0.15		159	5.95		25	0.94		0	0.00		3	0.11		0	0.00		19	0.71		236	8.83		985	36.85		101	3.78		1	0.04		2673	97.59		66	2.41		2739	3.55
	Beaconsfield		10	0.50		6	0.30		1	0.05		8	0.40		2	0.10		462	23.25		28	1.41		0	0.00		50	2.52		15	0.75		1	0.05		10	0.50		5	0.25		17	0.86		120	6.04		874	43.99		378	19.02		0	0.00		1987	93.11		147	6.89		2134	2.77
	Beeliar		0	0.00		1	0.14		1	0.14		13	1.85		2	0.28		251	35.70		6	0.85		0	0.00		39	5.55		5	0.71		0	0.00		5	0.71		0	0.00		6	0.85		41	5.83		299	42.53		32	4.55		2	0.28		703	97.77		16	2.23		719	0.93
	Bibra Lake		16	0.62		11	0.43		2	0.08		37	1.44		0	0.00		1006	39.20		31	1.21		0	0.00		138	5.38		27	1.05		1	0.04		9	0.35		1	0.04		14	0.55		187	7.29		910	35.46		173	6.74		3	0.12		2566	96.72		87	3.28		2653	3.44
	Bicton		22	0.72		5	0.16		4	0.13		24	0.78		1	0.03		1430	46.69		31	1.01		1	0.03		131	4.28		58	1.89		1	0.03		12	0.39		0	0.00		14	0.46		260	8.49		820	26.77		247	8.06		2	0.07		3063	96.29		118	3.71		3181	4.12
	Coogee Beach		11	0.52		11	0.52		1	0.05		12	0.57		3	0.14		791	37.51		13	0.62		0	0.00		141	6.69		19	0.90		0	0.00		5	0.24		0	0.00		15	0.71		121	5.74		842	39.92		124	5.88		0	0.00		2109	94.11		132	5.89		2241	2.90
	Coolbellup		7	0.58		1	0.08		1	0.08		6	0.50		3	0.25		207	17.14		4	0.33		0	0.00		88	7.28		9	0.75		0	0.00		11	0.91		1	0.08		17	1.41		56	4.64		703	58.20		94	7.78		0	0.00		1208	97.34		33	2.66		1241	1.61
	Coolbellup East		8	0.64		4	0.32		2	0.16		6	0.48		1	0.08		212	17.08		11	0.89		0	0.00		97	7.82		7	0.56		1	0.08		5	0.40		1	0.08		19	1.53		56	4.51		722	58.18		87	7.01		2	0.16		1241	94.81		68	5.19		1309	1.70
	East Fremantle		12	0.49		4	0.16		1	0.04		23	0.95		2	0.08		667	27.46		35	1.44		0	0.00		80	3.29		45	1.85		1	0.04		9	0.37		1	0.04		23	0.95		242	9.96		857	35.28		425	17.50		2	0.08		2429	95.71		109	4.29		2538	3.29
