House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Pearce																													
					NELSON			FOX			HILL			MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			
					Chris			Jack			Vivian			Judi			Liam			Ken			Stuart			Juanita			
					NP			DEM			CTA			LP			ALP			HAN			CEC			GWA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bakers Hill                                                    																													
	FIRST			24	4.38		7	1.28		10	1.82		236	43.07		143	26.09		100	18.25		1	0.18		27	4.93		548	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		24	4.38		7	1.28		11	2.01		236	43.07		143	26.09		100	18.25					27	4.93		548	
	THIRD			1	9.09		5	45.45			Excluded		1	9.09		1	9.09		3	27.27					0	0.00		11	
		TOTAL		25	4.56		12	2.19					237	43.25		144	26.28		103	18.80					27	4.93		548	
	FOURTH				Excluded		6	24.00					16	64.00		0	0.00		2	8.00					1	4.00		25	
		TOTAL					18	3.28					253	46.17		144	26.28		105	19.16					28	5.11		548	
	FIFTH							Excluded					5	27.78		3	16.67		1	5.56					9	50.00		18	
		TOTAL											258	47.08		147	26.82		106	19.34					37	6.75		548	
	SIXTH												33	31.13		46	43.40			Excluded					27	25.47		106	
		TOTAL											291	53.10		193	35.22								64	11.68		548	
	SEVENTH												19	29.69		45	70.31									Excluded		64	
		TOTAL											310	56.57		238	43.43											548	
													Elected																
																													
Beverley                                                       																													
	FIRST			51	6.65		15	1.96		8	1.04		388	50.59		169	22.03		90	11.73		15	1.96		31	4.04		767	
	SECOND			4	26.67		2	13.33		0	0.00		1	6.67		2	13.33		4	26.67			Excluded		2	13.33		15	
		TOTAL		55	7.17		17	2.22		8	1.04		389	50.72		171	22.29		94	12.26					33	4.30		767	
	THIRD			0	0.00		0	0.00			Excluded		3	37.50		1	12.50		2	25.00					2	25.00		8	
		TOTAL		55	7.17		17	2.22					392	51.11		172	22.43		96	12.52					35	4.56		767	
	FOURTH				Excluded		9	16.36					41	74.55		2	3.64		3	5.45					0	0.00		55	
		TOTAL					26	3.39					433	56.45		174	22.69		99	12.91					35	4.56		767	
	FIFTH							Excluded					12	46.15		3	11.54		2	7.69					9	34.62		26	
		TOTAL											445	58.02		177	23.08		101	13.17					44	5.74		767	
	SIXTH												37	36.63		37	36.63			Excluded					27	26.73		101	
		TOTAL											482	62.84		214	27.90								71	9.26		767	
	SEVENTH												23	32.39		48	67.61									Excluded		71	
		TOTAL											505	65.84		262	34.16											767	
													Elected																
																													
Bindoon                                                        																													
	FIRST			28	3.58		17	2.17		6	0.77		433	55.30		166	21.20		98	12.52		1	0.13		34	4.34		783	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		28	3.58		17	2.17		6	0.77		433	55.30		167	21.33		98	12.52					34	4.34		783	
	THIRD			1	16.67		1	16.67			Excluded		3	50.00		0	0.00		1	16.67					0	0.00		6	
		TOTAL		29	3.70		18	2.30					436	55.68		167	21.33		99	12.64					34	4.34		783	
	FOURTH				Excluded		5	17.24					20	68.97		1	3.45		2	6.90					1	3.45		29	
		TOTAL					23	2.94					456	58.24		168	21.46		101	12.90					35	4.47		783	
	FIFTH							Excluded					9	39.13		5	21.74		2	8.70					7	30.43		23	
		TOTAL											465	59.39		173	22.09		103	13.15					42	5.36		783	
	SIXTH												53	51.46		30	29.13			Excluded					20	19.42		103	
		TOTAL											518	66.16		203	25.93								62	7.92		783	
	SEVENTH												22	35.48		40	64.52									Excluded		62	
		TOTAL											540	68.97		243	31.03											783	
													Elected																
																													
Boddington                                                     																													
	FIRST			40	6.41		15	2.40		4	0.64		313	50.16		164	26.28		65	10.42		2	0.32		21	3.37		624	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		40	6.41		15	2.40		4	0.64		313	50.16		165	26.44		66	10.58					21	3.37		624	
	THIRD			2	50.00		0	0.00			Excluded		2	50.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		42	6.73		15	2.40					315	50.48		165	26.44		66	10.58					21	3.37		624	
	FOURTH				Excluded		2	4.76					31	73.81		4	9.52		2	4.76					3	7.14		42	
		TOTAL					17	2.72					346	55.45		169	27.08		68	10.90					24	3.85		624	
	FIFTH							Excluded					4	23.53		4	23.53		2	11.76					7	41.18		17	
		TOTAL											350	56.09		173	27.72		70	11.22					31	4.97		624	
	SIXTH												26	37.14		23	32.86			Excluded					21	30.00		70	
		TOTAL											376	60.26		196	31.41								52	8.33		624	
	SEVENTH												21	40.38		31	59.62									Excluded		52	
		TOTAL											397	63.62		227	36.38											624	
													Elected																
																													
Brookton                                                       																													
	FIRST			103	21.50		4	0.84		3	0.63		229	47.81		74	15.45		40	8.35		7	1.46		19	3.97		479	
	SECOND			2	28.57		0	0.00		3	42.86		0	0.00		1	14.29		0	0.00			Excluded		1	14.29		7	
		TOTAL		105	21.92		4	0.84		6	1.25		229	47.81		75	15.66		40	8.35					20	4.18		479	
	THIRD			1	16.67		1	16.67			Excluded		2	33.33		0	0.00		1	16.67					1	16.67		6	
		TOTAL		106	22.13		5	1.04					231	48.23		75	15.66		41	8.56					21	4.38		479	
	FOURTH				Excluded		5	4.72					91	85.85		4	3.77		6	5.66					0	0.00		106	
		TOTAL					10	2.09					322	67.22		79	16.49		47	9.81					21	4.38		479	
	FIFTH							Excluded					6	60.00		3	30.00		0	0.00					1	10.00		10	
		TOTAL											328	68.48		82	17.12		47	9.81					22	4.59		479	
	SIXTH												24	51.06		14	29.79			Excluded					9	19.15		47	
		TOTAL											352	73.49		96	20.04								31	6.47		479	
	SEVENTH												12	38.71		19	61.29									Excluded		31	
		TOTAL											364	75.99		115	24.01											479	
													Elected																
																													
Bullsbrook                                                     																													
	FIRST			22	1.35		78	4.79		8	0.49		807	49.57		423	25.98		182	11.18		2	0.12		106	6.51		1628	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		22	1.35		78	4.79		8	0.49		808	49.63		423	25.98		183	11.24					106	6.51		1628	
	THIRD			0	0.00		3	37.50			Excluded		2	25.00		0	0.00		1	12.50					2	25.00		8	
		TOTAL		22	1.35		81	4.98					810	49.75		423	25.98		184	11.30					108	6.63		1628	
	FOURTH				Excluded		10	45.45					9	40.91		0	0.00		2	9.09					1	4.55		22	
		TOTAL					91	5.59					819	50.31		423	25.98		186	11.43					109	6.70		1628	
	FIFTH							Excluded					20	21.98		15	16.48		10	10.99					46	50.55		91	
		TOTAL											839	51.54		438	26.90		196	12.04					155	9.52		1628	
