House of Representatives - 2001 Election: Western Australia																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Tangney (82972)																																										
		GOWEGATI			GRAHAM			STANWIX			INGRAM			LUMSDAINE			# WILLIAMS			LUCAS			WATSON			FORMAL			INFORMAL			TOTAL										
		Sam			Gordon A			Ben			Andrew			Aaron			Daryl			Michael			Craig												Two Candidate Preferred							
		ALP			IND			GWA			DEM			HAN			LP			LFF			CTA												 GOWEGATI ALP			# WILLIAMS LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Applecross	580	17.72		61	1.86		124	3.79		154	4.70		88	2.69		2157	65.88		86	2.63		24	0.73		3274	97.09		98	2.91		3372	4.26		843	25.75		2431	74.25			
	Ardross	226	26.97		7	0.84		33	3.94		31	3.70		19	2.27		493	58.83		18	2.15		11	1.31		838	96.21		33	3.79		871	1.10		286	34.13		552	65.87			
	Ardross West	321	27.07		16	1.35		73	6.16		61	5.14		30	2.53		664	55.99		14	1.18		7	0.59		1186	96.27		46	3.73		1232	1.56		443	37.35		743	62.65			
	Attadale	566	20.67		36	1.31		119	4.35		113	4.13		79	2.89		1746	63.77		50	1.83		29	1.06		2738	97.23		78	2.77		2816	3.56		802	29.29		1936	70.71			
	Bateman	654	33.30		23	1.17		121	6.16		81	4.12		56	2.85		973	49.54		35	1.78		21	1.07		1964	96.61		69	3.39		2033	2.57		846	43.08		1118	56.92			
	Booragoon	663	26.40		68	2.71		132	5.26		117	4.66		77	3.07		1389	55.32		46	1.83		19	0.76		2511	94.83		137	5.17		2648	3.34		927	36.92		1584	63.08			
	Brentwood	717	25.49		46	1.64		175	6.22		140	4.98		71	2.52		1563	55.56		63	2.24		38	1.35		2813	95.55		131	4.45		2944	3.72		1012	35.98		1801	64.02			
	Bull Creek	586	31.99		29	1.58		92	5.02		96	5.24		43	2.35		944	51.53		15	0.82		27	1.47		1832	95.07		95	4.93		1927	2.43		749	40.88		1083	59.12
	Bull Creek East	438	30.17		26	1.79		59	4.06		82	5.65		30	2.07		771	53.10		11	0.76		35	2.41		1452	96.54		52	3.46		1504	1.90		570	39.26		882	60.74
	Bull Creek North	360	28.75		9	0.72		42	3.35		47	3.75		51	4.07		718	57.35		11	0.88		14	1.12		1252	95.65		57	4.35		1309	1.65		466	37.22		786	62.78
