General Information - 2001 Election: Western Australia				
Polling Places				
				
Brand				
Polling Place Name	Premises	Address	Suburb	
Baldivis	Tranby College	Tranby Road	BALDIVIS	
Calista	Calista Primary School	Chilcott Street	CALISTA	
Coodanup	Coodanup Community College	Wanjeep Street	COODANUP	
Cooloongup	Cooloongup Primary School	Westerly Way	COOLOONGUP	
Golden Bay	Coastal Community Centre	Tangadee Road	GOLDEN BAY	
Greenfields	Bortolo Pavilion	Murdoch Dr	GREENFIELDS	
Greenfields East	Riverside Primary School	Teranca Rd	GREENFIELDS	
Hillman	Hillman Primary School	Unnaro Street	HILLMAN	
Hope Valley	Hope Valley Primary School	McLaren Ave	HOPE VALLEY	
Leda	Leda Primary School	Feilman Dr	LEDA	
Madora	Ron Christian Memorial Hall	Orelia Street	MADORA	
Mandurah	Baden Powell Hall	Cnr Anstruther Rd & Elizabeth St	MANDURAH
Mandurah Central	Mandurah Primary School	Hackett Street	MANDURAH
Mandurah East	Billy Dower Youth Centre	Dower Street	MANDURAH
Mandurah South	Dudley Park Primary School	Gillark Street	DUDLEY PARK
Meadow Springs	Frederick Irwin Anglican Community School	Gordon Rd	MEADOW SPRINGS
Meadow Springs North	Royal Australian Air Force Association Estate	41 Portrush Parade	MEADOW SPRINGS
Medina	Medina Primary School	Medina Ave	MEDINA
Parmelia	North Parmelia Primary School	Durrant Ave	PARMELIA
Perth (Brand)	Perth GPO	Forrest Place	PERTH
Port Kennedy	Port Kennedy Primary School	La Manche Ave	PORT KENNEDY
Rockingham	Rockingham Senior High School	Read Street	ROCKINGHAM
Rockingham Beach	Rockingham Beach Primary School	Bay View Street	ROCKINGHAM
Rottnest (Brand)	Rottnest Primary School		ROTTNEST ISLAND
Safety Bay	Safety Bay Primary School	Rae Rd	SAFETY BAY
Safety Bay Central	Safety Bay Senior High School	Malibu Rd	SAFETY BAY
Secret Harbour	Secret Harbour Community Centre	Oasis Drive	SECRET HARBOUR
Singleton	Singleton Hall	Cavender Street	SINGLETON
Waikiki	Charthouse Primary School	43 Rand Ave	WAIKIKI
Warnbro	Warnbro Primary School	Axminster St	WARNBRO
Warnbro East	Koorana Primary School	Coronata Drive	WARNBRO
Wellard	Kwinana South Fire Station	Corner Mortimer & Barker Roads	WELLARD


Canning			
Polling Place Name	Premises	Address	Suburb
Armadale	Neerigen Brook Primary School	Seventh Rd	ARMADALE
Armadale East	Armadale Primary School	Carradine Rd	ARMADALE
Armadale North	Kingsley Primary School	Lathwell St	ARMADALE
Armadale South	Armadale Kelmscott Senior Citizens Centre	Coombe Ave	ARMADALE
Armadale West	Challis Primary School	40 Braemore St	ARMADALE
Barragup	West Murray Community Centre	Cnr Pinjarra Rd and Goodooga Rd	BARRAGUP
Bedfordale	Bedfordale District Hall	Admiral Rd	BEDFORDALE
Brookdale	Evelyn Gribble Community Centre	Ninth Road	BROOKDALE
Byford	Byford Primary School	Clifton St	BYFORD
Canning Vale	Canning Vale Primary School	The Ramble	CANNING VALE
Canning Vale South	Ranford Primary School	Orkney Cres	CANNING VALE
Carcoola	Carcoola Primary School	Wisteria Cres	CARCOOLA
Coolup	Coolup CWA Rest Room	Murray Street	COOLUP
Dawesville	Southern Estuary Progress Assn Hall	Estuary Road	DAWESVILLE
Dwellingup	Dwellingup Primary School	Newton Sreet	DWELLINGUP
Falcon	Falcon (Community) Pavilion	Cnr Lynda & Flame Sts	FALCON
Forrestdale	Forrestdale Primary School	35 Broome St	FORRESTDALE
Gosnells South (Canning)	Gosnells Senior High School	Southern River Rd	GOSNELLS
Halls Head	Glencoe Primary School	Balmoral Parade	HALLS HEAD
Halls Head South	Halls Head Primary School	Oleander Pl	HALLS HEAD
Huntingdale (Canning)	Huntingdale Primary School	Matilda St	HUNTINGDALE
Jarrahdale	Jarrahdale Primary School	Wanliss St	JARRAHDALE
Karragullen	Karragullen District Hall	Old Station St	KARRAGULLEN
Kelmscott	Kelmscott Senior High School	Third Ave	KELMSCOTT
Kelmscott East	Kelmscott Primary School	River Rd	KELMSCOTT
Kelmscott North	Clifton Hills Primary School	Connell Ave	KELMSCOTT
Lake Clifton	Lake Clifton Fire Brigade Hall	Tuart Grove Ave	LAKE CLIFTON
Mundijong	Mundijong Primary School	Livesey St	MUNDIJONG
North Dandalup	North Dandalup Lesser Hall	South Western Hwy	NORTH DANDALUP
Oakford	Oakford Fire Station	Nicholson Road South	OAKFORD
Perth (Canning)	Perth GPO	Forrest Place	PERTH
Pinjarra	Pinjarra Senior High School	16 McLarty Rd	PINJARRA
Roleystone	Roleystone Primary School	Robins Rd	ROLEYSTONE
Rottnest (Canning)	Rottnest Primary School		ROTTNEST ISLAND
Serpentine	Serpentine Ambulance Hall	Wellard St	SERPENTINE
Strawberry Fields	Cecil Andrews Snr High School	Seville Dve	ARMADALE
Thornlie (Canning)	Thornlie Senior High School	Ovens Rd	THORNLIE
Thornlie South (Canning)	Forest Crescent Primary School	Forest Cres	THORNLIE
Waroona	Waroona Senior Citizens' Centre	Millar Ave	WAROONA
Westfield	Westfield Park Primary School	Hemingway Dve	WESTFIELD
Westfield South	Grovelands Primary School	Grovelands Dve	WESTFIELD
Yunderup	Sth Yunderup/Ravenswood Fire Brigade Station	Yunderup Rd	SOUTH YUNDERUP
Yunderup North	North Yunderup CWA Centre	45 Culeenup Rd	NORTH YUNDERUP


Cowan			
Polling Place Name	Premises	Address	Suburb
Alexander Heights	Alinjarra Primary School	Avila Way	ALEXANDER HEIGHTS
Alexander Heights West	Alexander Heights Community Hall	Linto Way	ALEXANDER HEIGHTS
Ballajura	Illawarra Primary School	Illawarra Cres N	BALLAJURA
Ballajura Central	Ballajura Primary School	Illawarra Cres South	BALLAJURA
Ballajura South	South Ballajura Primary School	Wyperfeld Gdns	BALLAJURA
Ballajura West	Ballajura Community College	Illawarra Crescent South	BALLAJURA
Banksia Grove	Neerabup Primary School	Mist Pl	BANKSIA GROVE
Camboon	Camboon Primary School	Forder Street	NORANDA
Girrawheen	Blackmore Primary School	Allinson Dve	GIRRAWHEEN
Girrawheen Central	Montrose Primary School	Stebbing Way	GIRRAWHEEN
Girrawheen East	Hainsworth Primary School	Harford Way	GIRRAWHEEN
Greenwood	Greenwood Senior High School	Coolibah Dve	GREENWOOD
Greenwood East	East Greenwood Primary School	Mulligan Dve	GREENWOOD
Greenwood West	Allenswood Primary School	Merivale Way	GREENWOOD
Kingsley	Creaney Primary School	Creaney Dve	KINGSLEY
Kingsley East	Halidon Primary School	Halidon Street	KINGSLEY
Kingsley South	Goollelal Primary School	Cadogan Street	KINGSLEY
Koondoola	Koondoola Primary School	Burbridge Ave	KOONDOOLA
Landsdale	Landsdale Primary School	The Broadview	LANDSDALE
Marangaroo	Marangaroo Primary School	Giralt Rd	MARANGAROO
Marangaroo Central	Marangaroo Family Centre	46 Highclere Blvd	MARANGAROO
Noranda	Noranda Primary School	Walmsley Dve	NORANDA
Noranda West (Cowan)	North Morley Primary School	Gordon Rd West	DIANELLA
Perth (Cowan)	Perth GPO	Forrest Place	PERTH
Rottnest (Cowan)	Rottnest Primary School		ROTTNEST ISLAND
Tapping	St Stephen's College	50 St Stephen's Crescent	TAPPING
Wanneroo	Wanneroo Primary School	Wanneroo Rd	WANNEROO
Wanneroo East	Wanneroo Senior High School	Quarkum St	WANNEROO
Wanneroo West	Crossways Uniting Church	"Unit 4, 631 Wanneroo Rd"	WANNEROO
Warwick	Greenwood-Warwick Community Care Centre	Dorchester Ave	WARWICK
Warwick West	Hawker Park Primary School	Hawker Avenue	WARWICK
Woodvale	Woodvale High School	Woodvale Dve	WOODVALE
