House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Cowan																									
					HOLT			METCALF			CHALONER			FORT			SHANNON			SALMON			EDWARDS		
					Ron			Sue			Tracy			Dave			Andre			Paul			Graham		
					HAN			NP			DEM			GWA			LP			CTA			ALP		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alexander Heights                                              																									
	FIRST			123	5.06		9	0.37		113	4.65		72	2.96		833	34.28		44	1.81		1236	50.86		2430
	SECOND			2	22.22			Excluded		1	11.11		1	11.11		3	33.33		1	11.11		1	11.11		9
		TOTAL		125	5.14					114	4.69		73	3.00		836	34.40		45	1.85		1237	50.91		2430
	THIRD			8	17.78					4	8.89		1	2.22		23	51.11			Excluded		9	20.00		45
		TOTAL		133	5.47					118	4.86		74	3.05		859	35.35					1246	51.28		2430
	FOURTH			7	9.46					37	50.00			Excluded		11	14.86					19	25.68		74
		TOTAL		140	5.76					155	6.38					870	35.80					1265	52.06		2430
	FIFTH			23	14.84						Excluded					55	35.48					77	49.68		155
		TOTAL		163	6.71											925	38.07					1342	55.23		2430
	SIXTH				Excluded											106	65.03					57	34.97		163
		TOTAL														1031	42.43					1399	57.57		2430
																						Elected			
																									
Alexander Heights West                                         																									
	FIRST			122	7.15		4	0.23		64	3.75		48	2.81		454	26.61		27	1.58		987	57.85		1706
	SECOND			1	25.00			Excluded		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00		4
		TOTAL		123	7.21					65	3.81		48	2.81		455	26.67		27	1.58		988	57.91		1706
	THIRD			1	3.70					5	18.52		4	14.81		10	37.04			Excluded		7	25.93		27
		TOTAL		124	7.27					70	4.10		52	3.05		465	27.26					995	58.32		1706
	FOURTH			7	13.46					23	44.23			Excluded		12	23.08					10	19.23		52
		TOTAL		131	7.68					93	5.45					477	27.96					1005	58.91		1706
	FIFTH			12	12.90						Excluded					24	25.81					57	61.29		93
		TOTAL		143	8.38											501	29.37					1062	62.25		1706
	SIXTH				Excluded											99	69.23					44	30.77		143
		TOTAL														600	35.17					1106	64.83		1706
																						Elected			
																									
Ballajura                                                      																									
	FIRST			103	5.15		6	0.30		66	3.30		70	3.50		724	36.20		32	1.60		999	49.95		2000
	SECOND			1	16.67			Excluded		1	16.67		1	16.67		2	33.33		0	0.00		1	16.67		6
		TOTAL		104	5.20					67	3.35		71	3.55		726	36.30		32	1.60		1000	50.00		2000
	THIRD			8	25.00					2	6.25		3	9.38		13	40.63			Excluded		6	18.75		32
		TOTAL		112	5.60					69	3.45		74	3.70		739	36.95					1006	50.30		2000
	FOURTH			9	12.16					32	43.24			Excluded		10	13.51					23	31.08		74
		TOTAL		121	6.05					101	5.05					749	37.45					1029	51.45		2000
	FIFTH			5	4.95						Excluded					41	40.59					55	54.46		101
		TOTAL		126	6.30											790	39.50					1084	54.20		2000
	SIXTH				Excluded											87	69.05					39	30.95		126
		TOTAL														877	43.85					1123	56.15		2000
																						Elected			
																									
Ballajura Central                                              																									
	FIRST			183	6.04		12	0.40		126	4.16		106	3.50		999	32.99		45	1.49		1557	51.42		3028
	SECOND			2	16.67			Excluded		3	25.00		1	8.33		4	33.33		0	0.00		2	16.67		12
		TOTAL		185	6.11					129	4.26		107	3.53		1003	33.12		45	1.49		1559	51.49		3028
	THIRD			9	20.00					4	8.89		2	4.44		24	53.33			Excluded		6	13.33		45
		TOTAL		194	6.41					133	4.39		109	3.60		1027	33.92					1565	51.68		3028
	FOURTH			12	11.01					56	51.38			Excluded		17	15.60					24	22.02		109
		TOTAL		206	6.80					189	6.24					1044	34.48					1589	52.48		3028
	FIFTH			25	13.23						Excluded					53	28.04					111	58.73		189
		TOTAL		231	7.63											1097	36.23					1700	56.14		3028
	SIXTH				Excluded											159	68.83					72	31.17		231
		TOTAL														1256	41.48					1772	58.52		3028
																						Elected			
																									
Ballajura South                                                																									
	FIRST			120	5.13		11	0.47		123	5.26		61	2.61		502	21.47		24	1.03		1497	64.03		2338
	SECOND			1	9.09			Excluded		2	18.18		2	18.18		4	36.36		0	0.00		2	18.18		11
		TOTAL		121	5.18					125	5.35		63	2.69		506	21.64		24	1.03		1499	64.11		2338
	THIRD			7	29.17					3	12.50		1	4.17		13	54.17			Excluded		0	0.00		24
		TOTAL		128	5.47					128	5.47		64	2.74		519	22.20					1499	64.11		2338
	FOURTH			9	14.06					20	31.25			Excluded		16	25.00					19	29.69		64
		TOTAL		137	5.86					148	6.33					535	22.88					1518	64.93		2338
	FIFTH			23	15.54						Excluded					48	32.43					77	52.03		148
		TOTAL		160	6.84											583	24.94					1595	68.22		2338
	SIXTH				Excluded											101	63.13					59	36.88		160
		TOTAL														684	29.26					1654	70.74		2338
																						Elected			
																									
Ballajura West                                                 																									
	FIRST			97	4.68		6	0.29		84	4.05		61	2.94		767	37.02		26	1.25		1031	49.76		2072
	SECOND			1	16.67			Excluded		1	16.67		0	0.00		3	50.00		0	0.00		1	16.67		6
		TOTAL		98	4.73					85	4.10		61	2.94		770	37.16		26	1.25		1032	49.81		2072
	THIRD			1	3.85					4	15.38		2	7.69		13	50.00			Excluded		6	23.08		26
		TOTAL		99	4.78					89	4.30		63	3.04		783	37.79					1038	50.10		2072
	FOURTH			2	3.17					24	38.10			Excluded		13	20.63					24	38.10		63
		TOTAL		101	4.87					113	5.45					796	38.42					1062	51.25		2072
	FIFTH			21	18.58						Excluded					39	34.51					53	46.90		113
		TOTAL		122	5.89											835	40.30					1115	53.81		2072
	SIXTH				Excluded											77	63.11					45	36.89		122
		TOTAL														912	44.02					1160	55.98		2072
																						Elected			
																									
Banksia Grove                                                  																									
	FIRST			38	9.92		0	0.00		8	2.09		13	3.39		117	30.55		4	1.04		203	53.00		383
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		38	9.92					8	2.09		13	3.39		117	30.55		4	1.04		203	53.00		383
	THIRD			0	0.00					0	0.00		2	50.00		2	50.00			Excluded		0	0.00		4
		TOTAL		38	9.92					8	2.09		15	3.92		119	31.07					203	53.00		383
	FOURTH			4	26.67					8	53.33			Excluded		2	13.33					1	6.67		15
		TOTAL		42	10.97					16	4.18					121	31.59					204	53.26		383
	FIFTH			3	18.75						Excluded					7	43.75					6	37.50		16
		TOTAL		45	11.75											128	33.42					210	54.83		383
	SIXTH				Excluded											31	68.89					14	31.11		45
		TOTAL														159	41.51					224	58.49		383
																						Elected			
																									
Camboon                                                        																									
	FIRST			112	5.03		8	0.36		85	3.82		59	2.65		1008	45.26		15	0.67		940	42.21		2227
	SECOND			3	37.50			Excluded		1	12.50		0	0.00		3	37.50		0	0.00		1	12.50		8
		TOTAL		115	5.16					86	3.86		59	2.65		1011	45.40		15	0.67		941	42.25		2227
	THIRD			2	13.33					0	0.00		2	13.33		9	60.00			Excluded		2	13.33		15
		TOTAL		117	5.25					86	3.86		61	2.74		1020	45.80					943	42.34		2227
	FOURTH			6	9.84					25	40.98			Excluded		10	16.39					20	32.79		61
		TOTAL		123	5.52					111	4.98					1030	46.25					963	43.24		2227
	FIFTH			15	13.51						Excluded					40	36.04					56	50.45		111
		TOTAL		138	6.20											1070	48.05					1019	45.76		2227
	SIXTH				Excluded											97	70.29					41	29.71		138
		TOTAL														1167	52.40					1060	47.60		2227
																						Elected			
																									
Girrawheen                                                     																									
	FIRST			116	5.94		4	0.20		48	2.46		79	4.04		348	17.81		35	1.79		1324	67.76		1954
	SECOND			0	0.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		2	50.00		4
		TOTAL		116	5.94					49	2.51		80	4.09		348	17.81		35	1.79		1326	67.86		1954
	THIRD			11	31.43					2	5.71		4	11.43		12	34.29			Excluded		6	17.14		35
		TOTAL		127	6.50					51	2.61		84	4.30		360	18.42					1332	68.17		1954
	FOURTH			7	8.33					34	40.48			Excluded		12	14.29					31	36.90		84
		TOTAL		134	6.86					85	4.35					372	19.04					1363	69.75		1954
	FIFTH			13	15.29						Excluded					19	22.35					53	62.35		85
		TOTAL		147	7.52											391	20.01					1416	72.47		1954
	SIXTH				Excluded											95	64.63					52	35.37		147
		TOTAL														486	24.87					1468	75.13		1954
																						Elected			
																									
Girrawheen Central                                             																									
	FIRST			44	7.30		6	1.00		10	1.66		25	4.15		88	14.59		4	0.66		426	70.65		603
	SECOND			2	33.33			Excluded		0	0.00		0	0.00		3	50.00		0	0.00		1	16.67		6
		TOTAL		46	7.63					10	1.66		25	4.15		91	15.09		4	0.66		427	70.81		603
	THIRD			0	0.00					0	0.00		0	0.00		2	50.00			Excluded		2	50.00		4
		TOTAL		46	7.63					10	1.66		25	4.15		93	15.42					429	71.14		603
	FOURTH			4	16.00					13	52.00			Excluded		0	0.00					8	32.00		25
		TOTAL		50	8.29					23	3.81					93	15.42					437	72.47		603
	FIFTH			6	26.09						Excluded					5	21.74					12	52.17		23
		TOTAL		56	9.29											98	16.25					449	74.46		603
	SIXTH				Excluded											27	48.21					29	51.79		56
		TOTAL														125	20.73					478	79.27		603
																						Elected			
																									
Girrawheen East                                                																									
	FIRST			82	5.59		9	0.61		54	3.68		52	3.55		243	16.58		42	2.86		984	67.12		1466
	SECOND			2	22.22			Excluded		1	11.11		2	22.22		0	0.00		1	11.11		3	33.33		9
		TOTAL		84	5.73					55	3.75		54	3.68		243	16.58		43	2.93		987	67.33		1466
	THIRD			16	37.21					4	9.30		1	2.33		13	30.23			Excluded		9	20.93		43
		TOTAL		100	6.82					59	4.02		55	3.75		256	17.46					996	67.94		1466
	FOURTH			8	14.55					23	41.82			Excluded		1	1.82					23	41.82		55
		TOTAL		108	7.37					82	5.59					257	17.53					1019	69.51		1466
	FIFTH			20	24.39						Excluded					16	19.51					46	56.10		82
		TOTAL		128	8.73											273	18.62					1065	72.65		1466
	SIXTH				Excluded											71	55.47					57	44.53		128
		TOTAL														344	23.47					1122	76.53		1466
																						Elected			
																									
Greenwood                                                      																									
	FIRST			178	5.09		24	0.69		201	5.75		201	5.75		1363	39.01		64	1.83		1463	41.87		3494
	SECOND			6	25.00			Excluded		3	12.50		7	29.17		6	25.00		2	8.33		0	0.00		24
		TOTAL		184	5.27					204	5.84		208	5.95		1369	39.18		66	1.89		1463	41.87		3494
	THIRD			13	19.70					6	9.09		6	9.09		32	48.48			Excluded		9	13.64		66
		TOTAL		197	5.64					210	6.01		214	6.12		1401	40.10					1472	42.13		3494
