Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Perth (82049)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ashfield		3	0.27		0	0.00		4	0.36		8	0.72		1	0.09		278	24.89		12	1.07		2	0.18		114	10.21		14	1.25		0	0.00		4	0.36		0	0.00		13	1.16		55	4.92		539	48.25		70	6.27		0	0.00		1117	95.96		47	4.04		1164	1.49
	Bassendean		8	0.39		2	0.10		0	0.00		36	1.74		2	0.10		608	29.39		17	0.82		1	0.05		155	7.49		23	1.11		2	0.10		5	0.24		1	0.05		22	1.06		167	8.07		908	43.89		110	5.32		2	0.10		2069	95.35		101	4.65		2170	2.77
	Bassendean South		20	0.81		2	0.08		3	0.12		28	1.14		0	0.00		769	31.34		29	1.18		3	0.12		160	6.52		32	1.30		1	0.04		15	0.61		1	0.04		10	0.41		212	8.64		930	37.90		237	9.66		2	0.08		2454	95.26		122	4.74		2576	3.29
	Bayswater		16	0.58		3	0.11		3	0.11		25	0.90		0	0.00		830	29.92		22	0.79		0	0.00		143	5.16		22	0.79		0	0.00		15	0.54		4	0.14		22	0.79		251	9.05		1138	41.02		276	9.95		4	0.14		2774	95.75		123	4.25		2897	3.70
	Bayswater North		13	0.57		4	0.18		0	0.00		39	1.72		5	0.22		672	29.70		19	0.84		2	0.09		129	5.70		21	0.93		2	0.09		10	0.44		0	0.00		17	0.75		178	7.87		1010	44.63		140	6.19		2	0.09		2263	94.45		133	5.55		2396	3.06
	Bedford Park		5	0.37		1	0.07		1	0.07		8	0.60		3	0.22		437	32.71		15	1.12		1	0.07		46	3.44		14	1.05		0	0.00		7	0.52		2	0.15		15	1.12		90	6.74		586	43.86		104	7.78		1	0.07		1336	95.29		66	4.71		1402	1.79
	Bedford West		4	0.32		4	0.32		0	0.00		20	1.61		2	0.16		404	32.42		14	1.12		0	0.00		42	3.37		8	0.64		0	0.00		4	0.32		0	0.00		13	1.04		78	6.26		560	44.94		93	7.46		0	0.00		1246	95.77		55	4.23		1301	1.66
	Beechboro		3	0.15		3	0.15		1	0.05		26	1.30		2	0.10		482	24.04		15	0.75		1	0.05		119	5.94		12	0.60		0	0.00		8	0.40		2	0.10		24	1.20		101	5.04		1142	56.96		63	3.14		1	0.05		2005	95.66		91	4.34		2096	2.68
	Beechboro East		10	0.52		1	0.05		2	0.10		37	1.92		1	0.05		538	27.86		13	0.67		3	0.16		135	6.99		14	0.73		0	0.00		8	0.41		1	0.05		19	0.98		107	5.54		940	48.68		100	5.18		2	0.10		1931	95.03		101	4.97		2032	2.60
