House of Representatives - 2001 Election: Western Australia 																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Brand (78366)																																										
		# BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD			FORMAL			INFORMAL			TOTAL										
		Kim			Steve			Kate			Brian			Terry			Paul			Margaret			Keith												Two Candidate Preferred							
		ALP			HAN			GWA			CEC			CTA			DEM			LP			LFF												# BEAZLEY ALP			 THOMAS LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Baldivis	482	36.43		74	5.59		56	4.23		3	0.23		16	1.21		29	2.19		454	34.32		209	15.80		1323	96.71		45	3.29		1368	1.83		593	44.82		730	55.18			
	Calista	1516	60.83		149	5.98		79	3.17		7	0.28		38	1.52		80	3.21		372	14.93		251	10.07		2492	95.26		124	4.74		2616	3.51		1744	69.98		748	30.02			
	Coodanup	963	54.41		128	7.23		71	4.01		8	0.45		15	0.85		22	1.24		423	23.90		140	7.91		1770	95.52		83	4.48		1853	2.48		1110	62.71		660	37.29			
	Cooloongup	2538	62.33		241	5.92		126	3.09		11	0.27		18	0.44		74	1.82		671	16.48		393	9.65		4072	96.24		159	3.76		4231	5.67		2872	70.53		1200	29.47			
	Golden Bay	365	43.14		57	6.74		50	5.91		2	0.24		13	1.54		27	3.19		231	27.30		101	11.94		846	95.27		42	4.73		888	1.19		472	55.79		374	44.21			
	Greenfields	1332	52.84		194	7.70		57	2.26		4	0.16		27	1.07		65	2.58		632	25.07		210	8.33		2521	95.20		127	4.80		2648	3.55		1513	60.02		1008	39.98			
	Greenfields East	659	50.73		84	6.47		43	3.31		8	0.62		20	1.54		32	2.46		315	24.25		138	10.62		1299	93.72		87	6.28		1386	1.86		757	58.28		542	41.72			
	Hillman	1175	60.16		101	5.17		68	3.48		5	0.26		16	0.82		37	1.89		342	17.51		209	10.70		1953	95.59		90	4.41		2043	2.74		1330	68.10		623	31.90
	Hope Valley	210	44.21		34	7.16		24	5.05		0	0.00		0	0.00		8	1.68		138	29.05		61	12.84		475	95.77		21	4.23		496	0.66		253	53.26		222	46.74
	Leda	952	58.91		103	6.37		72	4.46		5	0.31		11	0.68		60	3.71		269	16.65		144	8.91		1616	95.62		74	4.38		1690	2.27		1135	70.24		481	29.76
	Madora	150	38.86		17	4.40		22	5.70		1	0.26		2	0.52		10	2.59		123	31.87		61	15.80		386	95.54		18	4.46		404	0.54		191	49.48		195	50.52
	Mandurah	736	48.52		78	5.14		33	2.18		4	0.26		11	0.73		18	1.19		438	28.87		199	13.12		1517	95.65		69	4.35		1586	2.13		820	54.05		697	45.95
	Mandurah Central	666	48.86		80	5.87		35	2.57		4	0.29		11	0.81		14	1.03		420	30.81		133	9.76		1363	94.06		86	5.94		1449	1.94		742	54.44		621	45.56
	Mandurah East	587	51.95		88	7.79		36	3.19		3	0.27		6	0.53		24	2.12		278	24.60		108	9.56		1130	95.84		49	4.16		1179	1.58		674	59.65		456	40.35
	Mandurah South	899	42.15		149	6.99		46	2.16		4	0.19		13	0.61		38	1.78		744	34.88		240	11.25		2133	96.17		85	3.83		2218	2.97		1036	48.57		1097	51.43
	Meadow Springs	709	38.41		103	5.58		64	3.47		3	0.16		24	1.30		43	2.33		657	35.59		243	13.16		1846	96.50		67	3.50		1913	2.56		858	46.48		988	53.52
	Meadow Springs North	242	31.59		32	4.18		15	1.96		0	0.00		3	0.39		8	1.04		358	46.74		108	14.10		766	96.96		24	3.04		790	1.06		279	36.42		487	63.58
	Medina	1535	64.15		179	7.48		74	3.09		4	0.17		29	1.21		44	1.84		312	13.04		216	9.03		2393	93.95		154	6.05		2547	3.41		1742	72.80		651	27.20
	Parmelia	1328	62.88		138	6.53		59	2.79		6	0.28		25	1.18		61	2.89		302	14.30		193	9.14		2112	94.71		118	5.29		2230	2.99		1524	72.16		588	27.84
	Perth (Brand)	21	52.50		3	7.50		1	2.50		0	0.00		0	0.00		2	5.00		8	20.00		5	12.50		40	97.56		1	2.44		41	0.05		26	65.00		14	35.00
	Port Kennedy	1302	54.66		114	4.79		69	2.90		3	0.13		14	0.59		76	3.19		533	22.38		271	11.38		2382	96.67		82	3.33		2464	3.30		1485	62.34		897	37.66
	Rockingham	2407	53.82		228	5.10		141	3.15		8	0.18		31	0.69		91	2.03		874	19.54		692	15.47		4472	94.91		240	5.09		4712	6.32		2796	62.52		1676	37.48
	Rockingham Beach	870	48.47		94	5.24		60	3.34		3	0.17		11	0.61		40	2.23		466	25.96		251	13.98		1795	94.87		97	5.13		1892	2.54		1015	56.55		780	43.45
	Rottnest (Brand)	12	52.17		1	4.35		2	8.70		1	4.35		1	4.35		0	0.00		6	26.09		0	0.00		23	92.00		2	8.00		25	0.03		13	56.52		10	43.48			
	Safety Bay	1756	45.46		254	6.58		187	4.84		3	0.08		35	0.91		102	2.64		933	24.15		593	15.35		3863	95.36		188	4.64		4051	5.43		2113	54.70		1750	45.30			
	Safety Bay Central	1446	48.36		175	5.85		115	3.85		3	0.10		21	0.70		64	2.14		751	25.12		415	13.88		2990	95.93		127	4.07		3117	4.18		1703	56.96		1287	43.04			
	Secret Harbour	480	41.74		43	3.74		28	2.43		1	0.09		13	1.13		27	2.35		388	33.74		170	14.78		1150	96.40		43	3.60		1193	1.60		550	47.83		600	52.17			
	Singleton	451	45.60		47	4.75		42	4.25		1	0.10		14	1.42		23	2.33		276	27.91		135	13.65		989	96.30		38	3.70		1027	1.38		530	53.59		459	46.41			
	Waikiki	1959	49.82		224	5.70		130	3.31		3	0.08		46	1.17		110	2.80		984	25.03		476	12.11		3932	96.28		152	3.72		4084	5.47		2279	57.96		1653	42.04			
	Warnbro	1490	52.78		163	5.77		128	4.53		7	0.25		16	0.57		70	2.48		628	22.25		321	11.37		2823	95.28		140	4.72		2963	3.97		1740	61.64		1083	38.36			
	Warnbro East	1405	60.27		115	4.93		61	2.62		5	0.21		16	0.69		65	2.79		382	16.39		282	12.10		2331	95.53		109	4.47		2440	3.27		1585	68.00		746	32.00			
