House of Representatives - 2001 Election: Western Australia																																
Distribution of Preferences																																
By Polling Place																																
Hasluck																																
				MCLEAN			JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN				
				Ronnie			Sharryn			Michael			Terry			Luke			Peter			James			Ros			Bethwyn				
				CEC			ALP			CLA			CTA			GWA			DEM			HAN			NP			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bellevue                                                       																																
	FIRST			8	1.08		314	42.43		4	0.54		14	1.89		53	7.16		38	5.14		60	8.11		3	0.41		246	33.24		740	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		8	1.08		314	42.43		5	0.68		14	1.89		53	7.16		38	5.14		61	8.24					247	33.38		740	
	THIRD			0	0.00		1	20.00			Excluded		0	0.00		0	0.00		0	0.00		2	40.00					2	40.00		5	
		TOTAL		8	1.08		315	42.57					14	1.89		53	7.16		38	5.14		63	8.51					249	33.65		740	
	FOURTH				Excluded		4	50.00					1	12.50		0	0.00		1	12.50		1	12.50					1	12.50		8	
		TOTAL					319	43.11					15	2.03		53	7.16		39	5.27		64	8.65					250	33.78		740	
	FIFTH						5	33.33						Excluded		2	13.33		4	26.67		0	0.00					4	26.67		15	
		TOTAL					324	43.78								55	7.43		43	5.81		64	8.65					254	34.32		740	
	SIXTH						10	23.26								14	32.56			Excluded		7	16.28					12	27.91		43	
		TOTAL					334	45.14								69	9.32					71	9.59					266	35.95		740	
	SEVENTH						20	28.17								33	46.48						Excluded					18	25.35		71	
		TOTAL					354	47.84								102	13.78											284	38.38		740	
	EIGHTH						74	72.55									Excluded											28	27.45		102	
		TOTAL					428	57.84																				312	42.16		740	
							Elected																									
																																
Caversham                                                      																																
	FIRST			7	0.91		322	42.04		4	0.52		5	0.65		43	5.61		36	4.70		66	8.62		5	0.65		278	36.29		766	
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		2	40.00		0	0.00		1	20.00			Excluded		1	20.00		5	
